Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Лев-Толстовская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679					
1	"Число избирателей, внесенных в список избирателей"	13288	1765	1268	1205	1384	1313	373	105	478	151	129	93	131	541	107	355	150	196	499	51	163	270	294	591	227	430	270	390	359					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13330	1790	1290	1230	1400	1400	360	100	480	150	120	90	130	530	100	350	140	190	500	50	160	270	280	560	220	440	270	380	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7686	848	769	780	831	701	227	51	281	72	83	64	85	405	49	264	75	82	279	31	89	173	166	406	175	205	128	196	171					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	997	79	65	19	64	46	54	27	29	17	11	8	20	42	38	41	23	31	51	11	20	22	41	66	10	43	35	36	48					
6	Число погашенных избирательных бюллетеней	4647	863	456	431	505	653	79	22	170	61	26	18	25	83	13	45	42	77	170	8	51	75	73	88	35	192	107	148	131					
7	Число избирательных бюллетеней в переносных ящиках для голосования	997	79	65	19	64	46	54	27	29	17	11	8	20	42	38	41	23	31	51	11	20	22	41	66	10	43	35	36	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7684	848	769	778	831	701	227	51	281	72	83	64	85	405	49	264	75	82	279	31	89	173	166	406	175	205	128	196	171					
9	Число недействительных избирательных бюллетеней	130	14	8	17	6	13	4	0	4	3	1	1	0	5	0	5	3	1	6	4	0	6	2	4	4	7	4	3	5					
10	Число действительных избирательных бюллетеней	8551	913	826	780	889	734	277	78	306	86	93	71	105	442	87	300	95	112	324	38	109	189	205	468	181	241	159	229	214					
