Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
"Наименование Избирательной комиссии:    Дзержинская, Свердловская"																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №941	УИК №2194					
1	"Число избирателей, внесенных в списки избирателей"	109851	1443	1668	1700	1652	1670	1056	1244	1214	1660	1936	1264	2077	2137	1727	2463	2004	2195	1536	2442	1375	2855	2474	2325	1874	1480	1215	1917	1532	1327	1520	811	910	945	2440	2161	2268	2421	2109	1992	2400	2134	1906	1907	1708	1667	2557	2487	2408	2363	1205	1444	1296	1236	2305	1694	1323	2198	2467	1689	1946	131	216	125					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	91350	1000	1500	1500	1500	1500	1000	1000	1000	1500	1500	1000	1500	1500	1500	2000	1500	2000	1500	2000	1000	2500	2000	2000	1500	1100	1000	1500	1500	1000	1500	650	700	700	2000	2000	2000	2000	2000	1500	2000	1500	1500	1500	1500	1500	2000	2000	2000	2000	1000	1100	1000	1000	2000	1500	1000	2000	2000	1500	1500	200	250	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	57726	725	884	885	806	806	548	648	614	853	937	577	1132	957	822	1361	1147	1165	839	1293	709	1376	1443	1245	981	790	663	1013	840	649	765	392	351	422	1293	1203	1179	1358	1156	1034	1316	1130	909	963	886	877	1485	1289	1568	1163	614	758	697	604	1194	866	670	1183	1270	971	1114	119	126	93					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1824	26	22	27	40	33	23	20	23	11	10	35	23	44	12	36	24	16	22	21	6	22	39	28	37	15	9	29	37	18	18	222	34	37	31	39	34	7	26	19	35	19	30	41	21	10	38	84	22	53	12	10	17	18	14	23	15	19	22	13	17	0	84	32					
6	Число погашенных избирательных бюллетеней	31800	249	594	588	654	661	429	332	363	636	553	388	345	499	666	603	329	819	639	686	285	1102	518	727	482	295	328	458	623	333	717	36	315	241	676	758	787	635	818	447	649	351	561	496	593	613	477	627	410	784	374	332	286	378	792	611	315	798	708	516	369	81	40	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1824	26	22	27	40	33	23	20	23	11	10	35	23	44	12	36	24	16	22	21	6	22	39	28	37	15	9	29	37	18	18	222	34	37	31	39	34	7	26	19	35	19	30	41	21	10	38	84	22	53	12	10	17	18	14	23	15	19	22	13	17	0	84	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57697	725	883	885	806	806	548	648	614	853	937	577	1132	957	822	1361	1147	1164	839	1293	709	1376	1442	1245	981	790	663	1013	840	649	765	392	351	422	1293	1203	1179	1358	1130	1034	1316	1130	909	963	886	877	1485	1289	1568	1163	614	758	697	604	1194	866	670	1183	1270	971	1114	119	126	93					
9	Число недействительных избирательных бюллетеней	589	7	8	8	5	13	5	8	4	14	5	7	14	7	8	14	8	9	12	18	3	14	15	13	9	4	7	11	5	7	13	7	3	6	11	13	15	18	28	9	12	19	8	6	7	15	12	20	13	3	4	8	5	7	15	6	7	10	5	10	7	5	0	0					
10	Число действительных избирательных бюллетеней	58932	744	897	904	841	826	566	660	633	850	942	605	1141	994	826	1383	1163	1171	849	1296	712	1384	1466	1260	1009	801	665	1031	872	660	770	607	382	453	1313	1229	1198	1347	1128	1044	1339	1130	931	998	900	872	1511	1353	1577	1213	622	760	709	615	1193	883	678	1192	1287	974	1124	114	210	125					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	894	20	15	10	20	10	10	10	10	10	13	10	30	15	10	20	13	9	10	10	10	22	20	20	10	10	15	10	20	10	10	30	10	10	25	20	20	25	20	16	11	15	10	15	10	10	20	20	20	20	11	9	10	15	30	10	15	10	15	10	20	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	713	14	12	7	18	9	5	4	5	8	12	6	22	11	5	11	11	9	8	10	7	18	16	18	10	6	13	8	15	9	7	26	8	7	25	17	14	22	16	16	11	8	9	12	7	9	14	15	13	14	11	9	6	13	26	8	13	9	15	7	19	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	454	6	2	3	3	8	3	6	4	10	4	5	4	10	6	4	5	8	3	4	2	7	10	2	11	7	4	6	5	8	3	26	5	2	10	9	6	6	3	3	15	3	4	1	7	3	8	7	21	13	3	5	3	7	13	0	11	10	11	7	7	21	30	11					
14	Число погашенных неиспользованных открепительных удостоверений	181	6	3	3	2	1	5	6	5	2	1	4	8	4	5	9	2	0	2	0	3	4	4	2	0	4	2	2	5	1	3	4	2	3	0	3	6	3	4	0	0	7	1	3	3	1	6	5	7	6	0	0	4	2	4	2	2	1	0	3	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
