Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
"Наименование Избирательной комиссии:    Дзержинская, Свердловская"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №923	УИК №924	УИК №925					
1	"Число избирателей, внесенных в список избирателей"	105528	1354	2460	2356	1573	981	1185	1118	1605	1799	1234	1987	1955	1668	2353	1899	2090	1462	2288	1322	2679	2360	2453	1835	1384	1160	1464	1827	2740	844	887	962	2334	2077	2189	2489	2067	1964	2245	2003	2534	2189	2337	2419	2415	2392	2257	2622	2389	2233	1583	1263	2083	2305	1636	1866	90	164	99					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78000	1000	1800	1700	1200	700	900	900	1200	1300	900	1500	1400	1200	1700	1400	1500	1100	1700	1000	2000	1700	1800	1300	1000	900	1100	1300	2000	700	700	700	1700	1500	1600	1800	1500	1700	1600	1500	1800	1600	1700	1800	1800	1700	1700	1900	1700	1600	1200	1000	1500	1700	1200	1400	100	200	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	47722	582	1082	1027	690	430	556	490	769	764	470	903	733	676	1127	870	950	617	1089	651	1134	1233	1121	804	658	481	689	774	1226	387	231	312	1127	1019	988	1297	989	878	1100	959	1012	1004	1055	1196	1041	1289	895	1179	1045	925	719	509	1011	1043	751	934	50	124	57					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	937	8	26	20	26	20	13	14	6	9	22	12	13	6	12	10	14	4	1	1	13	10	14	11	4	8	10	9	22	136	20	40	10	20	15	5	21	14	18	8	19	14	12	17	25	7	24	8	13	9	4	10	4	6	4	1	40	33	42					
6	Число погашенных избирательных бюллетеней	29341	410	692	653	484	250	331	396	425	527	408	585	654	518	561	520	536	479	610	348	853	457	665	485	338	411	401	517	752	177	449	348	563	461	597	498	490	808	482	533	769	582	633	587	734	404	781	713	642	666	477	481	485	651	445	465	10	43	101					
7	Число избирательных бюллетеней в переносных ящиках для голосования	937	8	26	20	26	20	13	14	6	9	22	12	13	6	12	10	14	4	1	1	13	10	14	11	4	8	10	9	22	136	20	40	10	20	15	5	21	14	18	8	19	14	12	17	25	7	24	8	13	9	4	10	4	6	4	1	40	33	42					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47689	582	1082	1027	690	430	556	490	768	764	470	903	733	676	1127	870	950	617	1089	651	1134	1233	1121	804	658	481	689	774	1224	387	230	312	1126	1019	988	1297	989	878	1100	959	1012	1004	1055	1196	1041	1289	895	1178	1045	925	693	509	1011	1043	751	933	50	124	57					
9	Число недействительных избирательных бюллетеней	731	4	23	12	11	4	5	5	9	6	3	10	6	9	15	15	14	7	22	7	11	18	17	13	2	7	17	14	14	2	2	8	15	18	18	17	24	26	15	17	19	9	21	20	21	29	11	30	13	13	13	8	12	16	17	16	0	0	1					
10	Число действительных избирательных бюллетеней	47895	586	1085	1035	705	446	564	499	765	767	489	905	740	673	1124	865	950	614	1068	645	1136	1225	1118	802	660	482	682	769	1232	521	248	344	1121	1021	985	1285	986	866	1103	950	1012	1009	1046	1193	1045	1267	908	1156	1045	921	684	511	1003	1033	738	918	90	157	98					
