Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Таймырская Долгано-Ненецкая №1																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №2199	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2282									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21649	535	2775	2618	2477	2495	2979	1500	1654	667	93	184	227	341	342	83	178	237	499	1056	79	515	115									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20498	625	2544	2359	2223	2413	2612	1395	1570	723	90	203	234	360	376	79	179	234	483	1079	74	492	151									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1547	162	84	53	223	116	24	40	0	94	0	4	0	19	18	0	8	12	0	422	4	264	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6956	143	909	883	769	805	847	328	543	214	37	105	126	164	172	56	95	108	179	289	61	97	26									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	162	8	12	11	8	11	8	3	4	4	0	0	0	1	18	0	1	4	7	6	0	5	51									
6	Число погашенных избирательных бюллетеней	11833	312	1539	1412	1223	1481	1733	1024	1023	411	53	94	108	176	168	23	75	110	297	362	9	126	74									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1709	170	96	64	231	127	32	43	4	98	0	4	0	20	36	0	9	16	7	428	4	269	51									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6948	143	903	883	769	805	845	328	543	214	37	105	126	164	172	56	95	108	179	289	61	97	26									
9	Число недействительных избирательных бюллетеней	204	14	18	30	27	19	21	6	9	7	1	2	2	1	8	0	0	11	5	7	2	13	1									
10	Число действительных избирательных бюллетеней	8453	299	981	917	973	913	856	365	538	305	36	107	124	183	200	56	104	113	181	710	63	353	76									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	610	50	40	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	20	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	90	2	18	7	7	12	6	1	3	4	0	0	1	3	20	0	0	0	2	4	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	135	0	5	9	61	13	3	2	0	4	3	3	0	2	0	3	0	3	2	0	2	19	1									
14	Число погашенных неиспользованных открепительных удостоверений	520	48	22	33	33	28	34	39	37	36	20	20	19	17	0	20	20	20	18	16	20	20	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	1	8	4	11	6	7	6	3	6	0	2	1	9	2	1	2	1	1	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	229	4	21	21	24	19	26	3	14	7	0	0	23	5	6	0	4	3	0	13	0	34	2									
		2.65%	1.28%	2.10%	2.22%	2.40%	2.04%	2.96%	0.81%	2.56%	2.24%	0.00%	0.00%	18.25%	2.72%	2.88%	0.00%	3.85%	2.42%	0.00%	1.81%	0.00%	9.29%	2.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	179	6	21	19	25	19	15	11	7	6	0	2	2	3	4	4	2	3	3	13	0	10	4									
		2.07%	1.92%	2.10%	2.01%	2.50%	2.04%	1.71%	2.96%	1.28%	1.92%	0.00%	1.83%	1.59%	1.63%	1.92%	7.14%	1.92%	2.42%	1.61%	1.81%	0.00%	2.73%	5.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	219	13	29	26	33	20	11	5	9	17	0	2	0	2	7	0	5	5	4	16	4	7	4									
		2.53%	4.15%	2.90%	2.75%	3.30%	2.15%	1.25%	1.35%	1.65%	5.45%	0.00%	1.83%	0.00%	1.09%	3.37%	0.00%	4.81%	4.03%	2.15%	2.23%	6.15%	1.91%	5.19%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4691	140	455	447	486	469	443	207	292	138	30	69	86	146	141	44	51	73	110	557	44	220	43									
		54.19%	44.73%	45.55%	47.20%	48.60%	50.32%	50.51%	55.80%	53.38%	44.23%	81.08%	63.30%	68.25%	79.35%	67.79%	78.57%	49.04%	58.87%	59.14%	77.68%	67.69%	60.11%	55.84%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	83	5	15	10	7	7	9	3	4	9	0	0	0	0	0	0	1	0	0	8	0	4	1									
		0.96%	1.60%	1.50%	1.06%	0.70%	0.75%	1.03%	0.81%	0.73%	2.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	1.12%	0.00%	1.09%	1.30%									
24	"6. Политическая партия ""Гражданская Платформа"""	36	1	3	3	5	3	2	0	1	1	0	1	1	0	0	1	0	0	0	9	0	5	0									
		0.42%	0.32%	0.30%	0.32%	0.50%	0.32%	0.23%	0.00%	0.18%	0.32%	0.00%	0.92%	0.79%	0.00%	0.00%	1.79%	0.00%	0.00%	0.00%	1.26%	0.00%	1.37%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1794	77	246	238	225	229	214	90	114	70	6	23	6	14	29	7	25	18	44	53	14	36	16									
		20.72%	24.60%	24.62%	25.13%	22.50%	24.57%	24.40%	24.26%	20.84%	22.44%	16.22%	21.10%	4.76%	7.61%	13.94%	12.50%	24.04%	14.52%	23.66%	7.39%	21.54%	9.84%	20.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	47	3	5	7	4	9	7	1	4	0	0	0	0	1	0	0	0	0	1	3	0	2	0									
		0.54%	0.96%	0.50%	0.74%	0.40%	0.97%	0.80%	0.27%	0.73%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.54%	0.42%	0.00%	0.55%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	55	6	8	2	9	4	5	1	4	4	0	0	0	0	0	0	0	0	1	5	0	6	0									
		0.64%	1.92%	0.80%	0.21%	0.90%	0.43%	0.57%	0.27%	0.73%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.70%	0.00%	1.64%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	0	2	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	2	1									
		0.16%	0.00%	0.20%	0.00%	0.00%	0.21%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.55%	1.30%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	96	7	9	18	12	9	9	4	5	6	0	0	0	0	7	0	0	1	1	3	1	2	2									
		1.11%	2.24%	0.90%	1.90%	1.20%	0.97%	1.03%	1.08%	0.91%	1.92%	0.00%	0.00%	0.00%	0.00%	3.37%	0.00%	0.00%	0.81%	0.54%	0.42%	1.54%	0.55%	2.60%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	643	21	113	81	92	79	72	30	39	34	0	5	0	11	0	0	15	8	13	13	0	15	2									
		7.43%	6.71%	11.31%	8.55%	9.20%	8.48%	8.21%	8.09%	7.13%	10.90%	0.00%	4.59%	0.00%	5.98%	0.00%	0.00%	14.42%	6.45%	6.99%	1.81%	0.00%	4.10%	2.60%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	4	4	2	8	3	4	3	5	2	0	1	0	0	2	0	0	0	0	0	0	1	0									
		0.45%	1.28%	0.40%	0.21%	0.80%	0.32%	0.46%	0.81%	0.91%	0.64%	0.00%	0.92%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	328	12	50	43	43	41	37	7	40	11	0	4	6	0	4	0	1	2	4	13	0	9	1									
		3.79%	3.83%	5.01%	4.54%	4.30%	4.40%	4.22%	1.89%	7.31%	3.53%	0.00%	3.67%	4.76%	0.00%	1.92%	0.00%	0.96%	1.61%	2.15%	1.81%	0.00%	2.46%	1.30%									
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
