Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Холмогорская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №918	УИК №919	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №927	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №950	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21192	528	476	363	1731	1995	285	181	2250	603	1521	128	131	1024	536	975	149	158	204	346	293	184	103	751	153	2499	211	76	422	280	105	238	549	216	882	524	122									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18000	440	390	300	1500	1700	220	150	1970	530	1300	100	100	870	500	850	130	130	170	300	250	160	100	660	100	2000	200	60	360	240	80	200	470	190	760	440	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7192	208	137	93	648	774	78	91	769	165	564	41	43	343	186	365	44	47	55	124	92	73	33	300	78	780	58	30	111	70	44	54	148	57	258	160	71									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	804	20	27	15	19	14	41	4	27	33	23	10	11	33	41	1	22	7	11	17	26	1	7	16	11	116	24	0	24	24	6	37	16	22	11	79	8									
6	Число погашенных избирательных бюллетеней	9968	212	226	192	833	912	101	55	1174	332	713	49	46	494	273	484	64	76	104	159	132	86	60	344	11	1104	118	30	189	146	30	109	306	111	491	201	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	840	20	27	15	19	14	41	4	27	33	23	10	11	33	41	1	22	7	11	17	26	1	7	16	11	116	24	0	60	24	6	37	16	22	11	79	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7190	208	137	93	647	774	78	91	768	165	564	41	43	343	186	365	44	47	55	124	92	73	33	300	78	780	58	30	111	70	44	54	148	57	258	160	71									
9	Число недействительных избирательных бюллетеней	78	0	1	1	7	7	1	2	7	1	5	0	1	11	4	6	0	0	0	6	1	2	0	2	0	7	0	0	2	0	1	0	0	1	1	1	0									
10	Число действительных избирательных бюллетеней	7952	228	163	107	659	781	118	93	788	197	582	51	53	365	223	360	66	54	66	135	117	72	40	314	89	889	82	30	169	94	49	91	164	78	268	238	79									
