Выборы Президента Российской Федерации																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Клинская																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815					
1	"Число избирателей, внесенных в список"	106091	2441	1936	1716	2805	2076	1500	1595	2007	884	660	1476	1183	1813	2706	2149	2634	2579	1112	2047	1442	1453	1361	1503	1801	2699	2505	2213	2104	2676	2106	1731	2294	1524	1908	2488	2537	1005	2574	441	205	894	1495	324	1580	675	1158	178	415	831	744	1012	232	477	290	315	460	1787	211	1475	236	334	360	374	1134	369	322	423	1747	1413	1666	1560	354	1423	1062	2421	2451					
2	Число полученных избирательных бюллетеней	106678	2525	1940	1750	2835	2145	1510	1600	2020	880	660	1255	1190	1840	2725	2175	2665	2595	1125	2070	1445	1465	1350	1505	1805	2720	2535	2235	2160	2710	2125	1750	2300	1515	1935	2420	2555	985	2600	422	215	925	1540	290	1595	699	1210	190	447	824	765	1025	235	477	318	332	440	1775	212	1520	230	360	369	380	1110	368	340	450	1800	1400	1700	1620	365	1465	1035	2490	2120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	60525	1132	1042	847	1625	1277	857	1000	1124	455	287	634	589	1068	1331	1122	1443	1366	663	1102	824	729	781	883	944	1500	1259	1232	1111	1547	1095	937	1134	781	1150	1538	1676	564	1344	198	95	473	842	227	1253	378	716	66	238	560	383	647	112	270	242	126	146	1260	119	971	154	239	250	329	637	210	184	190	1180	862	1244	1148	224	840	600	1419	1500					
5	"Число избирательных бюллетеней, выданных вне помещения"	4985	114	68	93	22	26	14	19	51	22	54	226	55	56	301	22	38	9	18	18	29	51	13	24	13	45	26	30	25	23	15	14	52	20	40	129	56	50	30	46	52	85	79	43	42	108	61	84	57	110	143	79	55	76	0	121	190	29	64	78	31	34	64	30	153	90	63	138	58	173	86	134	75	325	5	9	4					
6	Число погашенных избирательных бюллетеней	41168	1279	830	810	1188	842	639	581	845	403	319	395	546	716	1093	1031	1184	1220	444	950	592	685	556	598	848	1175	1250	973	1024	1140	1015	799	1114	714	745	753	823	371	1226	178	68	367	619	20	300	213	433	40	152	154	239	299	68	131	76	85	104	486	29	471	45	87	55	21	320	68	93	122	562	365	370	338	66	300	430	1062	616					
7	Число избирательных бюллетеней в переносных ящиках	4985	114	68	93	22	26	14	19	51	22	54	226	55	56	301	22	38	9	18	18	29	51	13	24	13	45	26	30	25	23	15	14	52	20	40	129	56	50	30	46	52	85	79	43	42	108	61	84	57	110	143	79	55	76	0	121	190	29	64	78	31	34	64	30	153	90	63	138	58	173	86	134	75	325	5	9	4					
8	Число бюллетеней в стационарных ящиках для голосования	60360	1132	1042	845	1625	1277	857	1000	1124	454	287	633	589	1068	1331	1122	1443	1366	663	1102	824	729	781	879	943	1500	1259	1232	1111	1545	1095	937	1134	778	1150	1538	1676	564	1344	198	95	473	842	227	1253	378	716	66	238	560	383	647	112	270	242	126	146	1260	119	963	154	239	250	320	637	210	184	190	1180	862	1244	1017	224	840	600	1419	1497					
9	Число недействительных избирательных бюллетеней	416	11	7	10	13	2	0	11	7	2	1	3	0	3	15	5	7	9	4	6	3	6	5	9	5	14	8	4	11	9	3	11	3	4	11	10	12	1	13	4	1	8	8	1	5	6	2	1	1	3	2	13	5	8	0	0	1	4	3	19	2	2	3	2	2	2	2	0	10	5	13	3	3	0	1	6	7					
10	Число действительных избирательных бюллетеней	64929	1235	1103	928	1634	1301	871	1008	1168	474	340	856	644	1121	1617	1139	1474	1366	677	1114	850	774	789	894	951	1531	1277	1258	1125	1559	1107	940	1183	794	1179	1657	1720	613	1361	240	146	550	913	269	1290	480	775	149	294	667	524	713	162	338	242	247	335	1285	180	1022	183	271	311	348	788	298	245	328	1228	1030	1317	1148	296	1165	604	1422	1494					
11	Число полученных открепительных  удостоверений	3000	40	60	40	60	80	40	40	60	40	20	40	40	40	60	60	60	60	40	60	40	40	40	40	40	60	60	60	60	60	60	40	60	40	40	60	60	20	60	20	20	20	40	20	80	20	40	20	20	20	20	20	20	20	20	20	20	30	20	30	20	20	20	20	30	20	20	20	40	20	40	40	20	20	60	100	70					
12	Число выданных открепительных удостоверений	1015	18	5	12	20	14	5	4	6	1	2	11	10	14	18	17	21	10	11	21	12	15	6	5	9	21	12	16	19	33	17	11	16	12	7	16	13	1	9	2	8	18	26	1	40	20	39	10	16	6	16	8	2	4	20	9	2	4	0	30	6	1	15	1	22	7	8	12	30	3	8	13	0	7	28	51	52					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	752	4	16	8	10	6	9	6	7	9	1	7	9	12	7	3	9	6	3	21	15	8	16	14	19	16	2	6	12	16	12	3	17	6	5	14	17	3	13	1	10	7	12	38	10	12	15	4	16	2	11	10	9	8	5	4	18	16	4	19	9	7	8	9	4	15	4	21	7	9	14	13	4	12	3	9	6					
14	Число неиспользованных открепительных удостоверений	1985	22	55	28	40	66	35	36	54	39	18	29	30	26	42	43	39	50	29	39	28	25	34	35	31	39	48	44	41	27	43	29	44	28	33	44	47	19	51	18	12	2	14	19	40	0	1	10	4	14	4	12	18	16	0	11	18	26	20	0	14	19	5	19	8	13	12	8	10	17	32	27	20	13	32	49	18					
