Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Назрановская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95					
1	"Число избирателей, внесенных в списки"	35366	1216	1714	1637	654	973	1966	2200	604	1479	1815	627	2732	1985	2307	1463	1819	977	1852	2332	2127	1657	1230					
2	"Число бюллетеней, полученных участковыми комиссиями"	35425	1216	1682	1604	646	973	1966	2134	1566	1430	1798	639	2642	1953	2239	1421	1760	978	1657	2302	2010	1595	1214					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24431	850	796	856	483	973	1955	1770	580	734	1250	619	1719	1610	2166	662	1083	653	1066	1109	1795	808	894					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	417	29	52	16	25	0	7	14	19	15	13	8	23	20	28	32	20	21	4	27	25	17	2					
6	Число погашенных бюллетеней	10577	337	834	732	138	0	4	350	967	681	535	12	900	323	45	727	657	304	587	1166	190	770	318					
7	Число бюллетеней в переносных ящиках для голосования	417	29	52	16	25	0	7	14	19	15	13	8	23	20	28	32	20	21	4	27	25	17	2					
8	Число бюллетеней в стационарных ящиках для голосования	24358	850	796	856	483	973	1959	1871	580	734	1250	619	1692	1610	2004	662	1083	653	1062	1109	1795	823	894					
9	Число недействительных бюллетеней	399	4	0	43	15	0	0	35	60	10	15	39	0	12	0	0	0	0	46	49	0	71	0					
10	Число действительных бюллетеней	24376	875	848	829	493	973	1966	1850	539	739	1248	588	1715	1618	2032	694	1103	674	1020	1087	1820	769	896					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	70	3	3	3	2	2	4	4	3	3	3	2	4	4	4	3	3	3	3	4	4	3	3					
