Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Пестовская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417					
1	"Число избирателей, внесенных в списки"	17791	427	248	194	385	496	172	199	552	249	335	331	569	165	188	310	447	350	1373	1618	1953	1890	1599	2173	1208	360					
2	"Число бюллетеней, полученных участковыми комиссиями"	17629	485	241	191	390	490	170	207	547	259	360	334	549	161	181	295	445	348	1380	1556	1997	1854	1568	2075	1191	355					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9124	218	175	152	214	285	91	135	255	133	207	224	380	132	114	163	184	263	638	748	975	1068	631	1054	468	217					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1823	129	19	21	89	27	49	49	155	67	59	52	50	13	38	87	146	45	81	111	152	44	96	150	77	17					
6	Число погашенных бюллетеней	6682	138	47	18	87	178	30	23	137	59	94	58	119	16	29	45	115	40	661	697	870	742	841	871	646	121					
7	Число бюллетеней в переносных ящиках для голосования	1823	129	19	21	89	27	49	49	155	67	59	52	50	13	38	87	146	45	81	111	152	44	96	150	77	17					
8	Число бюллетеней в стационарных ящиках для голосования	9123	218	175	152	214	285	91	135	255	133	207	224	380	132	114	163	184	263	638	748	975	1068	630	1054	468	217					
9	Число недействительных бюллетеней	96	1	3	2	3	0	2	1	8	3	2	6	4	1	2	0	4	1	14	2	9	12	5	4	3	4					
10	Число действительных бюллетеней	10850	346	191	171	300	312	138	183	402	197	264	270	426	144	150	250	326	307	705	857	1118	1100	721	1200	542	230					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	292	9	9	9	9	12	9	9	12	9	9	9	12	9	9	9	9	8	17	17	17	17	17	17	17	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	57	2	0	1	0	1	3	0	1	1	1	3	1	3	3	0	0	0	8	8	1	5	3	12	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	1	0	1	0	2	2	0	4	1	3	1	3	0	2	1	4	1	3	1	1	2	1	9	0	1					
14	Число погашенных открепительных удостоверений	235	7	9	8	9	11	6	9	11	8	8	6	11	6	6	9	9	8	9	9	16	12	14	5	17	12					
15	Число открепительных удостоверений выданных ТИК	8	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	111	8	1	1	6	4	1	1	3	1	1	7	5	4	1	3	2	3	8	8	14	3	6	8	11	1					
		1.01%	2.30%	0.51%	0.57%	1.98%	1.28%	0.71%	0.54%	0.73%	0.5%	0.37%	2.53%	1.16%	2.75%	0.65%	1.2%	0.60%	0.97%	1.11%	0.93%	1.24%	0.26%	0.82%	0.66%	2.01%	0.42%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	177	2	0	4	1	5	0	0	2	1	2	5	7	5	0	5	2	1	13	11	20	31	16	32	8	4					
		1.61%	0.57%	0.0%	2.31%	0.33%	1.60%	0.0%	0.0%	0.48%	0.5%	0.75%	1.81%	1.62%	3.44%	0.0%	2.0%	0.60%	0.32%	1.80%	1.28%	1.77%	2.78%	2.20%	2.65%	1.46%	1.70%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	333	8	7	10	7	7	9	4	17	7	3	4	7	2	1	1	11	12	23	38	36	39	15	45	15	5					
		3.04%	2.30%	3.60%	5.78%	2.31%	2.24%	6.42%	2.17%	4.14%	3.5%	1.12%	1.44%	1.62%	1.37%	0.65%	0.4%	3.33%	3.89%	3.19%	4.42%	3.19%	3.50%	2.06%	3.73%	2.75%	2.13%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	268	10	1	1	3	10	4	6	7	5	4	2	4	5	5	8	6	6	17	20	42	40	16	28	15	3					
		2.44%	2.88%	0.51%	0.57%	0.99%	3.20%	2.85%	3.26%	1.70%	2.5%	1.50%	0.72%	0.93%	3.44%	3.28%	3.2%	1.81%	1.94%	2.36%	2.32%	3.72%	3.59%	2.20%	2.32%	2.75%	1.28%					
22	"5. ""За Русь Святую"""	50	3	0	3	3	0	0	0	4	0	3	2	2	1	0	0	3	1	2	3	5	5	2	2	3	3					
		0.45%	0.86%	0.0%	1.73%	0.99%	0.0%	0.0%	0.0%	0.97%	0.0%	1.12%	0.72%	0.46%	0.68%	0.0%	0.0%	0.90%	0.32%	0.27%	0.34%	0.44%	0.44%	0.27%	0.16%	0.55%	1.28%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	2	0	1	2	2	1	0	3	0	0	0	0	0	1	0	0	0	3	3	3	4	0	5	0	0					
		0.27%	0.57%	0.0%	0.57%	0.66%	0.64%	0.71%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.41%	0.34%	0.26%	0.35%	0.0%	0.41%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	32	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	3	3	3	6	6	2	1	1					
		0.29%	0.28%	0.51%	0.0%	0.33%	0.0%	0.0%	0.0%	0.24%	0.0%	0.37%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.41%	0.34%	0.26%	0.53%	0.82%	0.16%	0.18%	0.42%					
25	"8. ""Народно-республиканская партия России"""	31	1	2	1	2	1	2	0	5	1	3	1	2	1	1	0	2	0	2	0	0	0	1	2	1	0					
		0.28%	0.28%	1.03%	0.57%	0.66%	0.32%	1.42%	0.0%	1.21%	0.5%	1.12%	0.36%	0.46%	0.68%	0.65%	0.0%	0.60%	0.0%	0.27%	0.0%	0.0%	0.0%	0.13%	0.16%	0.18%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	15	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	3	1	2	0	2	0	1					
		0.13%	0.28%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.36%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.34%	0.08%	0.17%	0.0%	0.16%	0.0%	0.42%					
27	"10. ""Аграрная партия России"""	909	37	29	16	43	27	9	17	61	26	30	49	48	33	24	32	19	97	17	63	70	42	32	42	31	15					
		8.30%	10.66%	14.94%	9.24%	14.19%	8.65%	6.42%	9.23%	14.87%	13.0%	11.27%	17.75%	11.16%	22.75%	15.78%	12.8%	5.75%	31.49%	2.36%	7.33%	6.21%	3.77%	4.40%	3.48%	5.68%	6.41%					
28	"11. ""Истинные патриоты России"""	9	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0					
		0.08%	0.0%	1.03%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.41%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	132	3	3	3	8	3	2	0	9	2	0	6	5	1	5	0	1	5	9	10	16	15	13	6	4	3					
		1.20%	0.86%	1.54%	1.73%	2.64%	0.96%	1.42%	0.0%	2.19%	1.0%	0.0%	2.17%	1.16%	0.68%	3.28%	0.0%	0.30%	1.62%	1.25%	1.16%	1.41%	1.34%	1.79%	0.49%	0.73%	1.28%					
30	"13. ""Демократическая партия России"""	20	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	2	0	1	1	4	2	1	3	0	2					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.32%	0.71%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.13%	0.11%	0.35%	0.17%	0.13%	0.24%	0.0%	0.85%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	2	1	0	1	1	0	1	1	1	2	1	1	0	0	0	0	2	1	1	5	1	1	2	1	0					
		0.23%	0.57%	0.51%	0.0%	0.33%	0.32%	0.0%	0.54%	0.24%	0.5%	0.75%	0.36%	0.23%	0.0%	0.0%	0.0%	0.0%	0.64%	0.13%	0.11%	0.44%	0.08%	0.13%	0.16%	0.18%	0.0%					
32	"15. ""Партия СЛОН"""	7	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.5%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.11%	0.08%	0.0%	0.0%	0.08%	0.18%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1013	17	5	4	24	8	18	3	36	1	15	12	36	6	10	8	16	9	92	75	141	146	102	166	44	19					
		9.25%	4.89%	2.57%	2.31%	7.92%	2.56%	12.85%	1.63%	8.78%	0.5%	5.63%	4.34%	8.37%	4.13%	6.57%	3.2%	4.84%	2.92%	12.79%	8.73%	12.51%	13.12%	14.04%	13.78%	8.07%	8.11%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	34	1	1	2	1	2	1	1	3	0	2	0	2	0	0	1	0	3	4	0	2	2	0	2	2	2					
		0.31%	0.28%	0.51%	1.15%	0.33%	0.64%	0.71%	0.54%	0.73%	0.0%	0.75%	0.0%	0.46%	0.0%	0.0%	0.4%	0.0%	0.97%	0.55%	0.0%	0.17%	0.17%	0.0%	0.16%	0.36%	0.85%					
35	"18. ""ЛДПР"""	1595	56	37	42	22	60	10	32	45	33	40	43	79	7	13	29	53	21	113	120	187	149	103	185	69	47					
		14.57%	16.13%	19.07%	24.27%	7.26%	19.23%	7.14%	17.39%	10.97%	16.5%	15.03%	15.57%	18.37%	4.82%	8.55%	11.6%	16.06%	6.81%	15.71%	13.96%	16.59%	13.39%	14.18%	15.36%	12.66%	20.08%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	347	6	4	3	4	0	1	2	7	5	14	2	11	1	3	5	12	12	33	33	41	50	20	37	24	17					
		3.17%	1.72%	2.06%	1.73%	1.32%	0.0%	0.71%	1.08%	1.70%	2.5%	5.26%	0.72%	2.55%	0.68%	1.97%	2.0%	3.63%	3.89%	4.58%	3.84%	3.63%	4.49%	2.75%	3.07%	4.40%	7.26%					
37	"20. ""Политическая партия ""Единая Россия"""	4261	157	66	46	127	149	52	85	152	80	101	110	178	58	68	143	130	122	268	342	404	378	297	445	232	71					
		38.92%	45.24%	34.02%	26.58%	41.91%	47.75%	37.14%	46.19%	37.07%	40.0%	37.96%	39.85%	41.39%	40.0%	44.73%	57.2%	39.39%	39.61%	37.27%	39.81%	35.84%	33.99%	40.90%	36.96%	42.56%	30.34%					
38	"21. ""Российская Конституционно-демократическая партия"""	38	1	1	2	3	2	1	3	1	0	1	3	1	1	0	0	3	2	2	5	0	2	0	1	3	0					
		0.34%	0.28%	0.51%	1.15%	0.99%	0.64%	0.71%	1.63%	0.24%	0.0%	0.37%	1.08%	0.23%	0.68%	0.0%	0.0%	0.90%	0.64%	0.27%	0.58%	0.0%	0.17%	0.0%	0.08%	0.55%	0.0%					
39	"22. ""Развитие предпринимательства"""	33	0	0	1	0	1	0	0	2	0	0	0	2	1	0	1	0	0	0	5	3	2	4	8	3	0					
