Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Белогорская																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71					
1	"Число избирателей, внесенных в списки"	16436	169	1650	188	135	398	32	74	109	885	1511	418	2452	468	121	81	131	477	276	559	71	81	709	95	847	537	172	313	148	58	436	130	126	598	360	185	200	1236					
2	"Число бюллетеней, полученных участковыми комиссиями"	15540	172	1600	186	137	398	32	76	111	880	1300	360	2100	470	123	83	133	460	270	550	70	81	700	87	770	500	175	280	149	59	440	127	124	590	360	187	200	1200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8692	121	741	97	80	226	20	57	85	439	650	206	1203	318	84	77	105	293	136	263	50	50	420	66	372	263	75	204	97	44	219	84	104	373	217	109	120	624					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	412	0	31	24	0	15	0	0	0	5	18	22	54	25	0	0	0	11	1	33	0	0	43	0	33	21	0	6	6	0	0	0	0	15	20	4	0	25					
6	Число погашенных бюллетеней	6436	51	828	65	57	157	12	19	26	436	632	132	843	127	39	6	28	156	133	254	20	31	237	21	365	216	100	70	46	15	221	43	20	202	123	74	80	551					
7	Число бюллетеней в переносных ящиках для голосования	412	0	31	24	0	15	0	0	0	5	18	22	54	25	0	0	0	11	1	33	0	0	43	0	33	21	0	6	6	0	0	0	0	15	20	4	0	25					
8	Число бюллетеней в стационарных ящиках для голосования	8690	121	740	97	80	226	20	57	85	439	650	206	1202	318	84	77	105	293	136	263	50	50	420	66	372	263	75	204	97	44	219	84	104	373	217	109	120	624					
9	Число недействительных бюллетеней	135	0	15	0	0	4	0	1	6	9	1	3	10	6	0	0	0	4	7	5	0	0	16	2	4	5	2	3	0	0	2	0	1	9	3	4	4	9					
10	Число действительных бюллетеней	8967	121	756	121	80	237	20	56	79	435	667	225	1246	337	84	77	105	300	130	291	50	50	447	64	401	279	73	207	103	44	217	84	103	379	234	109	116	640					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	129	2	10	2	2	2	2	2	2	4	11	2	17	2	2	2	2	8	2	2	2	2	8	2	4	4	2	2	2	2	2	2	2	4	2	2	2	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	48	2	6	0	0	1	0	0	1	0	8	1	10	2	0	0	0	2	0	0	0	0	6	0	1	0	0	1	0	0	2	0	0	1	0	1	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	2	5	1	1	2	1	0	0	0	5	1	5	0	1	1	0	1	1	3	1	0	1	0	2	2	0	1	0	1	1	1	0	1	0	1	0	3					
14	Число погашенных открепительных удостоверений	81	0	4	2	2	1	2	2	1	4	3	1	7	0	2	2	2	6	2	2	2	2	2	2	3	4	2	1	2	2	0	2	2	3	2	1	1	3					
15	Число открепительных удостоверений выданных ТИК	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
18	"1. ""ЕДИНЕНИЕ"""	165	2	14	4	3	3	0	2	3	6	13	10	22	1	0	4	3	8	5	3	0	0	8	0	3	2	2	2	2	1	4	1	0	9	10	1	3	11					
		1.81%	1.65%	1.81%	3.30%	3.75%	1.24%	0.0%	3.50%	3.52%	1.35%	1.94%	4.38%	1.75%	0.29%	0.0%	5.19%	2.85%	2.63%	3.64%	1.01%	0.0%	0.0%	1.72%	0.0%	0.74%	0.70%	2.66%	0.95%	1.94%	2.27%	1.82%	1.19%	0.0%	2.31%	4.21%	0.88%	2.5%	1.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	68	0	6	0	0	1	0	0	1	2	7	2	7	2	0	0	0	5	2	1	0	1	7	0	1	4	1	2	0	2	1	1	4	3	2	2	0	1					
		0.74%	0.0%	0.77%	0.0%	0.0%	0.41%	0.0%	0.0%	1.17%	0.45%	1.04%	0.87%	0.55%	0.58%	0.0%	0.0%	0.0%	1.64%	1.45%	0.33%	0.0%	2.0%	1.51%	0.0%	0.24%	1.40%	1.33%	0.95%	0.0%	4.54%	0.45%	1.19%	3.84%	0.77%	0.84%	1.76%	0.0%	0.15%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	226	1	21	4	3	3	0	1	0	21	17	6	28	9	1	0	0	11	5	8	0	0	13	4	17	12	7	7	1	2	6	0	0	4	3	1	0	10					
		2.48%	0.82%	2.72%	3.30%	3.75%	1.24%	0.0%	1.75%	0.0%	4.72%	2.54%	2.63%	2.22%	2.62%	1.19%	0.0%	0.0%	3.61%	3.64%	2.70%	0.0%	0.0%	2.80%	6.06%	4.19%	4.22%	9.33%	3.33%	0.97%	4.54%	2.73%	0.0%	0.0%	1.03%	1.26%	0.88%	0.0%	1.54%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	134	1	17	1	1	6	0	2	3	5	9	6	15	3	1	3	1	1	3	1	2	1	8	0	11	1	1	3	2	0	0	3	3	4	4	1	3	8					
