Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Козельская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394					
1	"Число избирателей, внесенных в списки избирателей"	36092	1590	219	421	94	974	178	90	537	400	291	257	119	416	528	271	900	310	650	192	235	1110	877	1140	1126	2272	785	1782	2507	3054	1474	2016	1441	2534	2174	1576	1552					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	34937	1550	200	400	90	950	180	87	500	400	290	270	120	400	500	250	900	300	650	200	250	1000	850	1200	1100	2100	800	1800	2500	2600	1400	2000	1400	2500	2200	1500	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	39	405	17	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17643	797	90	216	50	484	71	39	229	167	90	71	79	171	235	114	485	140	235	61	125	428	383	426	462	1098	402	915	1346	1838	839	997	828	1261	1110	633	728					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2425	82	66	62	13	112	53	12	69	121	115	135	24	99	81	86	125	91	158	75	65	130	37	97	49	123	34	25	25	90	13	12	0	24	34	62	26					
6	Число погашенных избирательных бюллетеней	14396	671	44	122	27	354	56	36	202	112	85	64	17	130	184	50	290	69	257	64	60	442	430	677	589	867	364	860	1090	267	531	991	572	1215	1056	805	746					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2898	82	66	62	13	112	53	12	69	121	115	135	24	99	81	86	125	91	158	75	65	130	37	97	49	135	34	25	64	495	30	12	0	24	34	62	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17635	797	90	216	50	484	71	39	229	167	90	71	79	171	235	114	485	140	235	61	125	428	383	426	462	1098	401	915	1346	1831	839	997	828	1261	1110	633	728					
9	Число недействительных избирательных бюллетеней	161	4	1	3	1	1	0	0	0	0	0	2	0	1	2	1	6	1	1	2	0	2	5	5	6	8	4	11	13	31	5	8	4	6	8	11	8					
10	Число действительных избирательных бюллетеней	20372	875	155	275	62	595	124	51	298	288	205	204	103	269	314	199	604	230	392	134	190	556	415	518	505	1225	431	929	1397	2295	864	1001	824	1279	1136	684	746					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	325	21	3	5	3	5	3	3	5	5	3	3	3	5	5	3	15	3	5	3	10	10	10	7	12	16	13	10	20	25	12	15	10	13	22	10	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	259	21	1	1	0	1	1	0	5	2	0	3	0	5	5	1	15	0	2	3	10	4	10	7	11	15	11	10	20	23	11	12	6	11	20	4	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	200	1	4	1	3	10	3	1	3	2	3	5	0	5	5	2	6	0	6	3	3	6	8	14	11	12	3	12	7	24	6	8	6	8	3	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	66	0	2	4	3	4	2	3	0	3	3	0	3	0	0	2	0	3	3	0	0	6	0	0	1	1	2	0	0	2	1	3	4	2	2	6	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	1.Политическая партия «Аграрная партия России»	611	13	4	18	1	17	1	0	14	4	10	1	1	14	13	14	32	9	22	2	7	20	14	16	9	35	14	21	26	37	27	33	37	56	31	14	24					
		2.98%	1.48%	2.56%	6.47%	1.59%	2.85%	0.81%	0.00%	4.70%	1.39%	4.88%	0.49%	0.97%	5.19%	4.11%	7.00%	5.25%	3.90%	5.60%	1.47%	3.68%	3.58%	3.33%	3.06%	1.76%	2.84%	3.22%	2.23%	1.84%	1.59%	3.11%	3.27%	4.47%	4.36%	2.71%	2.01%	3.18%					
19	2.Всероссийская политическая партия «Гражданская Сила»	126	4	0	0	0	3	0	0	2	0	0	0	0	0	1	0	3	0	1	0	2	1	1	2	0	11	1	7	17	9	11	9	5	20	6	5	5					
		0.61%	0.46%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.49%	0.00%	0.25%	0.00%	1.05%	0.18%	0.24%	0.38%	0.00%	0.89%	0.23%	0.74%	1.21%	0.39%	1.27%	0.89%	0.60%	1.56%	0.52%	0.72%	0.66%					
20	3.Политическая партия «Демократическая партия России»	21	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	2	1	1	1	1	0	0	2	4	1					
		0.10%	0.11%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.74%	0.53%	0.18%	0.00%	0.00%	0.00%	0.00%	0.23%	0.21%	0.07%	0.04%	0.12%	0.10%	0.00%	0.00%	0.17%	0.58%	0.13%					
