Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Калачевская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900					
1	"Число избирателей, внесенных в списки"	48582	541	129	244	206	1055	395	128	1203	1892	634	171	942	1128	1654	1806	180	1090	187	285	440	290	215	143	305	232	205	974	583	1615	225	112	228	237	632	241	438	1997	1312	770	363	472	2640	1601	1653	1740	2393	1749	1695	2073	1246	2524	1737	1536	96					
2	"Число бюллетеней, полученных участковыми комиссиями"	48900	560	123	224	215	1080	400	123	1135	1825	650	155	700	1100	1800	1650	350	1070	200	275	450	520	220	150	310	230	210	970	610	1410	230	115	240	250	650	250	430	2000	1300	720	370	500	2400	1600	2000	2000	2200	1900	1800	2000	1200	2330	1900	1650	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23639	305	67	131	74	453	225	68	596	1042	363	71	573	624	1121	1010	180	515	120	153	256	290	140	105	193	153	111	455	289	557	115	54	123	110	223	127	234	842	627	426	222	251	1306	680	817	845	1054	803	763	817	449	1069	741	606	95					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1128	38	3	10	38	76	15	0	30	27	29	36	20	0	19	14	0	21	2	11	7	0	0	0	0	0	0	9	19	169	1	0	12	0	20	2	8	40	11	22	15	6	27	17	39	47	30	23	33	35	24	32	30	60	1					
6	Число погашенных бюллетеней	24133	217	53	83	103	551	160	55	509	756	258	48	107	476	660	626	170	534	78	111	187	230	80	45	117	77	99	506	302	684	114	61	105	140	407	121	188	1118	662	272	133	243	1067	903	1144	1108	1116	1074	1004	1148	727	1229	1129	984	54					
7	Число бюллетеней в переносных ящиках для голосования	1128	38	3	10	38	76	15	0	30	27	29	36	20	0	19	14	0	21	2	11	7	0	0	0	0	0	0	9	19	169	1	0	12	0	20	2	8	40	11	22	15	6	27	17	39	47	30	23	33	35	24	32	30	60	1					
8	Число бюллетеней в стационарных ящиках для голосования	23634	305	67	131	74	453	225	68	596	1042	363	71	573	624	1121	1008	180	515	120	153	256	290	140	105	193	153	111	455	289	557	115	54	123	110	223	127	234	842	627	426	222	251	1306	677	817	845	1054	803	763	817	449	1069	741	606	95					
9	Число недействительных бюллетеней	508	11	1	0	0	14	1	4	11	22	8	0	17	3	9	19	0	17	2	4	4	17	1	11	5	5	2	2	12	0	4	0	6	0	8	5	3	9	8	23	12	8	26	10	14	28	25	8	11	24	7	0	53	12	2					
10	Число действительных бюллетеней	24254	332	69	141	112	515	239	64	615	1047	384	107	576	621	1131	1003	180	519	120	160	259	273	139	94	188	148	109	462	296	726	112	54	129	110	235	124	239	873	630	425	225	249	1307	684	842	864	1059	818	785	828	466	1101	718	654	94					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	486	5	5	5	5	5	5	5	5	10	5	5	5	5	20	20	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	5	165	5	8	5	5	5	5	15	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	272	4	0	0	1	0	0	0	3	6	4	0	0	2	13	14	0	3	0	0	1	0	0	0	0	0	0	4	2	3	0	0	0	0	2	0	2	2	1	0	2	0	8	4	153	5	4	2	4	1	2	11	8	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	128	3	3	0	4	2	1	2	5	10	1	1	7	5	4	17	0	2	0	3	0	2	0	0	3	1	0	3	3	1	0	0	0	0	0	0	1	3	0	0	0	0	1	3	4	0	5	0	7	5	3	4	6	3	0					
14	Число погашенных открепительных удостоверений	204	1	5	5	0	0	5	5	2	4	1	5	5	3	7	6	5	2	5	5	4	5	5	5	5	5	5	1	3	2	5	5	5	5	3	5	3	3	4	5	3	5	0	1	12	0	4	3	1	4	2	4	2	4	5					
15	Число открепительных удостоверений выданных ТИК	14	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	5					
16	Число утраченных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	"1. ""ЕДИНЕНИЕ"""	222	0	2	1	1	2	0	4	6	6	1	0	0	5	21	12	7	2	4	6	1	6	0	2	3	3	1	1	5	3	5	0	2	3	4	5	2	9	4	4	2	2	17	1	20	4	2	1	4	5	6	5	5	5	0					
		0.89%	0.0%	2.85%	0.70%	0.89%	0.37%	0.0%	5.88%	0.95%	0.56%	0.25%	0.0%	0.0%	0.80%	1.84%	1.17%	3.88%	0.37%	3.27%	3.65%	0.38%	2.06%	0.0%	1.90%	1.55%	1.96%	0.90%	0.21%	1.62%	0.41%	4.31%	0.0%	1.48%	2.72%	1.64%	3.87%	0.82%	1.02%	0.62%	0.89%	0.84%	0.77%	1.27%	0.14%	2.33%	0.44%	0.18%	0.12%	0.50%	0.58%	1.26%	0.45%	0.64%	0.75%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	510	5	0	4	0	6	4	0	11	35	10	0	12	3	43	31	2	10	1	1	5	6	5	2	4	9	0	4	3	6	5	0	2	1	3	1	6	5	11	3	4	3	27	20	42	23	25	13	17	17	11	22	9	18	0					
		2.05%	1.45%	0.0%	2.83%	0.0%	1.13%	1.66%	0.0%	1.75%	3.27%	2.55%	0.0%	2.02%	0.48%	3.77%	3.03%	1.11%	1.86%	0.81%	0.60%	1.90%	2.06%	3.57%	1.90%	2.07%	5.88%	0.0%	0.86%	0.97%	0.82%	4.31%	0.0%	1.48%	0.90%	1.23%	0.77%	2.47%	0.56%	1.72%	0.66%	1.68%	1.16%	2.02%	2.88%	4.90%	2.57%	2.30%	1.57%	2.13%	1.99%	2.32%	1.99%	1.16%	2.70%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	615	13	2	9	4	10	5	1	19	26	8	0	10	21	18	13	3	17	5	4	1	5	2	0	2	6	2	28	5	11	0	1	4	3	5	2	5	24	16	3	3	7	28	17	12	28	33	17	17	38	8	56	20	16	2					
