Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Карачаевская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19695	940	856	514	1898	697	612	941	1520	1933	449	1302	1869	115	1109	1539	1584	1817									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18808	940	851	488	1805	662	582	895	1447	1837	427	1238	1776	110	1056	1461	1506	1727									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	17	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18233	899	824	461	1765	638	560	864	1413	1794	407	1216	1722	107	1030	1428	1423	1682									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	158	12	6	4	12	6	3	13	13	22	3	5	16	0	11	9	10	13									
6	Число погашенных избирательных бюллетеней	400	20	13	23	28	18	19	18	21	21	17	17	38	3	15	24	73	32									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	158	12	6	4	12	6	3	13	13	22	3	5	16	0	11	9	10	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18233	899	824	461	1765	638	560	864	1413	1794	407	1216	1722	107	1030	1428	1423	1682									
9	Число недействительных избирательных бюллетеней	21	2	1	1	2	1	1	3	3	2	0	1	1	0	1	1	0	1									
10	Число действительных избирательных бюллетеней	18370	909	829	464	1775	643	562	874	1423	1814	410	1220	1737	107	1040	1436	1433	1694									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	34	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	31	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	37	2	3	1	3	1	1	1	2	2	2	2	3	1	3	3	3	4									
		0.20%	0.22%	0.36%	0.22%	0.17%	0.16%	0.18%	0.11%	0.14%	0.11%	0.49%	0.16%	0.17%	0.93%	0.29%	0.21%	0.21%	0.24%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1602	77	68	31	155	30	37	85	196	152	28	105	92	5	103	120	117	201									
		8.71%	8.45%	8.19%	6.67%	8.72%	4.66%	6.57%	9.69%	13.74%	8.37%	6.83%	8.60%	5.29%	4.67%	9.89%	8.35%	8.16%	11.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	20	1	1	0	3	1	0	1	2	2	0	1	1	0	2	1	2	2									
		0.11%	0.11%	0.12%	0.00%	0.17%	0.16%	0.00%	0.11%	0.14%	0.11%	0.00%	0.08%	0.06%	0.00%	0.19%	0.07%	0.14%	0.12%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15176	770	690	401	1501	573	480	703	1075	1360	350	1001	1493	85	831	1239	1242	1382									
		82.52%	84.52%	83.13%	86.24%	84.47%	88.98%	85.26%	80.16%	75.39%	74.89%	85.37%	81.98%	85.90%	79.44%	79.83%	86.22%	86.67%	81.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	1	1	0	1	1	1	1	2	2	0	1	1	0	2	2	1	1									
		0.10%	0.11%	0.12%	0.00%	0.06%	0.16%	0.18%	0.11%	0.14%	0.11%	0.00%	0.08%	0.06%	0.00%	0.19%	0.14%	0.07%	0.06%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	1	0	1	2	1	1	2	1	1	1	2	1	0	1	1	1	1									
		0.10%	0.11%	0.00%	0.22%	0.11%	0.16%	0.18%	0.23%	0.07%	0.06%	0.24%	0.16%	0.06%	0.00%	0.10%	0.07%	0.07%	0.06%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	119	5	7	3	10	5	8	11	13	15	5	10	7	1	7	2	3	7									
		0.65%	0.55%	0.84%	0.65%	0.56%	0.78%	1.42%	1.25%	0.91%	0.83%	1.22%	0.82%	0.40%	0.93%	0.67%	0.14%	0.21%	0.41%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1									
		0.04%	0.00%	0.12%	0.00%	0.06%	0.00%	0.00%	0.11%	0.07%	0.06%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	37	2	1	0	2	2	1	2	2	1	1	1	10	0	3	3	2	4									
		0.20%	0.22%	0.12%	0.00%	0.11%	0.31%	0.18%	0.23%	0.14%	0.06%	0.24%	0.08%	0.58%	0.00%	0.29%	0.21%	0.14%	0.24%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	2	1									
		0.05%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.11%	0.00%	0.00%	0.24%	0.00%	0.06%	0.00%	0.10%	0.07%	0.14%	0.06%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	73	4	5	3	7	3	3	5	7	8	3	6	5	1	3	3	3	4									
		0.40%	0.44%	0.60%	0.65%	0.39%	0.47%	0.53%	0.57%	0.49%	0.44%	0.73%	0.49%	0.29%	0.93%	0.29%	0.21%	0.21%	0.24%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	970	41	46	21	75	20	25	52	112	120	15	80	110	13	75	48	44	73									
		5.27%	4.50%	5.54%	4.52%	4.22%	3.11%	4.44%	5.93%	7.85%	6.61%	3.66%	6.55%	6.33%	12.15%	7.20%	3.34%	3.07%	4.31%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	119	4	5	3	12	5	4	7	8	10	3	8	11	1	8	10	10	10									
		0.65%	0.44%	0.60%	0.65%	0.68%	0.78%	0.71%	0.80%	0.56%	0.55%	0.73%	0.66%	0.63%	0.93%	0.77%	0.70%	0.70%	0.59%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	165	1	1	0	2	1	1	2	2	140	1	2	2	0	1	3	3	3									
		0.90%	0.11%	0.12%	0.00%	0.11%	0.16%	0.18%	0.23%	0.14%	7.71%	0.24%	0.16%	0.12%	0.00%	0.10%	0.21%	0.21%	0.18%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
