Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Лужская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №8322									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	61115	375	572	772	813	939	1565	270	1947	1449	1035	424	1289	248	1393	1439	1462	1629	1610	1551	1689	1676	966	695	1538	2425	2272	747	972	1221	1472	964	2167	422	217	557	2107	940	884	707	888	1366	794	1948	577	688	254	1055	916	226	604	419	1099	435	589	1272	1267	994	304									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	87540	270	410	500	580	650	1110	230	1300	1030	730	300	950	180	1000	1020	1020	1160	1130	1090	1190	1190	680	490	1080	1740	1550	530	660	970	1080	710	1770	390	210	520	1560	860	880	500	640	1120	680	1550	560	620	250	760	730	180	500	400	820	360	440	1080	1010	720	41900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23967	135	196	222	238	262	476	109	948	538	379	141	437	86	644	552	548	973	632	905	713	706	337	260	453	1402	1197	291	360	412	652	259	1152	141	54	330	687	519	263	135	303	386	217	711	184	217	88	316	319	84	180	189	339	69	112	489	400	317	303									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3835	7	3	34	7	10	10	100	5	8	2	4	8	3	7	14	6	7	8	27	2	4	7	6	21	9	2	6	72	188	61	61	19	59	92	117	101	115	281	39	24	182	222	274	149	211	71	85	68	25	64	32	56	158	138	138	247	159	0									
6	Число погашенных избирательных бюллетеней	59738	128	211	244	335	378	624	21	347	484	349	155	505	91	349	454	466	180	490	158	475	480	336	224	606	329	351	233	228	370	367	390	599	190	64	73	772	226	336	326	313	552	241	565	227	192	91	359	343	71	256	179	425	133	190	453	363	244	41597									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3834	7	3	34	7	10	10	100	5	8	2	4	8	3	6	14	6	7	8	27	2	4	7	6	21	9	2	6	72	188	61	61	19	59	92	117	101	115	281	39	24	182	222	274	149	211	71	85	68	25	64	32	56	158	138	138	247	159	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23946	135	196	222	238	262	476	109	948	538	379	141	437	86	643	552	542	973	632	905	713	705	337	260	453	1393	1195	291	359	412	652	259	1152	141	54	329	687	519	263	135	303	386	217	711	184	217	88	316	319	84	180	189	339	69	112	489	400	317	303									
9	Число недействительных избирательных бюллетеней	810	12	6	5	6	10	11	9	27	13	13	7	19	2	18	28	15	23	23	19	18	20	13	2	7	35	36	13	11	25	26	7	39	11	2	9	40	20	12	6	14	18	16	32	9	6	7	12	6	3	7	7	6	3	3	18	11	14	0									
10	Число действительных избирательных бюллетеней	26970	130	193	251	239	262	475	200	926	533	368	138	426	87	631	538	533	957	617	913	697	689	331	264	467	1367	1161	284	420	575	687	313	1132	189	144	437	748	614	532	168	313	550	423	953	324	422	152	389	381	106	237	214	389	224	247	609	636	462	303									
