Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Далматовская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340					
1	"Число избирателей, внесенных в список избирателей"	24977	854	1148	819	1935	1700	1707	1550	730	423	361	119	191	45	308	163	113	144	166	107	670	102	264	271	477	127	331	76	174	438	183	337	616	381	696	194	431	262	302	75	170	1612	759	284	237	566	1261	345	753					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24250	800	1000	800	1900	1700	1700	1500	700	430	370	120	180	60	290	170	130	150	170	110	700	100	270	280	470	130	400	70	190	410	180	320	620	380	700	200	420	250	300	80	170	1600	700	270	210	500	1000	350	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	13246	329	554	361	929	890	892	740	322	259	170	83	99	42	129	85	79	101	110	70	438	70	180	135	226	68	204	52	96	250	96	215	306	233	383	111	274	150	205	45	117	750	413	182	142	293	669	228	471					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2031	41	57	47	119	64	51	53	50	162	21	6	25	0	26	27	14	16	15	17	56	15	38	76	66	30	18	5	28	49	24	22	70	35	65	20	37	31	15	2	6	99	78	25	30	107	93	19	61					
6	Число погашенных избирательных бюллетеней	8973	430	389	392	852	746	757	707	328	9	179	31	56	18	135	58	37	33	45	23	206	15	52	69	178	32	178	13	66	111	60	83	244	112	252	69	109	69	80	33	47	751	209	63	38	100	238	103	168					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2031	41	57	47	119	64	51	53	50	162	21	6	25	0	26	27	14	16	15	17	56	15	38	76	66	30	18	5	28	49	24	22	70	35	65	20	37	31	15	2	6	99	78	25	30	107	93	19	61					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13246	329	554	361	929	890	892	740	322	259	170	83	99	42	129	85	79	101	110	70	438	70	180	135	226	68	204	52	96	250	96	215	306	233	383	111	274	150	205	45	117	750	413	182	142	293	669	228	471					
9	Число недействительных избирательных бюллетеней	290	6	13	6	12	18	13	16	3	63	2	1	1	0	1	2	1	0	1	0	11	1	2	0	6	1	6	1	1	7	0	0	4	1	10	5	4	0	2	0	4	24	8	3	3	2	14	2	9					
10	Число действительных избирательных бюллетеней	14987	364	598	402	1036	936	930	777	369	358	189	88	123	42	154	110	92	117	124	87	483	84	216	211	286	97	216	56	123	292	120	237	372	267	438	126	307	181	218	47	119	825	483	204	169	398	748	245	523					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	593	16	19	12	34	35	28	26	10	0	11	5	1	0	5	8	13	10	5	0	35	5	25	13	18	8	5	3	15	10	5	0	5	5	15	5	10	10	11	2	5	43	15	10	7	11	20	15	24					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	561	10	19	12	34	32	28	16	8	0	8	5	1	0	3	8	13	10	5	0	35	5	25	13	16	8	5	3	15	8	5	0	5	5	15	5	10	10	11	2	5	43	15	10	7	9	20	15	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	244	4	12	11	24	10	22	11	6	0	2	4	2	5	6	3	2	1	1	2	9	2	4	5	2	4	3	2	3	5	5	0	5	5	7	3	3	7	4	2	3	8	3	6	1	2	5	3	5					
14	Число погашенных неиспользованных открепительных удостоверений	32	6	0	0	0	3	0	10	2	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2359	41	97	64	182	174	179	121	90	54	39	23	13	4	29	11	21	4	15	6	53	8	24	26	32	9	24	13	34	32	6	13	73	37	123	36	30	23	34	1	19	116	67	45	13	55	163	20	63					
		15.44%	11.08%	15.88%	15.69%	17.37%	18.24%	18.98%	15.26%	24.19%	12.83%	20.42%	25.84%	10.48%	9.52%	18.71%	9.82%	22.58%	3.42%	12.00%	6.90%	10.73%	9.41%	11.01%	12.32%	10.96%	9.18%	10.81%	22.81%	27.42%	10.70%	5.00%	5.49%	19.41%	13.81%	27.46%	27.48%	9.65%	12.71%	15.45%	2.13%	15.45%	13.66%	13.65%	21.74%	7.56%	13.75%	21.39%	8.10%	11.84%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2385	71	107	72	138	138	123	155	56	56	43	16	23	12	35	19	12	25	12	25	76	15	27	41	55	15	27	9	11	70	17	33	69	45	71	23	44	25	38	3	18	108	66	19	21	44	98	42	117					
		15.61%	19.19%	17.51%	17.65%	13.17%	14.47%	13.04%	19.55%	15.05%	13.30%	22.51%	17.98%	18.55%	28.57%	22.58%	16.96%	12.90%	21.37%	9.60%	28.74%	15.38%	17.65%	12.39%	19.43%	18.84%	15.31%	12.16%	15.79%	8.87%	23.41%	14.17%	13.92%	18.35%	16.79%	15.85%	17.56%	14.15%	13.81%	17.27%	6.38%	14.63%	12.72%	13.44%	9.18%	12.21%	11.00%	12.86%	17.00%	21.99%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	132	2	6	4	9	12	4	11	1	7	0	2	0	0	1	2	1	1	2	1	3	0	1	3	3	1	3	0	0	3	1	0	2	1	3	1	1	6	4	0	1	4	5	1	4	3	5	2	5					
