Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Далматовская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340					
1	"Число избирателей, внесенных в списки избирателей"	25984	786	822	794	783	1551	1123	1673	780	1279	926	438	924	134	125	74	46	174	141	149	178	116	685	112	326	318	457	61	164	376	90	211	486	208	246	628	385	733	203	445	294	325	100	195	1637	767	289	236	561	1293	362	775					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25550	750	800	750	770	1600	1100	1600	750	1200	900	430	900	130	100	70	50	160	140	150	180	120	700	100	300	300	450	60	150	350	90	200	500	200	340	610	380	750	200	450	300	300	100	200	1650	770	300	230	520	1250	360	790					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15152	338	425	404	453	893	658	982	432	617	500	425	430	86	97	55	30	133	106	115	121	92	455	72	168	167	253	52	90	230	56	103	309	131	207	332	243	388	132	269	185	211	60	128	904	457	213	144	321	696	263	521					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1314	39	27	25	32	44	62	55	18	37	26	0	37	4	0	11	0	15	8	14	11	10	72	8	63	36	27	2	34	25	6	12	45	18	12	30	38	17	15	28	22	26	5	14	40	28	8	24	43	106	9	26					
6	Число погашенных избирательных бюллетеней	9084	373	348	321	285	663	380	563	300	546	374	5	433	40	3	4	20	12	26	21	48	18	173	20	69	97	170	6	26	95	28	85	146	51	121	248	99	345	53	153	93	63	35	58	706	285	79	62	156	448	88	243					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1314	39	27	25	32	44	62	55	18	37	26	0	37	4	0	11	0	15	8	14	11	10	72	8	63	36	27	2	34	25	6	12	45	18	12	30	38	17	15	28	22	26	5	14	40	28	8	24	43	106	9	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15152	338	425	404	453	893	658	982	432	617	500	425	430	86	97	55	30	133	106	115	121	92	455	72	168	167	253	52	90	230	56	103	309	131	207	332	243	388	132	269	185	211	60	128	904	457	213	144	321	696	263	521					
9	Число недействительных избирательных бюллетеней	154	4	0	3	2	1	3	10	8	9	4	2	0	1	0	1	0	18	8	0	0	0	5	0	3	1	4	0	1	3	1	0	0	1	2	3	6	8	2	1	1	2	0	5	9	6	1	1	1	11	1	1					
10	Число действительных избирательных бюллетеней	16312	373	452	426	483	936	717	1027	442	645	522	423	467	89	97	65	30	130	106	129	132	102	522	80	228	202	276	54	123	252	61	115	354	148	217	359	275	397	145	296	206	235	65	137	935	479	220	167	363	791	271	546					
