Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Верхнекетская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428					
1	"Число избирателей, внесенных в списки избирателей"	13842	1667	1965	1863	592	427	1307	1802	1277	229	332	585	206	823	320	115	332					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13250	1600	1900	1800	500	400	1300	1800	1200	200	300	500	200	800	300	120	330					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7848	896	1081	929	332	259	820	915	677	176	234	371	136	485	233	84	220					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	698	60	36	64	59	18	67	114	122	15	16	46	5	28	9	6	33					
6	Число погашенных избирательных бюллетеней	4704	644	783	807	109	123	413	771	401	9	50	83	59	287	58	30	77					
7	Число избирательных бюллетеней в переносных ящиках для голосования	698	60	36	64	59	18	67	114	122	15	16	46	5	28	9	6	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7847	896	1081	928	332	259	820	915	677	176	234	371	136	485	233	84	220					
9	Число недействительных избирательных бюллетеней	79	10	12	12	7	0	8	6	9	0	2	5	3	4	0	0	1					
10	Число действительных избирательных бюллетеней	8466	946	1105	980	384	277	879	1023	790	191	248	412	138	509	242	90	252					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	440	40	40	40	20	10	40	40	40	20	20	25	10	30	35	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	186	29	19	13	2	8	16	11	9	1	2	18	2	7	33	15	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	67	7	12	5	1	2	4	6	4	1	2	3	3	5	6	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	254	11	21	27	18	2	24	29	31	19	18	7	8	23	2	0	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	108	14	9	10	4	5	8	19	15	2	1	1	3	8	3	2	4					
		1.26%	1.46%	0.81%	1.01%	1.02%	1.81%	0.90%	1.85%	1.88%	1.05%	0.40%	0.24%	2.13%	1.56%	1.24%	2.22%	1.58%					
19	2.Всероссийская политическая партия «Гражданская Сила»	41	5	5	11	2	2	3	4	3	1	1	0	0	4	0	0	0					
		0.48%	0.52%	0.45%	1.11%	0.51%	0.72%	0.34%	0.39%	0.38%	0.52%	0.40%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	5	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0					
		0.06%	0.10%	0.00%	0.00%	0.00%	0.36%	0.00%	0.19%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	987	134	186	178	35	50	113	64	95	14	22	23	7	31	21	3	11					
		11.55%	14.02%	16.65%	17.94%	8.95%	18.05%	12.74%	6.22%	11.89%	7.33%	8.80%	5.52%	4.96%	6.04%	8.68%	3.33%	4.35%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	55	8	12	5	1	5	13	1	5	0	2	0	0	1	1	0	1					
		0.64%	0.84%	1.07%	0.50%	0.26%	1.81%	1.47%	0.10%	0.63%	0.00%	0.80%	0.00%	0.00%	0.19%	0.41%	0.00%	0.40%					
23	6.Политическая партия «Партия социальной справедливости»	11	1	1	0	2	0	1	2	1	0	0	1	0	1	0	1	0					
		0.13%	0.10%	0.09%	0.00%	0.51%	0.00%	0.11%	0.19%	0.13%	0.00%	0.00%	0.24%	0.00%	0.19%	0.00%	1.11%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	812	120	109	96	45	18	69	103	75	29	25	37	18	33	13	8	14					
		9.50%	12.55%	9.76%	9.68%	11.51%	6.50%	7.78%	10.01%	9.39%	15.18%	10.00%	8.87%	12.77%	6.43%	5.37%	8.89%	5.53%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	488	63	69	58	20	27	44	42	44	6	13	31	13	34	8	2	14					
		5.71%	6.59%	6.18%	5.85%	5.12%	9.75%	4.96%	4.08%	5.51%	3.14%	5.20%	7.43%	9.22%	6.63%	3.31%	2.22%	5.53%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	45	8	8	5	2	0	4	6	3	0	0	3	2	2	1	1	0					
		0.53%	0.84%	0.72%	0.50%	0.51%	0.00%	0.45%	0.58%	0.38%	0.00%	0.00%	0.72%	1.42%	0.39%	0.41%	1.11%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5862	585	697	614	269	168	619	775	543	138	184	312	95	394	191	72	206					
		68.60%	61.19%	62.40%	61.90%	68.80%	60.65%	69.79%	75.32%	67.96%	72.25%	73.60%	74.82%	67.38%	76.80%	78.93%	80.00%	81.42%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	52	7	9	3	4	1	5	5	6	0	0	4	0	1	4	1	2					
		0.61%	0.73%	0.81%	0.30%	1.02%	0.36%	0.56%	0.49%	0.75%	0.00%	0.00%	0.96%	0.00%	0.19%	1.65%	1.11%	0.79%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
