Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Гаврилов-Ямская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  364	УИК  365	УИК  366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392					
1	"Число избирателей, внесенных в списки"	23471	2745	1468	2469	1678	249	1537	1283	2918	569	889	400	349	602	1044	708	358	217	894	315	381	236	223	238	235	383	173	321	288	301					
2	"Число бюллетеней, полученных участковыми комиссиями"	23310	2741	1466	2454	1671	238	1542	1293	2901	563	880	396	351	509	1037	704	359	210	894	318	379	238	222	238	236	385	179	319	285	302					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11642	1505	752	1314	761	161	791	566	1605	300	413	222	115	299	420	290	205	86	433	192	179	160	88	83	82	196	68	94	131	131					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1521	36	63	99	56	14	40	28	59	10	38	65	67	68	114	27	13	41	42	56	81	12	65	49	70	55	42	109	46	56					
6	Число погашенных бюллетеней	10147	1200	651	1041	854	63	711	699	1237	253	429	109	169	142	503	387	141	83	419	70	119	66	69	106	84	134	69	116	108	115					
7	Число бюллетеней в переносных ящиках для голосования	1521	36	63	99	56	14	40	28	59	10	38	65	67	68	114	27	13	41	42	56	81	12	65	49	70	55	42	109	46	56					
8	Число бюллетеней в стационарных ящиках для голосования	11636	1503	750	1314	761	161	791	566	1604	299	413	222	115	299	420	290	205	86	433	192	179	160	88	83	82	196	68	94	131	131					
9	Число недействительных бюллетеней	211	17	14	24	17	0	10	19	17	11	10	4	1	1	11	9	2	3	15	3	2	1	0	2	3	3	3	2	4	3					
10	Число действительных бюллетеней	12946	1522	799	1389	800	175	821	575	1646	298	441	283	181	366	523	308	216	124	460	245	258	171	153	130	149	248	107	201	173	184					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	899	49	50	50	50	30	30	30	30	30	30	30	20	30	30	30	30	20	30	30	30	30	30	30	30	30	20	30	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	70	6	2	11	3	0	4	1	11	0	1	0	0	2	8	2	2	0	7	1	1	1	0	1	2	1	0	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	99	3	2	7	3	7	1	5	4	3	0	2	3	34	5	4	1	4	2	0	1	0	0	0	2	1	1	1	1	2					
14	Число погашенных открепительных удостоверений	829	43	48	39	47	30	26	29	19	30	29	30	20	28	22	28	28	20	23	29	29	29	30	29	28	29	20	29	19	19					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	176	12	16	18	15	1	9	3	18	5	6	4	2	4	8	8	5	3	4	7	5	7	4	0	4	0	1	3	3	1					
		1.33%	0.77%	1.96%	1.27%	1.83%	0.57%	1.08%	0.50%	1.08%	1.61%	1.33%	1.39%	1.09%	1.08%	1.49%	2.52%	2.29%	2.36%	0.84%	2.82%	1.92%	4.06%	2.61%	0.0%	2.63%	0.0%	0.90%	1.47%	1.69%	0.53%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	268	42	14	34	23	0	17	12	43	5	8	5	1	7	9	1	7	2	11	0	3	2	1	1	1	3	3	2	6	5					
		2.03%	2.72%	1.72%	2.40%	2.81%	0.0%	2.04%	2.02%	2.58%	1.61%	1.77%	1.74%	0.54%	1.90%	1.68%	0.31%	3.21%	1.57%	2.31%	0.0%	1.15%	1.16%	0.65%	0.75%	0.65%	1.19%	2.72%	0.98%	3.38%	2.67%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	383	42	21	48	35	6	17	27	40	10	15	12	5	11	6	11	3	5	12	7	3	6	7	4	3	6	2	8	8	3					
		2.91%	2.72%	2.58%	3.39%	4.28%	3.42%	2.04%	4.54%	2.40%	3.23%	3.32%	4.18%	2.74%	2.99%	1.12%	3.47%	1.37%	3.93%	2.52%	2.82%	1.15%	3.48%	4.57%	3.03%	1.97%	2.39%	1.81%	3.94%	4.51%	1.60%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	279	53	19	38	19	0	21	9	41	7	6	1	3	8	7	4	5	1	6	2	3	0	2	0	0	2	6	1	12	3					
		2.12%	3.44%	2.33%	2.68%	2.32%	0.0%	2.52%	1.51%	2.46%	2.26%	1.33%	0.34%	1.64%	2.17%	1.31%	1.26%	2.29%	0.78%	1.26%	0.80%	1.15%	0.0%	1.30%	0.0%	0.0%	0.79%	5.45%	0.49%	6.77%	1.60%					
22	"5. ""За Русь Святую"""	264	23	16	47	17	2	13	14	54	4	18	1	0	1	8	2	2	2	6	0	0	1	2	2	0	2	6	3	5	13					
		2.00%	1.49%	1.96%	3.32%	2.08%	1.14%	1.56%	2.35%	3.24%	1.29%	3.99%	0.34%	0.0%	0.27%	1.49%	0.63%	0.91%	1.57%	1.26%	0.0%	0.0%	0.58%	1.30%	1.51%	0.0%	0.79%	5.45%	1.47%	2.82%	6.95%					
23	"6. ""Объединенная Российская партия ""Русь"""	28	0	1	3	2	0	0	3	3	0	1	3	0	1	4	2	1	0	3	0	1	0	0	0	0	0	0	0	0	0					
		0.21%	0.0%	0.12%	0.21%	0.24%	0.0%	0.0%	0.50%	0.18%	0.0%	0.22%	1.04%	0.0%	0.27%	0.74%	0.63%	0.45%	0.0%	0.63%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	67	4	8	6	6	1	2	4	6	0	2	2	0	2	2	0	5	0	6	2	0	0	0	2	2	1	0	0	1	3					
		0.50%	0.25%	0.98%	0.42%	0.73%	0.57%	0.24%	0.67%	0.36%	0.0%	0.44%	0.69%	0.0%	0.54%	0.37%	0.0%	2.29%	0.0%	1.26%	0.80%	0.0%	0.0%	0.0%	1.51%	1.31%	0.39%	0.0%	0.0%	0.56%	1.60%					
25	"8. ""Народно-республиканская партия России"""	17	2	2	0	0	0	1	0	1	1	1	0	0	0	4	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0					
		0.12%	0.12%	0.24%	0.0%	0.0%	0.0%	0.12%	0.0%	0.06%	0.32%	0.22%	0.0%	0.0%	0.0%	0.74%	0.63%	0.45%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	38	10	3	5	2	0	2	0	1	1	3	1	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2					
		0.28%	0.64%	0.36%	0.35%	0.24%	0.0%	0.24%	0.0%	0.06%	0.32%	0.66%	0.34%	0.0%	1.36%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	1.06%					
27	"10. ""Аграрная партия России"""	949	65	41	44	16	9	35	18	68	7	15	38	11	43	72	16	24	23	27	68	52	39	19	18	24	74	22	29	19	13					
		7.21%	4.22%	5.04%	3.11%	1.95%	5.14%	4.21%	3.03%	4.08%	2.26%	3.32%	13.24%	6.04%	11.71%	13.48%	5.04%	11.00%	18.11%	5.68%	27.41%	20.0%	22.67%	12.41%	13.63%	15.78%	29.48%	20.0%	14.28%	10.73%	6.95%					
28	"11. ""Истинные патриоты России"""	5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.65%	0.0%	0.0%	0.49%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	156	13	7	28	13	2	9	9	30	0	3	1	2	2	1	3	2	0	8	3	1	2	5	1	2	2	0	4	0	3					
		1.18%	0.84%	0.86%	1.98%	1.59%	1.14%	1.08%	1.51%	1.80%	0.0%	0.66%	0.34%	1.09%	0.54%	0.18%	0.94%	0.91%	0.0%	1.68%	1.20%	0.38%	1.16%	3.26%	0.75%	1.31%	0.79%	0.0%	1.97%	0.0%	1.60%					
30	"13. ""Демократическая партия России"""	28	2	3	4	1	2	1	0	4	1	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	1	0					
		0.21%	0.12%	0.36%	0.28%	0.12%	1.14%	0.12%	0.0%	0.24%	0.32%	0.44%	0.34%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.65%	0.0%	0.0%	0.39%	0.0%	0.98%	0.56%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	2	2	0	2	1	1	1	2	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	2					
		0.14%	0.12%	0.24%	0.0%	0.24%	0.57%	0.12%	0.16%	0.12%	0.0%	0.0%	0.0%	0.54%	0.27%	0.0%	0.0%	0.0%	0.78%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.39%	0.0%	0.0%	0.0%	1.06%					
32	"15. ""Партия СЛОН"""	23	2	3	5	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0	1	3	0	0	0	1	0	0	1	1					
		0.17%	0.12%	0.36%	0.35%	0.0%	0.0%	0.12%	0.0%	0.06%	0.0%	0.22%	0.34%	0.0%	0.0%	0.18%	0.0%	0.45%	0.0%	0.0%	0.0%	0.38%	1.74%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.56%	0.53%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1348	195	120	172	82	25	76	58	201	34	48	22	10	38	42	31	13	3	66	15	16	7	8	5	9	11	11	8	7	15					
		10.24%	12.67%	14.76%	12.17%	10.03%	14.28%	9.14%	9.76%	12.08%	11.00%	10.64%	7.66%	5.49%	10.35%	7.86%	9.77%	5.96%	2.36%	13.89%	6.04%	6.15%	4.06%	5.22%	3.78%	5.92%	4.38%	10.0%	3.94%	3.95%	8.02%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	1	0	6	6	0	2	3	2	0	1	1	0	0	2	0	0	0	0	2	1	0	2	2	0	4	0	0	0	4					
		0.29%	0.06%	0.0%	0.42%	0.73%	0.0%	0.24%	0.50%	0.12%	0.0%	0.22%	0.34%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.80%	0.38%	0.0%	1.30%	1.51%	0.0%	1.59%	0.0%	0.0%	0.0%	2.13%					
35	"18. ""ЛДПР"""	1641	227	84	154	109	27	133	80	182	47	62	44	34	47	71	29	43	17	37	27	21	19	11	13	25	22	11	16	20	29					
		12.47%	14.74%	10.33%	10.89%	13.34%	15.42%	16.00%	13.46%	10.94%	15.21%	13.74%	15.33%	18.68%	12.80%	13.29%	9.14%	19.72%	13.38%	7.78%	10.88%	8.07%	11.04%	7.18%	9.84%	16.44%	8.76%	10.0%	7.88%	11.29%	15.50%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	328	33	22	27	16	4	29	19	46	7	5	6	3	11	7	15	7	7	18	4	3	6	4	5	3	9	2	2	3	5					
