Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Тюкалинская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1756	УИК №1757	УИК №1758	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20058	1260	1203	1234	1151	1139	963	985	948	621	133	292	473	200	193	264	127	62	490	85	68	661	85	484	98	488	200	129	562	62	619	343	100	574	74	141	882	611	712	85	355	102	473	74	134	119									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19510	1250	1150	1200	1150	1100	925	975	925	625	125	275	450	200	175	250	125	50	500	75	60	600	75	500	75	475	200	125	550	50	600	325	100	550	75	125	875	625	725	75	325	100	475	75	125	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8050	436	425	418	473	494	402	346	332	222	41	134	160	80	100	156	44	35	172	66	53	229	29	205	56	204	74	59	249	32	208	186	53	258	55	65	387	277	282	38	180	39	146	44	50	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1522	30	48	28	32	45	33	28	20	45	31	26	69	14	4	12	10	7	108	0	7	103	19	140	4	19	25	18	63	10	116	30	16	27	4	33	61	59	65	10	37	34	10	0	12	10									
6	Число погашенных избирательных бюллетеней	9938	784	677	754	645	561	490	601	573	358	53	115	221	106	71	82	71	8	220	9	0	268	27	155	15	252	101	48	238	8	276	109	31	265	16	27	427	289	378	27	108	27	319	31	63	34									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1522	30	48	28	32	45	33	28	20	45	31	26	69	14	4	12	10	7	108	0	7	103	19	140	4	19	25	18	63	10	116	30	16	27	4	33	61	59	65	10	37	34	10	0	12	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8050	436	425	418	473	494	402	346	332	222	41	134	160	80	100	156	44	35	172	66	53	229	29	205	56	204	74	59	249	32	208	186	53	258	55	65	387	277	282	38	180	39	146	44	50	56									
9	Число недействительных избирательных бюллетеней	289	12	21	21	11	16	19	16	11	7	1	1	3	6	4	11	5	0	11	0	5	6	0	7	0	7	1	0	8	0	13	4	0	14	2	1	15	5	7	2	9	0	7	0	0	0									
10	Число действительных избирательных бюллетеней	9283	454	452	425	494	523	416	358	341	260	71	159	226	88	100	157	49	42	269	66	55	326	48	338	60	216	98	77	304	42	311	212	69	271	57	97	433	331	340	46	208	73	149	44	62	66									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	555	34	30	33	30	30	25	26	25	16	3	8	12	5	5	7	6	2	29	2	4	17	4	13	3	13	5	4	15	2	16	9	3	15	2	4	23	17	22	2	9	3	13	2	4	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	215	7	8	9	13	16	6	3	6	3	0	0	2	0	1	1	6	0	29	0	4	0	4	8	1	7	0	1	6	0	15	7	0	5	0	0	4	14	22	0	2	3	0	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	103	4	7	2	10	10	10	3	5	0	1	1	0	1	2	2	2	1	1	1	3	1	3	1	1	2	2	0	3	2	3	0	1	1	1	2	0	0	3	1	3	1	1	3	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	340	27	22	24	17	14	19	23	19	13	3	8	10	5	4	6	0	2	0	2	0	17	0	5	2	6	5	3	9	2	1	2	3	10	2	4	19	3	0	2	7	0	13	0	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	2	2	1	3	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	63	2	6	2	3	1	2	2	3	1	0	2	3	1	0	5	0	0	0	0	0	0	0	0	0	6	1	0	8	0	2	3	0	0	0	0	4	4	2	0	0	0	0	0	0	0									
		0.66%	0.43%	1.27%	0.45%	0.59%	0.19%	0.46%	0.53%	0.85%	0.37%	0.00%	1.25%	1.31%	1.06%	0.00%	2.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.69%	1.01%	0.00%	2.56%	0.00%	0.62%	1.39%	0.00%	0.00%	0.00%	0.00%	0.89%	1.19%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	438	31	15	24	21	18	18	19	13	17	3	7	4	2	4	4	2	0	14	0	9	14	8	16	1	9	2	4	19	2	22	15	0	16	1	3	13	18	29	2	5	2	6	2	4	0									
		4.58%	6.65%	3.17%	5.38%	4.16%	3.34%	4.14%	5.08%	3.69%	6.37%	4.17%	4.38%	1.75%	2.13%	3.85%	2.38%	3.70%	0.00%	5.00%	0.00%	15.00%	4.22%	16.67%	4.64%	1.67%	4.04%	2.02%	5.19%	6.09%	4.76%	6.79%	6.94%	0.00%	5.61%	1.69%	3.06%	2.90%	5.36%	8.36%	4.17%	2.30%	2.74%	3.85%	4.55%	6.45%	0.00%									
