Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Клетнянская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501	УИК  502					
1	"Число избирателей, внесенных в списки"	17090	2999	1147	2003	1822	2321	571	436	211	219	86	60	304	223	122	377	112	707	328	192	172	282	261	134	136	272	273	248	115	235	70	443	209					
2	"Число бюллетеней, полученных участковыми комиссиями"	16500	2880	1089	1932	1705	2235	545	441	210	223	87	61	303	221	121	361	108	687	320	189	169	272	256	134	133	264	280	242	110	228	64	424	206					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8280	1117	574	875	794	1068	292	202	151	134	60	41	192	106	78	168	31	457	216	129	92	120	145	81	75	111	186	110	79	123	39	313	121					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	993	96	19	30	45	96	39	6	9	12	8	9	38	58	9	13	48	0	32	18	38	78	53	10	24	30	9	81	16	16	2	26	25					
6	Число погашенных бюллетеней	7227	1667	496	1027	866	1071	214	233	50	77	19	11	73	57	34	180	29	230	72	42	39	74	58	43	34	123	85	51	15	89	23	85	60					
7	Число бюллетеней в переносных ящиках для голосования	993	96	19	30	45	96	39	6	9	12	8	9	38	58	9	13	48	0	32	18	38	78	53	10	24	30	9	81	16	16	2	26	25					
8	Число бюллетеней в стационарных ящиках для голосования	8272	1117	574	875	794	1068	292	202	151	134	60	41	192	107	78	168	31	457	216	129	92	120	145	81	75	111	177	110	79	123	39	313	121					
9	Число недействительных бюллетеней	150	16	10	10	22	10	3	5	7	4	2	0	7	1	5	4	0	3	2	7	9	4	1	2	1	0	7	0	0	2	2	4	0					
10	Число действительных бюллетеней	9115	1197	583	895	817	1154	328	203	153	142	66	50	223	164	82	177	79	454	246	140	121	194	197	89	98	141	179	191	95	137	39	335	146					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	20	20	20	20	20	20	20	10	15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	61	5	2	7	4	18	3	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	4	0	2	0	0	2	0	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	2	6	3	3	1	5	0	0	1	0	0	2	2	4	1	1	1	1	2	3	3	1	0	0	1	4	3	3	0	3	3	1					
14	Число погашенных открепительных удостоверений	339	15	18	13	16	2	17	20	8	15	10	10	10	10	10	9	10	7	10	10	10	10	10	10	6	10	8	10	10	8	10	7	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	111	6	4	3	12	12	2	7	3	0	2	0	5	0	0	5	1	6	4	0	3	3	9	1	4	2	2	2	2	1	1	6	3					
		1.19%	0.49%	0.67%	0.33%	1.43%	1.03%	0.60%	3.36%	1.87%	0.0%	2.94%	0.0%	2.17%	0.0%	0.0%	2.76%	1.26%	1.31%	1.61%	0.0%	2.30%	1.51%	4.54%	1.09%	4.04%	1.41%	1.07%	1.04%	2.10%	0.71%	2.43%	1.76%	2.05%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	50	4	6	6	2	16	2	1	1	1	0	0	1	0	0	1	0	3	0	2	0	0	1	1	0	1	0	0	0	0	0	1	0					
		0.53%	0.32%	1.01%	0.66%	0.23%	1.37%	0.60%	0.48%	0.62%	0.68%	0.0%	0.0%	0.43%	0.0%	0.0%	0.55%	0.0%	0.65%	0.0%	1.36%	0.0%	0.0%	0.50%	1.09%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	155	13	7	21	16	18	4	12	3	0	0	0	7	2	1	0	6	5	1	2	3	4	1	1	4	1	2	1	0	3	2	10	5					
		1.67%	1.07%	1.18%	2.32%	1.90%	1.54%	1.20%	5.76%	1.87%	0.0%	0.0%	0.0%	3.04%	1.21%	1.14%	0.0%	7.59%	1.09%	0.40%	1.36%	2.30%	2.02%	0.50%	1.09%	4.04%	0.70%	1.07%	0.52%	0.0%	2.15%	4.87%	2.94%	3.42%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	82	7	9	8	14	21	3	0	0	0	0	0	5	0	0	3	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	3	4					
		0.88%	0.57%	1.51%	0.88%	1.66%	1.80%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	2.17%	0.0%	0.0%	1.65%	0.0%	0.21%	0.40%	0.68%	0.0%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.88%	2.73%					
22	"5. ""За Русь Святую"""	48	4	1	2	7	6	3	1	1	0	0	2	0	1	2	0	0	5	0	0	0	0	0	0	0	2	3	2	0	1	0	3	2					
		0.51%	0.32%	0.16%	0.22%	0.83%	0.51%	0.90%	0.48%	0.62%	0.0%	0.0%	4.0%	0.0%	0.60%	2.29%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.41%	1.61%	1.04%	0.0%	0.71%	0.0%	0.88%	1.36%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	4	0	4	2	5	1	0	2	0	0	0	0	0	0	2	0	2	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1					
		0.31%	0.32%	0.0%	0.44%	0.23%	0.42%	0.30%	0.0%	1.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.10%	0.0%	0.43%	0.40%	0.68%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	1.05%	0.71%	0.0%	0.0%	0.68%					
24	"7. ""Новый курс - Автомобильная Россия"""	37	7	2	3	4	8	0	2	0	0	0	0	1	2	0	2	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0					
		0.39%	0.57%	0.33%	0.33%	0.47%	0.68%	0.0%	0.96%	0.0%	0.0%	0.0%	0.0%	0.43%	1.21%	0.0%	1.10%	0.0%	0.21%	0.0%	0.68%	0.0%	0.50%	0.0%	0.0%	1.01%	0.70%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	30	2	1	0	5	3	2	1	0	0	0	0	0	0	0	1	0	1	2	2	0	1	2	0	1	0	4	0	1	0	0	0	1					
		0.32%	0.16%	0.16%	0.0%	0.59%	0.25%	0.60%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.21%	0.80%	1.36%	0.0%	0.50%	1.01%	0.0%	1.01%	0.0%	2.15%	0.0%	1.05%	0.0%	0.0%	0.0%	0.68%					
26	"9. ""Российская экологическая партия ""Зеленые"""	17	1	2	0	0	5	0	1	1	0	0	0	0	2	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0					
		0.18%	0.08%	0.33%	0.0%	0.0%	0.42%	0.0%	0.48%	0.62%	0.0%	0.0%	0.0%	0.0%	1.21%	0.0%	1.10%	0.0%	0.21%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	602	33	20	52	32	49	13	36	25	1	0	1	8	5	1	15	15	27	37	28	15	37	34	8	13	12	22	7	1	15	5	12	23					
		6.49%	2.72%	3.37%	5.74%	3.81%	4.20%	3.92%	17.30%	15.62%	0.68%	0.0%	2.0%	3.47%	3.03%	1.14%	8.28%	18.98%	5.90%	14.91%	19.04%	11.53%	18.68%	17.17%	8.79%	13.13%	8.51%	11.82%	3.66%	1.05%	10.79%	12.19%	3.53%	15.75%					
28	"11. ""Истинные патриоты России"""	9	0	0	0	1	1	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.11%	0.08%	0.0%	0.0%	0.0%	4.10%	0.0%	0.0%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	66	11	2	5	7	9	1	0	1	0	0	0	2	0	0	1	4	1	2	3	1	1	1	4	3	1	2	1	0	3	0	0	0					
		0.71%	0.90%	0.33%	0.55%	0.83%	0.77%	0.30%	0.0%	0.62%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.55%	5.06%	0.21%	0.80%	2.04%	0.76%	0.50%	0.50%	4.39%	3.03%	0.70%	1.07%	0.52%	0.0%	2.15%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	24	1	0	0	4	4	4	0	0	0	0	0	3	1	0	0	0	2	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0					
		0.25%	0.08%	0.0%	0.0%	0.47%	0.34%	1.20%	0.0%	0.0%	0.0%	0.0%	0.0%	1.30%	0.60%	0.0%	0.0%	0.0%	0.43%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	1.01%	0.0%	0.53%	0.0%	1.05%	0.71%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	2	0	3	1	0	4	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0					
		0.19%	0.16%	0.0%	0.33%	0.11%	0.0%	1.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.55%	1.26%	0.0%	0.0%	0.0%	0.76%	0.0%	0.50%	0.0%	0.0%	0.70%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	12	2	0	1	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0					
		0.12%	0.16%	0.0%	0.11%	0.23%	0.17%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	531	95	43	54	71	92	13	8	13	4	2	4	4	3	2	1	0	22	9	14	4	10	7	4	2	7	5	3	0	11	1	22	1					
		5.73%	7.83%	7.25%	5.96%	8.46%	7.90%	3.92%	3.84%	8.12%	2.73%	2.94%	8.0%	1.73%	1.81%	2.29%	0.55%	0.0%	4.81%	3.62%	9.52%	3.07%	5.05%	3.53%	4.39%	2.02%	4.96%	2.68%	1.57%	0.0%	7.91%	2.43%	6.48%	0.68%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	25	7	1	0	2	2	0	0	1	0	0	0	1	0	2	2	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	3					
		0.26%	0.57%	0.16%	0.0%	0.23%	0.17%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.43%	0.0%	2.29%	1.10%	0.0%	0.21%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	1.05%	0.0%	0.0%	0.0%	2.05%					
35	"18. ""ЛДПР"""	1018	168	69	126	101	147	42	19	4	8	7	1	17	12	21	11	3	66	8	14	12	27	14	7	5	13	13	17	2	13	4	17	30					
		10.98%	13.84%	11.63%	13.92%	12.03%	12.62%	12.68%	9.13%	2.5%	5.47%	10.29%	2.0%	7.39%	7.27%	24.13%	6.07%	3.79%	14.44%	3.22%	9.52%	9.23%	13.63%	7.07%	7.69%	5.05%	9.21%	6.98%	8.90%	2.10%	9.35%	9.75%	5.01%	20.54%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	235	33	22	25	19	26	16	3	6	0	1	0	3	5	1	6	4	5	5	3	3	3	3	1	1	3	1	4	5	3	0	20	5					
		2.53%	2.72%	3.70%	2.76%	2.26%	2.23%	4.83%	1.44%	3.75%	0.0%	1.47%	0.0%	1.30%	3.03%	1.14%	3.31%	5.06%	1.09%	2.01%	2.04%	2.30%	1.51%	1.51%	1.09%	1.01%	2.12%	0.53%	2.09%	5.26%	2.15%	0.0%	5.89%	3.42%					
37	"20. ""Политическая партия ""Единая Россия"""	3030	460	199	324	274	437	119	55	43	21	37	10	80	57	32	68	17	157	47	45	24	49	54	47	29	59	21	27	23	34	3	160	18					
		32.70%	37.92%	33.55%	35.80%	32.65%	37.54%	35.95%	26.44%	26.87%	14.38%	54.41%	20.0%	34.78%	34.54%	36.78%	37.56%	21.51%	34.35%	18.95%	30.61%	18.46%	24.74%	27.27%	51.64%	29.29%	41.84%	11.29%	14.13%	24.21%	24.46%	7.31%	47.19%	12.32%					
38	"21. ""Российская Конституционно-демократическая партия"""	13	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0					
