Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    Медногорская городская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №1831	УИК №1832	УИК №1833	УИК №1834					
1	"Число избирателей, внесенных в список избирателей"	24372	1838	1832	984	1165	991	1008	1201	1146	1206	864	1198	1200	981	949	960	925	142	1063	1080	876	1171	791	294	195	156	156					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23908	1790	1820	940	1148	1010	930	1140	1100	1180	830	1180	1110	950	920	930	890	190	1060	1060	860	1320	780	280	190	150	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12632	974	1018	536	643	548	567	669	638	586	443	614	729	421	470	416	429	64	491	575	337	664	394	140	111	88	67					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1078	40	48	28	60	65	22	41	41	88	41	24	30	34	38	40	36	68	50	66	37	73	41	23	14	12	18					
6	Число погашенных избирательных бюллетеней	10198	776	754	376	445	397	341	430	421	506	346	542	351	495	412	474	425	58	519	419	486	583	345	117	65	50	65					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1078	40	48	28	60	65	22	41	41	88	41	24	30	34	38	40	36	68	50	66	37	73	41	23	14	12	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12632	974	1018	536	643	548	567	669	638	586	443	614	729	421	470	416	429	64	491	575	337	664	394	140	111	88	67					
9	Число недействительных избирательных бюллетеней	155	6	7	8	6	6	3	16	10	5	3	5	10	11	6	2	6	0	7	10	3	14	7	3	1	0	0					
10	Число действительных избирательных бюллетеней	13555	1008	1059	556	697	607	586	694	669	669	481	633	749	444	502	454	459	132	534	631	371	723	428	160	124	100	85					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	143	7	10	6	7	6	6	7	7	6	6	6	6	6	6	7	6	0	6	6	5	8	5	2	1	4	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	107	6	10	6	7	6	5	6	7	4	0	6	6	1	4	7	1	0	6	5	4	1	3	1	1	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	2	1	1	1	3	10	6	1	1	1	1	24	0	1	1	1	1	0	1	1	3	0	2	0	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	36	1	0	0	0	0	1	1	0	2	6	0	0	5	2	0	5	0	0	1	1	7	2	1	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1708	132	131	80	82	82	72	96	102	82	62	88	111	55	73	57	61	19	73	88	40	44	43	20	9	5	1					
		12.46%	13.02%	12.29%	14.18%	11.66%	13.38%	12.22%	13.52%	15.02%	12.17%	12.81%	13.79%	14.62%	12.09%	14.37%	12.50%	13.12%	14.39%	13.49%	13.73%	10.70%	5.97%	9.89%	12.27%	7.20%	5.00%	1.18%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2312	181	170	112	144	97	97	114	92	101	94	110	118	123	100	91	84	28	65	97	74	108	71	23	8	6	4					
		16.86%	17.85%	15.95%	19.86%	20.48%	15.82%	16.47%	16.06%	13.55%	14.99%	19.42%	17.24%	15.55%	27.03%	19.69%	19.96%	18.06%	21.21%	12.01%	15.13%	19.79%	14.65%	16.32%	14.11%	6.40%	6.00%	4.71%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	85	5	7	5	4	3	1	10	5	3	4	6	5	3	5	4	3	0	2	3	2	1	2	1	0	0	1					
		0.62%	0.49%	0.66%	0.89%	0.57%	0.49%	0.17%	1.41%	0.74%	0.45%	0.83%	0.94%	0.66%	0.66%	0.98%	0.88%	0.65%	0.00%	0.37%	0.47%	0.53%	0.14%	0.46%	0.61%	0.00%	0.00%	1.18%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3813	315	306	164	173	182	185	194	180	183	132	189	232	96	108	136	112	16	157	251	95	171	111	49	37	26	13					
		27.81%	31.07%	28.71%	29.08%	24.61%	29.69%	31.41%	27.32%	26.51%	27.15%	27.27%	29.62%	30.57%	21.10%	21.26%	29.82%	24.09%	12.12%	29.02%	39.16%	25.40%	23.20%	25.52%	30.06%	29.60%	26.00%	15.29%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	189	21	22	5	10	12	8	21	15	6	4	9	12	5	1	5	4	0	9	6	2	5	4	2	1	0	0					
		1.38%	2.07%	2.06%	0.89%	1.42%	1.96%	1.36%	2.96%	2.21%	0.89%	0.83%	1.41%	1.58%	1.10%	0.20%	1.10%	0.86%	0.00%	1.66%	0.94%	0.53%	0.68%	0.92%	1.23%	0.80%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5388	352	419	187	283	231	222	255	273	284	183	226	265	161	215	160	193	68	226	183	156	393	194	64	68	61	66					
		39.30%	34.71%	39.31%	33.16%	40.26%	37.68%	37.69%	35.92%	40.21%	42.14%	37.81%	35.42%	34.91%	35.38%	42.32%	35.09%	41.51%	51.52%	41.77%	28.55%	41.71%	53.32%	44.60%	39.26%	54.40%	61.00%	77.65%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	60	2	4	3	1	0	1	4	2	10	2	5	6	1	0	1	2	1	2	3	2	1	3	1	1	2	0					
		0.44%	0.20%	0.38%	0.53%	0.14%	0.00%	0.17%	0.56%	0.29%	1.48%	0.41%	0.78%	0.79%	0.22%	0.00%	0.22%	0.43%	0.76%	0.37%	0.47%	0.53%	0.14%	0.69%	0.61%	0.80%	2.00%	0.00%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
