Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																							
Дата голосования: 02.12.2007																																																							
																																																							
"Наименование Избирательной комиссии:    Брянск, Советская"																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139					
1	"Число избирателей, внесенных в списки избирателей"	98425	2029	1419	2687	2772	1642	2539	2386	2393	792	2157	1763	1970	1950	1940	1282	1765	1322	2184	2522	2307	2091	2232	2762	2786	2319	2219	1958	1702	2236	2083	1978	2423	2473	2489	2494	2134	1573	2366	2668	2445	2422	2372	1344	2580	2569	600	1071	215					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	93800	1800	1300	2600	2700	1500	2400	2300	2300	700	2000	1700	1900	1900	1900	1200	1600	1300	2200	2400	2200	1900	2100	2600	2400	2200	2100	1700	1600	2200	2000	1900	2400	2400	2400	2400	2000	1500	2300	2600	2300	2300	2100	1300	2500	2500	600	1200	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	49939	1606	779	1220	1302	628	1372	1247	1287	326	1071	913	1120	1077	1002	699	907	621	927	1260	1285	1148	1104	1580	1619	1207	841	899	913	1094	1157	979	1190	1354	1241	1251	1067	812	1230	1407	1320	1102	984	669	1233	1126	600	22	141					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3039	109	116	28	55	94	44	27	41	54	31	15	7	29	34	22	110	22	37	86	48	26	42	45	50	32	53	13	37	22	37	18	29	31	26	23	19	13	11	24	4	96	241	15	42	77	0	968	36					
6	Число погашенных избирательных бюллетеней	40822	85	405	1352	1343	778	984	1026	972	320	898	772	773	794	864	479	583	657	1236	1054	867	726	954	975	731	961	1206	788	650	1084	806	903	1181	1015	1133	1126	914	675	1059	1169	976	1102	875	616	1225	1297	0	210	223					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3038	109	116	28	55	94	44	27	41	54	31	15	7	29	34	22	110	22	37	85	48	26	42	45	50	32	53	13	37	22	37	18	29	31	26	23	19	13	11	24	4	96	241	15	42	77	0	968	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49906	1604	776	1218	1302	628	1371	1247	1287	326	1071	913	1120	1075	1002	699	907	621	927	1260	1281	1148	1104	1580	1617	1207	840	899	912	1094	1157	979	1190	1354	1241	1251	1067	812	1230	1407	1320	1102	975	669	1227	1126	600	22	141					
9	Число недействительных избирательных бюллетеней	551	17	10	15	16	12	18	12	14	5	15	9	16	13	17	1	11	9	12	11	16	14	13	22	12	11	10	6	14	11	10	9	10	12	21	19	13	0	4	17	22	8	8	0	13	15	0	5	3					
10	Число действительных избирательных бюллетеней	52393	1696	882	1231	1341	710	1397	1262	1314	375	1087	919	1111	1091	1019	720	1006	634	952	1334	1313	1160	1133	1603	1655	1228	883	906	935	1105	1184	988	1209	1373	1246	1255	1073	825	1237	1414	1302	1190	1208	684	1256	1188	600	985	174					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1152	30	70	30	20	10	30	20	20	5	30	25	25	35	67	20	30	20	20	25	30	25	20	25	25	25	15	70	15	20	20	30	25	25	25	25	20	20	15	30	15	15	30	10	30	15	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	914	25	51	30	13	7	21	18	10	1	19	25	20	29	53	17	17	13	16	25	26	23	17	25	19	18	12	70	15	14	13	16	24	13	17	19	14	15	15	22	15	14	18	10	25	15	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1213	15	28	16	11	15	13	11	12	6	16	14	18	29	11	25	11	9	8	20	19	16	12	21	259	15	12	14	10	11	10	12	3	13	6	8	6	7	4	13	8	10	19	9	16	14	326	47	5					
14	Число погашенных неиспользованных открепительных удостоверений	238	5	19	0	7	3	9	2	10	4	11	0	5	6	14	3	13	7	4	0	4	2	3	0	6	7	3	0	0	6	7	14	1	12	8	6	6	5	0	8	0	1	12	0	5	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	61	0	0	4	3	1	1	0	1	0	1	2	4	1	0	0	0	2	2	3	0	0	1	1	2	0	3	1	2	6	1	0	3	2	1	3	1	0	2	1	0	0	0	3	3	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	1.Политическая партия «Аграрная партия России»	1248	42	18	26	32	15	30	33	28	9	33	13	28	31	37	11	28	11	17	35	37	33	25	41	42	28	37	23	32	34	23	24	31	30	18	33	25	21	15	46	20	27	34	15	19	27	0	28	3					
		2.36%	2.45%	2.02%	2.09%	2.36%	2.08%	2.12%	2.59%	2.11%	2.37%	2.99%	1.40%	2.48%	2.81%	3.57%	1.53%	2.75%	1.71%	1.76%	2.60%	2.78%	2.81%	2.18%	2.52%	2.52%	2.26%	4.14%	2.52%	3.37%	3.05%	1.93%	2.41%	2.54%	2.17%	1.42%	2.59%	2.30%	2.55%	1.21%	3.21%	1.51%	2.25%	2.80%	2.19%	1.50%	2.24%	0.00%	2.83%	1.69%					
19	2.Всероссийская политическая партия «Гражданская Сила»	991	36	20	42	19	11	30	25	20	15	20	14	27	25	16	22	25	13	16	37	26	31	21	35	37	23	9	11	16	14	18	15	19	28	21	24	16	14	32	24	28	27	15	7	9	25	4	8	1					
		1.87%	2.10%	2.24%	3.37%	1.40%	1.52%	2.12%	1.96%	1.51%	3.95%	1.81%	1.51%	2.40%	2.26%	1.54%	3.05%	2.46%	2.02%	1.66%	2.75%	1.96%	2.64%	1.83%	2.15%	2.22%	1.86%	1.01%	1.21%	1.69%	1.25%	1.51%	1.50%	1.56%	2.02%	1.66%	1.88%	1.47%	1.70%	2.58%	1.68%	2.11%	2.25%	1.23%	1.02%	0.71%	2.08%	0.67%	0.81%	0.56%					
20	3.Политическая партия «Демократическая партия России»	72	10	1	1	1	0	2	0	1	1	1	0	1	0	1	1	4	0	2	3	3	1	2	3	1	0	1	3	0	1	0	1	2	1	3	1	0	1	0	0	1	5	2	1	3	1	0	5	0					
		0.14%	0.58%	0.11%	0.08%	0.07%	0.00%	0.14%	0.00%	0.08%	0.26%	0.09%	0.00%	0.09%	0.00%	0.10%	0.14%	0.39%	0.00%	0.21%	0.22%	0.23%	0.09%	0.17%	0.18%	0.06%	0.00%	0.11%	0.33%	0.00%	0.09%	0.00%	0.10%	0.16%	0.07%	0.24%	0.08%	0.00%	0.12%	0.00%	0.00%	0.08%	0.42%	0.16%	0.15%	0.24%	0.08%	0.00%	0.51%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	11049	213	171	220	269	111	291	280	340	65	206	187	250	237	221	180	225	117	201	239	338	273	306	409	360	291	185	164	247	277	306	230	246	341	309	259	216	167	250	286	239	204	231	168	251	230	10	217	16					
		20.87%	12.43%	19.17%	17.66%	19.82%	15.37%	20.57%	21.98%	25.60%	17.11%	18.69%	20.15%	22.18%	21.47%	21.33%	24.97%	22.12%	18.20%	20.85%	17.77%	25.43%	23.25%	26.70%	25.17%	21.60%	23.49%	20.72%	17.98%	26.03%	24.82%	25.63%	23.07%	20.18%	24.62%	24.39%	20.33%	19.89%	20.24%	20.15%	19.99%	18.05%	17.03%	18.99%	24.56%	19.78%	19.12%	1.67%	21.92%	9.04%					
