Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
"Наименование Избирательной комиссии:    Брянск, Советская"																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139					
1	"Число избирателей, внесенных в список избирателей"	100309	2343	1988	2599	2629	1894	2735	2202	2297	825	2338	1671	1874	2368	1850	1345	2143	1190	2076	2379	2083	2111	2491	2774	2555	2127	2063	2367	1845	2170	2078	1806	2794	2284	2420	2365	1509	1530	2547	2503	2567	1519	2505	1774	1359	2698	2594	555	1436	134					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	92170	2250	1900	2500	2550	1450	2350	2100	2100	600	2200	1550	1650	1700	1700	1050	1350	1050	1900	2150	2000	1850	2300	2400	2450	2050	1950	2150	1500	1900	1850	1700	2350	2150	2250	2250	2150	1350	2450	2400	2300	1350	2350	2200	1150	2550	2450	630	1480	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	57791	1720	1120	1269	1239	841	1573	1404	1299	347	1133	861	1105	1369	1035	805	1160	562	1055	1708	1142	1276	1293	1783	1370	1091	769	1702	1107	1671	1173	1243	2024	2000	1626	1208	1425	836	1269	1367	1247	782	1193	1580	765	1244	1180	555	241	24					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3843	310	96	58	69	151	37	19	67	103	24	14	43	56	36	18	134	32	168	38	48	24	37	31	47	36	32	7	59	14	72	21	16	25	12	28	39	36	16	10	15	13	124	194	16	51	119	0	1146	82					
6	Число погашенных избирательных бюллетеней	30536	220	684	1173	1242	458	740	677	734	150	1043	675	502	275	629	227	56	456	677	404	810	550	970	586	1033	923	1149	441	334	215	605	436	310	125	612	1014	686	478	1165	1023	1038	555	1033	426	369	1255	1151	75	93	54					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3835	310	96	58	69	151	37	19	62	103	24	14	43	56	36	15	134	32	168	38	48	24	37	31	47	36	32	7	59	14	72	21	16	25	12	28	39	36	16	10	15	13	124	194	16	51	119	0	1146	82					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57699	1717	1119	1269	1239	841	1573	1375	1291	347	1133	861	1104	1368	1035	803	1160	562	1055	1708	1141	1272	1291	1783	1368	1091	769	1697	1106	1671	1173	1243	2024	1997	1615	1208	1425	836	1269	1366	1232	782	1193	1580	765	1242	1180	555	241	24					
9	Число недействительных избирательных бюллетеней	717	22	16	10	7	12	5	19	16	9	19	8	13	23	12	29	31	10	10	25	19	10	21	7	14	7	3	22	15	13	27	9	20	25	19	17	11	6	13	27	10	11	18	23	5	22	0	3	24	0					
10	Число действительных избирательных бюллетеней	60817	2005	1199	1317	1301	980	1605	1375	1337	441	1138	867	1134	1401	1059	789	1263	584	1213	1721	1170	1286	1307	1807	1401	1120	798	1682	1150	1672	1218	1255	2020	1997	1608	1219	1453	866	1272	1349	1237	784	1299	1751	776	1271	1299	552	1363	106					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1605	7	22	45	46	33	29	45	34	18	49	36	38	30	25	25	27	29	31	38	36	27	40	44	43	48	29	26	21	27	28	30	48	27	44	42	38	35	45	27	43	45	41	52	34	39	39	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1575	7	22	45	46	33	29	45	34	16	49	36	37	30	25	25	27	26	31	38	36	27	40	44	43	48	26	24	20	27	28	30	48	27	44	42	38	34	44	26	39	39	41	52	31	39	37	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	5924	14	104	64	32	203	327	70	98	32	50	33	127	450	26	168	379	11	92	59	32	159	125	249	17	27	45	355	167	192	127	17	334	48	99	41	152	73	7	14	101	36	56	446	76	51	81	155	299	4					
14	Число погашенных неиспользованных открепительных удостоверений	30	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	1	1	1	4	6	0	0	3	0	2	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2278	4	40	73	71	34	60	77	37	16	54	29	49	61	41	24	47	31	48	51	42	42	56	56	67	57	54	18	44	39	44	33	53	47	54	57	56	48	63	47	73	46	66	64	27	100	78	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
