Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Тюмень, Восточная"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	128842	286	2255	2272	2124	1534	2208	2360	2023	2331	2222	2262	2086	2292	2277	2304	2604	2044	2318	2464	2481	2150	2381	2186	2227	2404	2190	2390	1963	1926	1795	1974	1886	2058	2096	2059	1809	2508	2321	2555	2441	1886	1888	1455	1978	1870	1835	1959	2046	1924	1983	2036	1942	1845	2395	2186	2485	2035	1311	2765	2061	2293	349	249									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	121040	440	2100	2200	2000	1500	2000	2100	2000	2100	2100	2100	2000	2100	2100	2100	2500	2000	2100	2200	2200	2000	2200	2100	2100	2200	2100	2200	1800	1800	1700	1800	1800	2000	2000	2000	1700	2300	2100	2300	2300	1800	1800	1800	1800	1800	1700	1800	2000	1800	1800	2000	1800	1700	2300	2000	2300	2000	1200	2500	2000	2100	350	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	98966	286	1700	1800	1466	1212	1693	1702	1507	1990	1979	1759	1569	1706	1703	1678	2009	1550	1943	1695	1604	1836	2017	1830	1816	1849	1774	1778	1528	1410	1315	1632	1420	1487	1556	1489	1268	1952	1943	2024	1772	1523	1481	1444	1327	1432	1458	1451	1498	1490	1568	1246	1518	1403	1802	1767	1928	1579	1039	2088	1562	1621	286	208									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	493	0	5	2	9	1	1	1	6	2	2	7	5	4	2	2	3	4	10	4	16	7	6	0	5	2	6	10	9	18	4	12	4	16	11	12	33	11	5	2	17	5	9	11	12	11	8	7	0	3	8	7	2	4	5	2	4	2	5	4	2	2	63	41									
6	Число погашенных избирательных бюллетеней	21581	154	395	398	525	287	306	397	487	108	119	334	426	390	395	420	488	446	147	501	580	157	177	270	279	349	320	412	263	372	381	156	376	497	433	499	399	337	152	274	511	272	310	345	461	357	234	342	502	307	224	747	280	293	493	231	368	419	156	408	436	477	1	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	493	0	5	2	9	1	1	1	6	2	2	7	5	4	2	2	3	4	10	4	16	7	6	0	5	2	6	10	9	18	4	12	4	16	11	12	33	11	5	2	17	5	9	11	12	11	8	7	0	3	8	7	2	4	5	2	4	2	5	4	2	2	63	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	98918	286	1700	1800	1466	1212	1691	1701	1507	1990	1979	1759	1569	1706	1703	1678	2009	1550	1943	1695	1604	1836	2017	1830	1816	1849	1774	1778	1528	1410	1315	1632	1420	1487	1556	1489	1268	1952	1938	2024	1772	1523	1481	1444	1327	1432	1458	1451	1498	1490	1568	1246	1518	1403	1762	1767	1928	1579	1039	2088	1562	1621	286	208									
9	Число недействительных избирательных бюллетеней	757	0	0	15	2	14	15	13	7	20	2	15	5	8	2	0	10	24	10	17	5	0	0	0	18	18	18	18	15	14	12	16	14	15	15	0	0	22	19	22	17	15	15	14	13	10	15	15	14	8	18	14	15	15	20	15	19	16	10	13	16	16	4	10									
10	Число действительных избирательных бюллетеней	98654	286	1705	1787	1473	1199	1677	1689	1506	1972	1979	1751	1569	1702	1703	1680	2002	1530	1943	1682	1615	1843	2023	1830	1803	1833	1762	1770	1522	1414	1307	1628	1410	1488	1552	1501	1301	1941	1924	2004	1772	1513	1475	1441	1326	1433	1451	1443	1484	1485	1558	1239	1505	1392	1747	1754	1913	1565	1034	2079	1548	1607	345	239									
