Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Дагогнинская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22021	1936	1650	1843	2647	2569	1781	2345	1189	1411	2850	1800									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22000	1890	1742	1750	2550	2500	1720	2290	1193	1665	2850	1850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20770	1849	1650	1727	2344	2500	1644	2210	1070	1411	2565	1800									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	1230	41	92	23	206	0	76	80	123	254	285	50									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20687	1849	1588	1727	2344	2500	1644	2210	1065	1395	2565	1800									
9	Число недействительных избирательных бюллетеней	71	0	13	12	0	0	0	0	23	20	0	3									
10	Число действительных избирательных бюллетеней	20616	1849	1575	1715	2344	2500	1644	2210	1042	1375	2565	1797									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	100	9	8	9	10	9	9	10	7	8	12	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1	0	0	0	0	0	0	1	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	99	9	8	9	10	9	9	9	7	8	12	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	97	0	4	44	2	31	0	0	0	6	8	2									
		0.47%	0.00%	0.25%	2.55%	0.09%	1.24%	0.00%	0.00%	0.00%	0.43%	0.31%	0.11%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	66	0	4	12	22	7	0	0	4	4	6	7									
		0.32%	0.00%	0.25%	0.69%	0.94%	0.28%	0.00%	0.00%	0.38%	0.29%	0.23%	0.39%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	56	0	6	16	7	1	8	0	3	2	13	0									
		0.27%	0.00%	0.38%	0.93%	0.30%	0.04%	0.49%	0.00%	0.28%	0.14%	0.51%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18438	1722	1287	1503	2025	2224	1496	1989	873	1266	2415	1638									
		89.13%	93.13%	81.05%	87.03%	86.39%	88.96%	90.99%	90.00%	81.97%	90.75%	94.15%	91.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	0	2	0	0	3	0	0	0	5	3	11									
		0.12%	0.00%	0.13%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.36%	0.12%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	0	0	2	0	0	0	0	0	0	2	8									
		0.06%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.44%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	58	0	3	0	7	7	0	20	1	12	1	7									
		0.28%	0.00%	0.19%	0.00%	0.30%	0.28%	0.00%	0.90%	0.09%	0.86%	0.04%	0.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	0	0	1	1	5	0	0	0	0	5	5									
		0.08%	0.00%	0.00%	0.06%	0.04%	0.20%	0.00%	0.00%	0.00%	0.00%	0.19%	0.28%									
