Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Каменская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14560	262	326	507	462	358	637	421	458	774	228	499	140	594	377	251	369	89	555	1386	1483	1418	1476	1490									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14000	280	320	480	440	340	600	400	450	750	260	500	170	630	380	230	350	90	530	1300	1400	1400	1300	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6954	168	120	211	256	207	313	217	224	333	115	276	86	319	185	110	194	49	228	631	716	584	667	745									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1780	47	101	114	44	53	101	74	86	177	83	76	17	93	59	48	71	5	83	87	102	78	100	81									
6	Число погашенных избирательных бюллетеней	5266	65	99	155	140	80	186	109	140	240	62	148	67	218	136	72	85	36	219	582	582	738	533	574									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1780	47	101	114	44	53	101	74	86	177	83	76	17	93	59	48	71	5	83	87	102	78	100	81									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6954	168	120	211	256	207	313	217	224	333	115	276	86	319	185	110	194	49	228	631	716	584	667	745									
9	Число недействительных избирательных бюллетеней	176	4	2	4	12	11	10	7	0	14	6	5	1	12	4	2	2	2	5	21	15	16	9	12									
10	Число действительных избирательных бюллетеней	8558	211	219	321	288	249	404	284	310	496	192	347	102	400	240	156	263	52	306	697	803	646	758	814									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	321	30	10	20	10	15	10	10	10	20	20	15	5	15	20	20	10	3	10	10	28	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	321	30	10	20	10	15	10	10	10	20	20	15	5	15	20	20	10	3	10	10	28	10	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	4	2	2	0	0	4	2	2	0	1	4	0	4	1	3	1	0	2	4	5	1	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	2	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
