Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Нефтеюганская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32760	307	749	1537	1561	1874	3204	1124	1522	3081	1184	596	1152	231	251	874	2068	71	2073	1987	1042	1697	3179	193	654	549									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33850	310	800	1580	1580	1880	3320	1170	1580	3070	1160	590	1180	230	280	900	2200	80	2100	1950	1080	1810	3400	250	750	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	6949	0	0	0	0	0	1408	0	0	1391	0	0	0	0	0	0	1421	0	1401	0	0	0	1328	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22726	271	626	1317	1392	1646	1409	1014	1519	1384	1076	521	1027	227	239	814	635	71	593	1755	921	1487	1427	176	641	538									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	189	7	21	1	25	11	0	29	3	5	8	5	4	0	0	6	0	0	9	10	7	11	17	0	5	5									
6	Число погашенных избирательных бюллетеней	3986	32	153	262	163	223	503	127	58	290	76	64	149	3	41	80	144	9	97	185	152	312	628	74	104	57									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	7138	7	21	1	25	11	1408	29	3	1396	8	5	4	0	0	6	1421	0	1410	10	7	11	1345	0	5	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22726	271	626	1317	1392	1646	1409	1014	1519	1384	1076	521	1027	227	239	814	635	71	593	1755	921	1487	1427	176	641	538									
9	Число недействительных избирательных бюллетеней	220	6	4	14	3	16	0	11	12	22	10	2	8	2	0	0	1	0	14	2	0	4	71	1	7	10									
10	Число действительных избирательных бюллетеней	29644	272	643	1304	1414	1641	2817	1032	1510	2758	1074	524	1023	225	239	820	2055	71	1989	1763	928	1494	2701	175	639	533									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1250	20	40	70	70	80	80	50	80	80	50	30	50	20	20	40	40	10	30	80	50	80	80	20	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	366	16	12	3	7	12	5	3	10	2	1	3	2	9	18	19	14	8	15	36	26	53	22	20	35	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	174	6	0	0	0	7	5	24	2	2	7	1	0	3	3	7	34	20	22	9	9	3	1	2	6	1									
14	Число погашенных неиспользованных открепительных удостоверений	884	4	28	67	63	68	75	47	70	78	49	27	48	11	2	21	26	2	15	44	24	27	58	0	5	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	0	0	1	0	0	3	1	0	0	2	0	1	0	0	0	0	0	1	2	9	0	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	103	1	2	5	10	3	8	0	3	2	0	0	11	0	0	0	9	0	18	6	11	3	8	1	0	2									
