Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																				
Дата голосования: 02.12.2007																																																				
																																																				
Наименование Избирательной комиссии:    Добринская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361					
1	"Число избирателей, внесенных в списки избирателей"	30122	2499	2455	1876	954	291	504	659	838	194	503	381	364	785	221	1633	630	487	490	1148	209	295	400	596	298	400	294	218	419	201	610	913	242	977	312	263	1497	1613	382	82	153	604	338	1106	618	170					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	29547	2366	2400	1850	940	270	500	640	830	190	500	380	331	780	220	1630	630	485	485	1120	205	285	370	600	300	400	300	220	420	200	620	910	230	975	315	250	1400	1550	390	80	150	590	340	1110	630	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20562	1784	1148	1351	459	165	366	531	713	133	362	165	249	528	141	1315	506	356	345	891	154	184	296	316	219	271	197	76	253	105	441	546	126	544	152	191	1269	1291	306	45	73	380	256	789	465	109					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3560	168	169	70	41	23	76	101	93	57	106	178	78	76	48	202	70	104	60	24	15	37	16	94	25	44	48	95	103	80	95	103	86	224	84	46	60	73	39	29	64	107	49	102	61	37					
6	Число погашенных избирательных бюллетеней	5425	414	1083	429	440	82	58	8	24	0	32	37	4	176	31	113	54	25	80	205	36	64	58	190	56	85	55	49	64	15	84	261	18	207	79	13	71	186	45	6	13	103	35	219	104	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3560	168	169	70	41	23	76	101	93	57	106	178	78	76	48	202	70	104	60	24	15	37	16	94	25	44	48	95	103	80	95	103	86	224	84	46	60	73	39	29	64	107	49	102	61	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20562	1784	1148	1351	459	165	366	531	713	133	362	165	249	528	141	1315	506	356	345	891	154	184	296	316	219	271	197	76	253	105	441	546	126	544	152	191	1269	1291	306	45	73	380	256	789	465	109					
9	Число недействительных избирательных бюллетеней	166	3	6	12	5	2	14	1	24	2	0	0	6	8	2	3	2	3	2	2	0	3	0	4	1	3	1	0	0	0	3	14	1	8	0	0	2	8	0	0	0	8	9	0	3	1					
10	Число действительных избирательных бюллетеней	23956	1949	1311	1409	495	186	428	631	782	188	468	343	321	596	187	1514	574	457	403	913	169	218	312	406	243	312	244	171	356	185	533	635	211	760	236	237	1327	1356	345	74	137	479	296	891	523	145					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	298	33	43	31	13	5	5	5	2	2	5	5	5	5	5	5	5	5	5	2	2	3	2	5	5	5	5	2	2	1	5	5	5	5	5	0	15	10	3	1	1	5	5	9	5	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	158	24	33	20	7	0	4	1	0	0	3	0	0	2	1	1	0	1	3	1	1	1	0	2	1	0	1	1	1	0	1	3	1	5	0	0	12	10	1	0	0	2	4	6	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	117	10	3	1	3	1	1	0	0	0	1	2	2	3	0	4	1	3	6	5	1	4	1	1	2	1	2	2	0	2	1	3	2	5	6	3	8	9	2	2	1	5	4	2	0	2					
