Выборы Президента Российской Федерации																																																																																										
Дата голосования: 04.03.2012																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Пушкинская																																																																																										
																																																																																										
Сводная таблица итогов голосования																																																																																										
																																																																																										
	Число участковых избирательных комиссий	79																																																																																								
	Число участковых избирательных комиссий, приступивших к передаче сведений	79																																																																																								
																																																																																										
		Сумма	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369									
1	Число избирателей, включенных в список избирателей	139201	2674	2590	2881	1320	1531	2414	2767	2468	1970	2147	1778	2304	2416	2570	2513	2797	2629	1921	2744	2106	2879	1738	2131	2166	1787	2572	2408	2380	2262	532	982	2792	2173	668	1768	2102	1371	745	695	1113	411	2483	2114	681	1616	2560	2333	2560	2060	2231	1785	2776	712	1131	1308	1762	1439	1197	404	324	697	2608	2527	1917	993	2161	1409	575	267	202	526	964	910	2082	2959	2287	1535	454	437									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	121000	2400	2300	2050	1100	1300	2200	2450	2150	1850	1900	1600	2050	2100	2250	2250	2550	2350	1700	2150	1850	2500	1550	1900	1950	1600	2300	2150	2150	1800	450	850	2500	1950	550	1550	1850	950	700	550	950	350	2050	1700	600	1300	2200	2000	2050	1850	1800	1650	2500	650	1000	1200	1550	1300	1050	350	300	600	2300	2200	1700	800	2000	1000	500	250	200	500	750	750	1800	2600	2000	1500	400	400									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	77042	1401	1409	1495	705	680	1398	1571	1392	1176	1360	980	1161	1250	1449	1340	1721	1342	1045	1589	1131	1372	831	1110	1176	930	1455	1373	1369	1199	296	497	1872	1156	363	923	1140	593	350	411	534	166	1339	1615	280	956	1431	1226	1251	1128	1326	1023	1606	419	610	814	925	722	686	215	192	309	1507	1549	1018	560	1135	873	335	161	101	353	496	552	1188	1720	1280	934	251	245									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	5157	71	27	59	11	485	73	18	39	119	81	14	45	19	24	27	24	19	31	34	13	59	73	55	23	34	25	16	32	40	32	56	30	37	26	109	31	353	25	37	77	127	151	52	48	54	36	75	285	38	36	28	25	15	43	205	103	69	64	107	23	103	248	128	136	37	15	65	36	25	25	6	13	12	30	25	74	88	36	68									
6	Число погашенных избирательных бюллетеней	38801	928	864	496	384	135	729	861	719	555	459	606	844	831	777	883	805	989	624	527	706	1069	646	735	751	636	820	761	749	561	122	297	598	757	161	518	679	4	325	102	339	57	560	33	272	290	733	699	514	684	438	599	869	216	347	181	522	509	300	28	85	188	545	523	546	203	850	62	129	64	74	141	241	186	582	855	646	478	113	87									
7	Число избирательных бюллетеней в переносных ящиках для голосования	5157	71	27	59	11	485	73	18	39	119	81	14	45	19	24	27	24	19	31	34	13	59	73	55	23	34	25	16	32	40	32	56	30	37	26	109	31	353	25	37	77	127	151	52	48	54	36	75	285	38	36	28	25	15	43	205	103	69	64	107	23	103	248	128	136	37	15	65	36	25	25	6	13	12	30	25	74	88	36	68									
8	Число бюллетеней в стационарных ящиках для голосования	76988	1401	1409	1495	703	678	1396	1562	1392	1176	1360	980	1161	1247	1446	1339	1721	1342	1045	1589	1130	1369	831	1110	1176	930	1455	1369	1367	1199	296	497	1872	1156	363	923	1140	593	350	411	534	166	1339	1614	280	955	1429	1226	1251	1128	1324	1022	1604	419	610	814	925	722	686	215	192	309	1506	1545	1018	560	1128	873	335	161	101	353	496	552	1188	1719	1280	934	251	245									
9	Число недействительных избирательных бюллетеней	1445	29	26	25	15	25	26	26	19	24	30	15	12	10	26	23	27	16	27	26	15	25	2	25	21	21	32	37	27	30	2	8	12	15	6	17	34	18	8	8	11	6	34	33	20	13	29	32	35	19	22	15	22	11	17	14	10	17	11	3	4	7	34	38	23	9	19	46	3	2	3	3	6	9	24	18	13	13	4	3									
10	Число действительных избирательных бюллетеней	80700	1443	1410	1529	699	1138	1443	1554	1412	1271	1411	979	1194	1256	1444	1343	1718	1345	1049	1597	1128	1403	902	1140	1178	943	1448	1348	1372	1209	326	545	1890	1178	383	1015	1137	928	367	440	600	287	1456	1633	308	996	1436	1269	1501	1147	1338	1035	1607	423	636	1005	1018	774	739	319	211	405	1720	1635	1131	588	1124	892	368	184	123	356	503	555	1194	1726	1341	1009	283	310									
11	Число полученных открепительных  удостоверений	1960	36	38	35	15	10	23	34	26	26	31	25	26	28	31	29	32	45	25	39	29	31	20	27	24	21	30	31	25	25	10	10	42	35	10	30	35	18	18	10	23	11	40	10	10	15	29	29	30	30	30	23	40	10	22	27	20	15	15	8	5	10	50	30	25	12	126	16	10	7	4	15	27	26	25	45	25	15	5	10									
