Выборы Президента Российской Федерации																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Пушкинская																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286					
1	"Число избирателей, внесенных в список"	126990	201	2604	2954	2421	1418	2490	2215	2600	2066	2046	2505	2250	1527	2580	2463	2891	2843	2685	2220	1959	1864	2345	2706	2545	2122	1002	620	1425	730	903	2767	411	930	697	615	954	635	1722	2522	1862	1564	2492	509	1465	2581	2091	2166	2221	1707	2111	2520	1075	1665	1426	1424	2101	2561	937	904	1052	741	1129	342	298	161	641	477	1923	2001	2848	864	1900	1156	426	1835	1361					
2	Число полученных избирательных бюллетеней	122624	202	2490	2840	2350	1230	2390	2100	2510	1970	1960	2400	2150	1510	2430	2350	2720	2700	2570	2120	1870	1790	2220	2560	2440	2170	940	600	1370	740	850	2670	380	990	710	610	1110	710	1690	2420	1770	1600	2250	490	1390	2440	2010	2080	2150	1600	2030	2420	1060	1660	1390	1350	2380	2380	870	920	1020	730	1110	330	390	172	640	460	1870	1890	2750	730	1750	1140	420	1720	1430					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	68149	200	1302	1407	1166	595	1402	1228	1384	1147	1195	1332	1075	721	1366	1170	1610	1437	1332	1082	1002	1016	1311	1489	1402	1086	614	295	605	363	434	1512	203	521	364	352	541	427	956	1288	941	828	1731	272	723	1343	1108	1113	1125	897	1144	1328	634	818	752	830	1447	1331	458	678	540	433	622	180	298	106	306	266	823	1024	1597	503	1043	605	273	910	1187					
5	"Число избирательных бюллетеней, выданных вне помещения"	3670	0	37	35	28	236	12	35	38	16	56	26	37	71	25	20	21	22	17	36	18	22	29	15	21	21	23	37	66	40	59	46	33	102	65	58	51	4	51	61	24	123	136	35	111	15	29	37	56	74	40	38	58	107	63	87	3	4	30	12	68	10	72	102	0	26	112	71	92	43	15	93	26	154	36	24	54					
6	Число погашенных избирательных бюллетеней	50805	2	1151	1398	1156	399	976	837	1088	807	709	1042	1038	718	1039	1160	1089	1241	1221	1002	850	752	880	1056	1017	1063	303	268	699	337	357	1112	144	367	281	200	518	279	683	1071	805	649	383	183	556	1082	873	930	969	629	846	1054	368	735	575	433	930	1045	382	230	412	287	416	48	92	40	222	123	955	823	1138	134	681	381	111	786	189					
7	Число избирательных бюллетеней в переносных ящиках	3670	0	37	35	28	236	12	35	38	16	56	26	37	71	25	20	21	22	17	36	18	22	29	15	21	21	23	37	66	40	59	46	33	102	65	58	51	4	51	61	24	123	136	35	111	15	29	37	56	74	40	38	58	107	63	87	3	4	30	12	68	10	72	102	0	26	112	71	92	43	15	93	26	154	36	24	54					
8	Число бюллетеней в стационарных ящиках для голосования	67996	200	1295	1407	1152	595	1402	1228	1384	1139	1195	1330	1075	721	1366	1170	1610	1426	1331	1081	1002	1014	1311	1489	1402	1086	581	295	605	363	434	1511	203	521	364	352	522	427	956	1286	941	828	1731	272	723	1343	1106	1113	1125	897	1142	1328	634	818	752	830	1442	1331	458	678	539	433	622	180	298	106	306	266	806	1024	1592	503	1043	605	273	910	1167					
9	Число недействительных избирательных бюллетеней	616	0	20	17	12	14	6	5	9	10	9	5	8	1	14	15	19	16	4	8	5	10	15	8	14	15	3	2	5	0	2	12	2	0	4	1	0	7	9	11	11	6	18	1	6	18	10	13	10	5	8	6	5	9	4	3	22	23	3	0	13	10	9	4	1	0	1	0	5	16	20	5	12	3	2	11	6					
10	Число действительных избирательных бюллетеней	71050	200	1312	1425	1168	817	1408	1258	1413	1145	1242	1351	1104	791	1377	1175	1612	1432	1344	1109	1015	1026	1325	1496	1409	1092	601	330	666	403	491	1545	234	623	425	409	573	424	998	1336	954	945	1849	306	828	1340	1125	1137	1171	966	1174	1360	687	916	811	914	1423	1312	485	690	594	433	685	278	297	132	417	337	893	1051	1587	591	1057	756	307	923	1215					
11	Число полученных открепительных  удостоверений	2660	20	40	40	40	30	40	40	40	40	40	50	40	30	40	40	40	40	40	40	30	30	40	40	40	40	20	20	30	20	20	60	20	30	30	20	30	20	30	40	30	30	40	20	30	40	40	40	40	30	40	40	30	30	30	30	50	50	20	30	30	20	30	20	20	20	20	20	30	30	60	20	30	30	20	30	200					
12	Число выданных открепительных удостоверений	1604	0	28	30	17	5	36	19	23	36	27	43	10	20	30	15	30	22	18	16	13	10	16	25	35	27	17	7	23	8	7	60	4	18	20	20	5	2	30	26	19	18	2	10	19	40	20	22	27	21	19	40	14	25	30	18	50	23	4	30	18	17	9	6	1	7	13	1	30	30	43	20	25	5	18	13	99					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1477	25	16	18	11	29	13	9	17	18	17	10	9	18	11	14	15	13	6	13	3	8	38	15	22	12	26	4	8	4	42	32	25	25	45	38	0	10	23	9	6	39	25	6	48	22	8	13	9	94	16	14	18	16	8	20	30	14	29	36	11	11	18	15	8	9	20	13	16	30	11	94	24	36	1	9	9					
14	Число неиспользованных открепительных удостоверений	1056	20	12	10	23	25	4	21	17	4	13	7	30	10	10	25	10	18	22	24	17	20	24	15	5	13	3	13	7	12	13	0	16	12	10	0	25	18	0	14	11	12	38	10	11	0	20	18	13	9	21	0	16	5	0	12	0	27	16	0	12	3	21	14	19	13	7	19	0	0	17	0	5	25	2	17	101					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																			
