Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Нестеровская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376					
1	"Число избирателей, внесенных в список избирателей"	12642	2018	1937	1092	403	386	547	568	595	1038	200	509	685	385	1021	540	718					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12000	1800	1800	1000	400	400	550	550	550	1000	200	450	700	350	1000	550	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6016	1111	972	414	194	200	295	263	266	496	138	270	266	189	406	213	323					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	379	24	70	47	14	0	13	6	25	23	6	29	25	8	34	22	33					
6	Число погашенных избирательных бюллетеней	5605	665	758	539	192	200	242	281	259	481	56	151	409	153	560	315	344					
7	Число избирательных бюллетеней в переносных ящиках для голосования	379	24	70	47	14	0	13	6	25	23	6	29	25	8	34	22	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6016	1111	972	414	194	200	295	263	266	496	138	270	266	189	406	213	323					
9	Число недействительных избирательных бюллетеней	81	14	15	8	1	2	5	4	10	3	0	2	4	3	5	0	5					
10	Число действительных избирательных бюллетеней	6314	1121	1027	453	207	198	303	265	281	516	144	297	287	194	435	235	351					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	160	14	16	15	10	10	5	5	10	10	6	19	10	5	14	6	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	131	13	16	15	5	8	2	3	4	9	6	19	8	4	13	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	106	15	9	32	3	3	2	2	6	3	1	17	1	1	3	4	4					
14	Число погашенных неиспользованных открепительных удостоверений	29	1	0	0	5	2	3	2	6	1	0	0	2	1	1	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	856	181	164	85	26	15	43	25	31	47	12	27	49	45	42	33	31					
		13.39%	15.95%	15.74%	18.44%	12.50%	7.50%	13.96%	9.29%	10.65%	9.06%	8.33%	9.03%	16.84%	22.84%	9.55%	14.04%	8.71%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1288	260	232	97	54	38	50	66	38	87	16	61	55	38	94	46	56					
		20.14%	22.91%	22.26%	21.04%	25.96%	19.00%	16.23%	24.54%	13.06%	16.76%	11.11%	20.40%	18.90%	19.29%	21.36%	19.57%	15.73%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	91	23	13	3	0	4	5	3	3	9	2	7	3	2	6	6	2					
		1.42%	2.03%	1.25%	0.65%	0.00%	2.00%	1.62%	1.12%	1.03%	1.73%	1.39%	2.34%	1.03%	1.02%	1.36%	2.55%	0.56%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1090	238	210	75	20	38	42	49	43	69	11	76	42	34	60	45	38					
		17.04%	20.97%	20.15%	16.27%	9.62%	19.00%	13.64%	18.22%	14.78%	13.29%	7.64%	25.42%	14.43%	17.26%	13.64%	19.15%	10.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	136	32	29	10	2	2	6	0	11	9	2	4	6	6	11	5	1					
		2.13%	2.82%	2.78%	2.17%	0.96%	1.00%	1.95%	0.00%	3.78%	1.73%	1.39%	1.34%	2.06%	3.05%	2.50%	2.13%	0.28%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2823	375	376	179	104	100	157	121	154	295	99	119	131	69	222	100	222					
		44.14%	33.04%	36.08%	38.83%	50.00%	50.00%	50.97%	44.98%	52.92%	56.84%	68.75%	39.80%	45.02%	35.03%	50.45%	42.55%	62.36%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	30	12	3	4	1	1	0	1	1	0	2	3	1	0	0	0	1					
		0.47%	1.06%	0.29%	0.87%	0.48%	0.50%	0.00%	0.37%	0.34%	0.00%	1.39%	1.00%	0.34%	0.00%	0.00%	0.00%	0.28%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
