Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Нестеровская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376					
1	"Число избирателей, внесенных в списки избирателей"	12663	2096	2007	1008	371	378	549	581	603	1021	206	501	685	386	1001	555	715					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9450	1500	1500	750	300	300	400	450	450	750	200	400	500	300	700	400	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7032	1271	1126	531	227	207	313	321	365	514	146	276	340	222	530	277	366					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	289	20	57	16	8	6	16	26	13	19	11	22	23	3	8	20	21					
6	Число погашенных избирательных бюллетеней	2129	209	317	203	65	87	71	103	72	217	43	102	137	75	162	103	163					
7	Число избирательных бюллетеней в переносных ящиках для голосования	289	20	57	16	8	6	16	26	13	19	11	22	23	3	8	20	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7032	1271	1126	531	227	207	313	321	365	514	146	276	340	222	530	277	366					
9	Число недействительных избирательных бюллетеней	64	13	6	3	1	2	6	1	11	5	2	3	2	1	3	2	3					
10	Число действительных избирательных бюллетеней	7257	1278	1177	544	234	211	323	346	367	528	155	295	361	224	535	295	384					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	96	10	10	7	4	4	4	4	5	7	2	16	2	5	7	4	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	68	10	4	7	4	2	0	4	1	4	1	16	1	3	7	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	60	24	1	9	2	1	4	2	4	1	0	7	0	1	2	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	28	0	6	0	0	2	4	0	4	3	1	0	1	2	0	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	230	29	28	8	3	2	7	7	9	52	3	18	23	1	16	10	14					
		3.14%	2.25%	2.37%	1.46%	1.28%	0.94%	2.13%	2.02%	2.38%	9.76%	1.91%	6.04%	6.34%	0.44%	2.97%	3.37%	3.62%					
19	2.Всероссийская политическая партия «Гражданская Сила»	57	17	9	5	3	0	2	3	1	1	0	1	4	6	3	0	2					
		0.78%	1.32%	0.76%	0.91%	1.28%	0.00%	0.61%	0.86%	0.26%	0.19%	0.00%	0.34%	1.10%	2.67%	0.56%	0.00%	0.52%					
20	3.Политическая партия «Демократическая партия России»	6	0	1	0	0	0	2	0	1	0	0	0	0	0	2	0	0					
		0.08%	0.00%	0.08%	0.00%	0.00%	0.00%	0.61%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	532	114	106	29	7	21	23	20	31	18	8	52	29	12	25	22	15					
		7.27%	8.83%	8.96%	5.30%	2.98%	9.86%	6.99%	5.76%	8.20%	3.38%	5.10%	17.45%	7.99%	5.33%	4.65%	7.41%	3.88%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	12	1	3	0	0	0	5	0	0	0	0	0	1	1	0	0	1					
		0.16%	0.08%	0.25%	0.00%	0.00%	0.00%	1.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.44%	0.00%	0.00%	0.26%					
23	6.Политическая партия «Партия социальной справедливости»	16	2	4	2	1	1	0	0	2	0	0	0	2	1	1	0	0					
		0.22%	0.15%	0.34%	0.37%	0.43%	0.47%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.55%	0.44%	0.19%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	953	204	139	73	43	18	41	31	39	65	17	59	56	28	69	34	37					
		13.02%	15.80%	11.75%	13.35%	18.30%	8.45%	12.46%	8.93%	10.32%	12.20%	10.83%	19.80%	15.43%	12.44%	12.83%	11.45%	9.56%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	429	97	82	36	13	5	23	8	24	27	6	16	23	12	23	17	17					
		5.86%	7.51%	6.93%	6.58%	5.53%	2.35%	6.99%	2.31%	6.35%	5.07%	3.82%	5.37%	6.34%	5.33%	4.28%	5.72%	4.39%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	85	16	25	3	2	3	4	3	4	5	0	1	4	3	2	10	0					
		1.16%	1.24%	2.11%	0.55%	0.85%	1.41%	1.22%	0.86%	1.06%	0.94%	0.00%	0.34%	1.10%	1.33%	0.37%	3.37%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4891	789	773	384	162	159	212	274	254	355	121	147	219	158	389	198	297					
		66.81%	61.12%	65.34%	70.20%	68.94%	74.65%	64.44%	78.96%	67.20%	66.60%	77.07%	49.33%	60.33%	70.22%	72.30%	66.67%	76.74%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	46	9	7	4	0	2	4	0	2	5	0	1	0	2	5	4	1					
		0.63%	0.70%	0.59%	0.73%	0.00%	0.94%	1.22%	0.00%	0.53%	0.94%	0.00%	0.34%	0.00%	0.89%	0.93%	1.35%	0.26%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
