Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    район Северное Бутово																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	59450	2459	2550	2035	2061	2457	2097	2264	2253	2563	2118	2153	2256	2271	2153	1975	2057	1691	2222	735	2318	2374	2141	2510	2463	2464	2262	2548									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47500	2000	1900	1600	1600	2000	1700	1800	1800	2000	1700	1700	1800	1800	1700	1600	1700	1400	1800	600	1900	1900	1700	2000	2000	2000	1800	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19148	754	783	707	669	815	641	740	794	844	688	708	855	767	718	632	654	491	727	216	671	761	687	758	774	809	720	765									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	382	18	13	12	11	21	28	14	13	8	13	17	10	6	13	6	19	10	5	6	18	22	15	12	20	18	30	4									
6	Число погашенных избирательных бюллетеней	27970	1228	1104	881	920	1164	1031	1046	993	1148	999	975	935	1027	969	962	1027	899	1068	378	1211	1117	998	1230	1206	1173	1050	1231									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	382	18	13	12	11	21	28	14	13	8	13	17	10	6	13	6	19	10	5	6	18	22	15	12	20	18	30	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19108	754	781	707	669	812	641	737	781	836	686	708	855	764	718	632	654	491	727	214	669	761	687	758	773	809	719	765									
9	Число недействительных избирательных бюллетеней	385	18	11	16	10	14	20	17	15	7	14	13	15	15	20	7	20	8	10	3	19	14	23	15	20	15	16	10									
10	Число действительных избирательных бюллетеней	19105	754	783	703	670	819	649	734	779	837	685	712	850	755	711	631	653	493	722	217	668	769	679	755	773	812	733	759									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	10	20	20	10	20	20	20	20	20	10	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	354	12	16	16	14	17	17	14	8	13	11	18	16	18	11	10	7	14	14	4	17	15	14	9	17	6	15	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	235	11	4	20	5	8	13	9	16	12	16	5	9	7	14	1	0	3	8	8	12	7	11	10	8	9	4	5									
14	Число погашенных неиспользованных открепительных удостоверений	146	8	4	4	6	3	3	6	12	7	9	2	4	2	9	0	3	6	6	6	3	5	6	11	3	4	5	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	70	0	4	4	3	6	3	0	3	3	2	3	4	4	4	2	3	2	0	0	2	2	1	1	5	6	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	732	36	28	23	28	31	26	26	31	36	40	34	28	24	22	24	15	17	36	3	27	32	20	32	29	19	32	33									
		3.76%	4.66%	3.53%	3.20%	4.12%	3.72%	3.89%	3.46%	3.90%	4.27%	5.72%	4.69%	3.24%	3.12%	3.01%	3.76%	2.23%	3.39%	4.92%	1.36%	3.93%	4.09%	2.85%	4.16%	3.66%	2.30%	4.27%	4.29%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	428	14	22	12	18	19	23	16	12	14	17	5	19	19	18	22	18	16	12	1	16	13	15	16	8	22	22	19									
		2.20%	1.81%	2.77%	1.67%	2.65%	2.28%	3.44%	2.13%	1.51%	1.66%	2.43%	0.69%	2.20%	2.47%	2.46%	3.45%	2.67%	3.19%	1.64%	0.45%	2.33%	1.66%	2.14%	2.08%	1.01%	2.66%	2.94%	2.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	590	22	30	24	22	23	18	28	22	18	22	25	36	20	23	23	28	22	16	13	20	24	20	10	19	28	14	20									
		3.03%	2.85%	3.78%	3.34%	3.24%	2.76%	2.69%	3.73%	2.77%	2.13%	3.15%	3.45%	4.16%	2.60%	3.15%	3.61%	4.16%	4.39%	2.19%	5.91%	2.91%	3.07%	2.85%	1.30%	2.40%	3.39%	1.87%	2.60%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7271	304	314	300	268	275	233	295	327	302	214	279	289	255	295	231	246	197	239	84	262	329	272	286	264	330	288	293									
		37.31%	39.38%	39.55%	41.72%	39.41%	33.01%	34.83%	39.28%	41.18%	35.78%	30.62%	38.48%	33.41%	33.12%	40.36%	36.21%	36.55%	39.32%	32.65%	38.18%	38.14%	42.02%	38.75%	37.14%	33.29%	39.90%	38.45%	38.10%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	374	19	16	9	11	16	16	18	13	17	14	16	17	16	7	18	16	13	13	1	10	14	11	16	13	13	11	20									
		1.92%	2.46%	2.02%	1.25%	1.62%	1.92%	2.39%	2.40%	1.64%	2.01%	2.00%	2.21%	1.97%	2.08%	0.96%	2.82%	2.38%	2.59%	1.78%	0.45%	1.46%	1.79%	1.57%	2.08%	1.64%	1.57%	1.47%	2.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	58	1	1	3	1	4	1	2	2	1	2	3	2	1	1	2	4	3	5	2	2	3	2	1	5	3	0	1									
		0.30%	0.13%	0.13%	0.42%	0.15%	0.48%	0.15%	0.27%	0.25%	0.12%	0.29%	0.41%	0.23%	0.13%	0.14%	0.31%	0.59%	0.60%	0.68%	0.91%	0.29%	0.38%	0.28%	0.13%	0.63%	0.36%	0.00%	0.13%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2714	106	113	109	80	100	82	94	127	113	104	86	118	128	101	89	102	74	111	34	94	129	118	83	125	124	95	75									
		13.93%	13.73%	14.23%	15.16%	11.76%	12.00%	12.26%	12.52%	15.99%	13.39%	14.88%	11.86%	13.64%	16.62%	13.82%	13.95%	15.16%	14.77%	15.16%	15.45%	13.68%	16.48%	16.81%	10.78%	15.76%	14.99%	12.68%	9.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	501	14	9	18	17	32	16	12	23	22	22	19	19	22	24	9	13	9	43	5	16	10	18	29	29	22	8	21									
		2.57%	1.81%	1.13%	2.50%	2.50%	3.84%	2.39%	1.60%	2.90%	2.61%	3.15%	2.62%	2.20%	2.86%	3.28%	1.41%	1.93%	1.80%	5.87%	2.27%	2.33%	1.28%	2.56%	3.77%	3.66%	2.66%	1.07%	2.73%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	733	30	35	13	34	52	19	19	20	35	35	38	30	34	28	27	17	14	44	1	26	26	18	32	37	14	23	32									
		3.76%	3.89%	4.41%	1.81%	5.00%	6.24%	2.84%	2.53%	2.52%	4.15%	5.01%	5.24%	3.47%	4.42%	3.83%	4.23%	2.53%	2.79%	6.01%	0.45%	3.78%	3.32%	2.56%	4.16%	4.67%	1.69%	3.07%	4.16%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	67	1	2	2	2	4	1	2	6	4	2	3	4	4	0	1	2	3	1	0	1	0	1	5	5	2	5	4									
		0.34%	0.13%	0.25%	0.28%	0.29%	0.48%	0.15%	0.27%	0.76%	0.47%	0.29%	0.41%	0.46%	0.52%	0.00%	0.16%	0.30%	0.60%	0.14%	0.00%	0.15%	0.00%	0.14%	0.65%	0.63%	0.24%	0.67%	0.52%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1466	46	49	34	23	78	69	52	40	98	64	48	67	51	44	41	45	32	80	17	49	41	62	97	78	51	44	66									
		7.52%	5.96%	6.17%	4.73%	3.38%	9.36%	10.31%	6.92%	5.04%	11.61%	9.16%	6.62%	7.75%	6.62%	6.02%	6.43%	6.69%	6.39%	10.93%	7.73%	7.13%	5.24%	8.83%	12.60%	9.84%	6.17%	5.87%	8.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2775	97	94	86	111	108	102	102	112	115	105	110	149	131	101	103	102	58	86	39	95	89	85	109	113	120	121	132									
		14.24%	12.56%	11.84%	11.96%	16.32%	12.97%	15.25%	13.58%	14.11%	13.63%	15.02%	15.17%	17.23%	17.01%	13.82%	16.14%	15.16%	11.58%	11.75%	17.73%	13.83%	11.37%	12.11%	14.16%	14.25%	14.51%	16.15%	17.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	147	6	6	3	6	8	4	3	2	10	6	4	13	4	2	2	6	3	9	2	7	6	5	9	9	5	2	5									
