Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Эртильская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931	УИК №3932	УИК №3933	УИК №3934	УИК №3935	УИК №3936	УИК №3937	УИК №3938	УИК №3939	УИК №3940	УИК №3941	УИК №3942									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20936	273	380	1070	441	405	236	119	274	668	161	325	69	128	644	521	949	73	287	475	175	121	660	125	388	288	409	819	830	703	701	891	789	976	953	789	372	606	352	775	762	484	470									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21191	278	382	1083	447	409	240	121	277	679	163	327	69	130	644	526	964	74	285	482	174	124	666	126	394	293	414	836	838	710	694	901	800	992	971	804	373	619	358	783	775	492	474									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11828	131	233	702	261	272	173	90	131	294	107	210	61	97	286	213	419	53	188	270	77	70	247	44	280	159	288	526	579	424	465	576	548	489	812	312	149	250	155	317	366	296	208									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4034	104	95	158	107	84	39	22	65	98	37	57	3	16	185	200	133	18	44	57	55	17	273	70	76	87	83	60	104	171	132	93	105	39	40	187	119	208	97	123	209	112	52									
6	Число погашенных избирательных бюллетеней	5329	43	54	223	79	53	28	9	81	287	19	60	5	17	173	113	412	3	53	155	42	37	146	12	38	47	43	250	155	115	97	232	147	464	119	305	105	161	106	343	200	84	214									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4034	104	95	158	107	84	39	22	65	98	37	57	3	16	185	200	133	18	44	57	55	17	273	70	76	87	83	60	104	171	132	93	105	39	40	187	119	208	97	123	209	112	52									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11828	131	233	702	261	272	173	90	131	294	107	210	61	97	286	213	419	53	188	270	77	70	247	44	280	159	288	526	579	424	465	576	548	489	812	312	149	250	155	317	366	296	208									
9	Число недействительных избирательных бюллетеней	137	2	1	0	0	1	2	0	3	2	0	7	0	0	1	3	8	0	1	2	0	0	0	0	2	0	1	4	25	0	0	7	5	11	7	8	4	1	0	21	4	0	4									
10	Число действительных избирательных бюллетеней	15725	233	327	860	368	355	210	112	193	390	144	260	64	113	470	410	544	71	231	325	132	87	520	114	354	246	370	582	658	595	597	662	648	517	845	491	264	457	252	419	571	408	256									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	228	3	3	8	2	2	2	2	2	8	2	2	1	1	5	4	10	1	1	2	3	2	4	1	3	3	3	8	11	6	10	14	15	12	15	12	4	12	3	8	8	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	221	3	3	8	2	2	2	2	2	8	2	2	1	1	1	4	10	1	1	2	3	2	4	1	3	3	3	8	11	6	10	14	15	12	15	12	4	12	3	5	8	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	93	0	3	1	1	2	1	0	2	3	1	2	0	0	3	1	1	1	3	0	2	0	1	0	0	1	1	0	4	0	18	8	8	2	8	4	1	1	0	1	3	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	4	0	0	0	0	0	3	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	370	3	3	26	2	3	0	0	4	7	3	6	0	0	12	4	15	0	3	14	1	2	3	0	6	2	4	5	55	8	16	19	17	15	27	20	10	11	2	12	10	8	12									
		2.33%	1.28%	0.91%	3.02%	0.54%	0.84%	0.00%	0.00%	2.04%	1.79%	2.08%	2.25%	0.00%	0.00%	2.55%	0.97%	2.72%	0.00%	1.29%	4.28%	0.76%	2.30%	0.58%	0.00%	1.69%	0.81%	1.08%	0.85%	8.05%	1.34%	2.68%	2.84%	2.60%	2.84%	3.17%	4.01%	3.73%	2.40%	0.79%	2.73%	1.74%	1.96%	4.62%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	355	1	6	13	9	2	0	3	8	19	0	12	0	1	9	7	36	3	2	14	1	1	11	4	6	7	4	13	13	3	11	15	12	17	15	15	5	11	13	14	6	3	10									
		2.24%	0.43%	1.83%	1.51%	2.45%	0.56%	0.00%	2.68%	4.08%	4.85%	0.00%	4.49%	0.00%	0.88%	1.91%	1.69%	6.52%	4.23%	0.86%	4.28%	0.76%	1.15%	2.12%	3.51%	1.69%	2.85%	1.08%	2.22%	1.90%	0.50%	1.84%	2.24%	1.84%	3.22%	1.76%	3.01%	1.87%	2.40%	5.16%	3.18%	1.04%	0.74%	3.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	234	1	3	11	6	5	2	1	2	6	3	0	0	0	4	6	19	1	0	6	3	1	10	0	4	0	3	8	21	0	5	8	11	10	6	17	5	5	4	13	9	6	9									
		1.48%	0.43%	0.91%	1.28%	1.63%	1.40%	0.94%	0.89%	1.02%	1.53%	2.08%	0.00%	0.00%	0.00%	0.85%	1.45%	3.44%	1.41%	0.00%	1.83%	2.27%	1.15%	1.92%	0.00%	1.12%	0.00%	0.81%	1.37%	3.07%	0.00%	0.84%	1.20%	1.68%	1.89%	0.70%	3.41%	1.87%	1.09%	1.59%	2.95%	1.57%	1.47%	3.46%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9841	188	204	577	224	240	167	80	155	207	115	172	49	96	328	256	236	53	172	203	75	53	372	85	280	173	301	339	268	444	427	310	408	224	502	240	166	284	157	215	363	310	123									
		62.04%	80.00%	62.20%	67.09%	60.87%	67.42%	78.77%	71.43%	79.08%	52.81%	79.86%	64.42%	76.56%	84.96%	69.64%	61.99%	42.75%	74.65%	74.14%	62.08%	56.82%	60.92%	71.54%	74.56%	78.65%	70.33%	81.13%	57.85%	39.24%	74.62%	71.52%	46.34%	62.48%	42.42%	58.92%	48.10%	61.94%	62.01%	62.30%	48.86%	63.13%	75.98%	47.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	71	3	1	3	0	8	0	1	0	2	0	0	0	0	2	3	1	0	1	2	0	0	2	0	1	2	0	3	8	0	4	8	2	4	0	4	0	0	1	0	2	0	3									
		0.45%	1.28%	0.30%	0.35%	0.00%	2.25%	0.00%	0.89%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.42%	0.73%	0.18%	0.00%	0.43%	0.61%	0.00%	0.00%	0.38%	0.00%	0.28%	0.81%	0.00%	0.51%	1.17%	0.00%	0.67%	1.20%	0.31%	0.76%	0.00%	0.80%	0.00%	0.00%	0.40%	0.00%	0.35%	0.00%	1.15%									
24	"6. Политическая партия ""Гражданская Платформа"""	37	1	1	6	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	1	2	0	0	6	0	1	7	0	2	0	0	0	1	0	2	2	0	0									
