Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Третьяковская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11173	1819	266	1361	564	685	178	1090	946	241	669	422	530	96	539	452	117	427	163	608									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9600	1600	250	1150	500	550	150	950	800	200	600	350	450	80	470	400	100	360	140	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4576	723	102	515	208	298	100	416	468	132	274	182	239	59	202	166	61	167	70	194									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	283	40	7	37	5	11	3	34	28	10	16	15	7	2	12	22	3	10	0	21									
6	Число погашенных избирательных бюллетеней	4741	837	141	598	287	241	47	500	304	58	310	153	204	19	256	212	36	183	70	285									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	283	40	7	37	5	11	3	34	28	10	16	15	7	2	12	22	3	10	0	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4575	722	102	515	208	298	100	416	468	132	274	182	239	59	202	166	61	167	70	194									
9	Число недействительных избирательных бюллетеней	126	22	4	6	6	13	1	7	10	5	14	3	8	4	7	4	0	2	2	8									
10	Число действительных избирательных бюллетеней	4732	740	105	546	207	296	102	443	486	137	276	194	238	57	207	184	64	175	68	207									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	92	16	2	9	6	5	2	7	7	2	5	4	5	2	4	4	2	4	2	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	43	15	0	9	2	4	1	2	0	0	3	3	2	0	0	0	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	4	0	3	1	3	2	1	2	2	2	1	1	1	1	2	2	0	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	49	1	2	0	4	1	1	5	7	2	2	1	3	2	4	4	0	4	2	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	4	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	37	2	0	5	0	6	2	2	5	0	2	0	4	1	0	2	2	1	2	1									
		0.76%	0.26%	0.00%	0.91%	0.00%	1.94%	1.94%	0.44%	1.01%	0.00%	0.69%	0.00%	1.63%	1.64%	0.00%	1.06%	3.13%	0.56%	2.86%	0.47%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	214	36	5	17	3	15	8	14	25	9	13	5	13	4	16	16	0	6	1	8									
		4.41%	4.72%	4.59%	3.08%	1.41%	4.85%	7.77%	3.11%	5.04%	6.34%	4.48%	2.54%	5.28%	6.56%	7.48%	8.51%	0.00%	3.39%	1.43%	3.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	85	10	7	5	2	8	1	12	10	4	2	3	1	2	5	3	0	2	2	6									
		1.75%	1.31%	6.42%	0.91%	0.94%	2.59%	0.97%	2.67%	2.02%	2.82%	0.69%	1.52%	0.41%	3.28%	2.34%	1.60%	0.00%	1.13%	2.86%	2.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1877	264	47	170	70	96	37	182	149	86	84	102	105	15	107	94	43	95	45	86									
