Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Отрадная городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31091	1537	1409	1460	1513	1583	1545	1429	1468	1407	1475	1592	1627	1662	1643	1584	1581	1613	1623	1681	1659									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30700	1400	1400	1500	1400	1600	1600	1400	1500	1400	1500	1600	1500	1700	1600	1500	1600	1500	1600	1700	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20163	724	951	1153	819	1180	991	846	967	1134	906	1295	759	794	1276	744	955	971	1243	1068	1387									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	793	46	99	51	34	40	14	18	15	20	18	36	37	49	40	40	44	26	50	66	50									
6	Число погашенных избирательных бюллетеней	9744	630	350	296	547	380	595	536	518	246	576	269	704	857	284	716	601	503	307	566	263									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	793	46	99	51	34	40	14	18	15	20	18	36	37	49	40	40	44	26	50	66	50									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20052	723	951	1153	819	1180	991	846	967	1134	853	1295	759	794	1272	744	955	945	1217	1067	1387									
9	Число недействительных избирательных бюллетеней	619	25	28	13	34	20	27	29	27	29	12	61	28	27	18	32	36	30	79	28	36									
10	Число действительных избирательных бюллетеней	20226	744	1022	1191	819	1200	978	835	955	1125	859	1270	768	816	1294	752	963	941	1188	1105	1401									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	465	20	20	45	30	20	20	30	25	20	20	35	20	20	20	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	360	16	13	23	30	9	20	25	25	17	16	35	10	9	20	17	12	20	16	13	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	177	10	4	10	4	3	7	7	15	9	14	8	7	11	14	11	11	3	20	1	8									
14	Число погашенных неиспользованных открепительных удостоверений	105	4	7	22	0	11	0	5	0	3	4	0	10	11	0	3	8	0	4	7	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	1	2	1	0	2	0	5	3	0	0	1	1	3	6	2	3	2	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	198	10	9	13	14	14	7	9	4	7	7	8	5	10	8	11	8	14	18	14	8									
		0.95%	1.30%	0.86%	1.08%	1.64%	1.15%	0.70%	1.04%	0.41%	0.61%	0.80%	0.60%	0.63%	1.19%	0.61%	1.40%	0.80%	1.44%	1.42%	1.24%	0.56%									
