Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Камешковская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625					
1	"Число избирателей, внесенных в списки"	29857	1901	1814	1799	1896	1825	1933	1785	1819	411	148	1293	1028	1303	389	553	556	289	2399	340	394	165	1130	560	962	778	424	520	321	439	683					
2	"Число бюллетеней, полученных участковыми комиссиями"	29250	1850	1600	1750	1830	1700	1800	1850	1900	390	150	1320	1020	1320	380	550	550	290	2400	350	400	160	1100	550	950	780	400	500	300	430	680					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11688	785	698	703	768	702	758	700	810	169	48	493	396	602	115	219	172	95	880	151	180	49	430	178	351	308	222	159	98	186	263					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1780	55	36	68	32	27	49	92	37	32	13	63	48	15	94	81	61	52	124	33	38	64	60	76	98	100	34	107	79	51	61					
6	Число погашенных бюллетеней	15782	1010	866	979	1030	971	993	1058	1053	189	89	764	576	703	171	250	317	143	1396	166	182	47	610	296	501	372	144	234	123	193	356					
7	Число бюллетеней в переносных ящиках для голосования	1780	55	36	68	32	27	49	92	37	32	13	63	48	15	94	81	61	52	124	33	38	64	60	76	98	100	34	107	79	51	61					
8	Число бюллетеней в стационарных ящиках для голосования	11676	779	698	699	768	702	758	700	808	169	48	493	396	602	115	219	172	95	880	151	180	49	430	178	351	308	222	159	98	186	263					
9	Число недействительных бюллетеней	274	22	15	8	16	21	7	32	16	5	2	13	13	14	2	4	6	2	22	4	5	1	13	7	6	7	1	0	3	1	6					
10	Число действительных бюллетеней	13182	812	719	759	784	708	800	760	829	196	59	543	431	603	207	296	227	145	982	180	213	112	477	247	443	401	255	266	174	236	318					
