Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Лысковская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31569	1308	1228	1421	1840	993	2239	1339	1321	1002	1323	1258	1308	1500	1246	584	398	267	1063	314	397	374	127	536	723	333	543	145	223	366	673	249	258	583	169	1292	523	151	617	82	1127	126									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31200	1270	1200	1380	1830	960	2180	1310	1310	980	1310	1230	1240	1450	1220	550	370	300	1090	310	320	350	120	520	670	330	570	150	300	470	650	250	270	600	180	1320	530	150	600	80	1160	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12085	501	301	506	736	425	845	309	530	375	494	373	425	485	388	331	143	204	427	88	149	190	76	315	314	122	251	52	83	144	285	127	110	230	36	534	286	72	200	24	547	52									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1823	13	19	19	17	41	10	72	10	21	44	18	99	32	17	61	81	52	23	34	131	54	38	108	61	60	35	25	53	71	74	44	31	21	40	16	29	9	127	46	65	2									
6	Число погашенных избирательных бюллетеней	17292	756	880	855	1077	494	1325	929	770	584	772	839	716	933	815	158	146	44	640	188	40	106	6	97	295	148	284	73	164	255	291	79	129	349	104	770	215	69	273	10	548	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1823	13	19	19	17	41	10	72	10	21	44	18	99	32	17	61	81	52	23	34	131	54	38	108	61	60	35	25	53	71	74	44	31	21	40	16	29	9	127	46	65	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12081	501	301	506	736	425	845	309	530	375	494	373	425	485	388	331	142	204	427	88	149	190	76	315	314	122	251	52	83	144	285	127	110	230	36	534	286	72	200	24	544	52									
9	Число недействительных избирательных бюллетеней	358	14	9	22	1	9	17	12	19	12	17	7	16	17	13	5	11	0	11	7	19	4	4	2	7	2	2	3	2	3	12	5	6	4	3	13	10	5	9	0	24	0									
10	Число действительных избирательных бюллетеней	13546	500	311	503	752	457	838	369	521	384	521	384	508	500	392	387	212	256	439	115	261	240	110	421	368	180	284	74	134	212	347	166	135	247	73	537	305	76	318	70	585	54									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	530	15	15	15	15	15	30	25	25	15	15	15	15	15	15	10	10	10	15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	216	8	9	5	15	6	23	16	15	10	11	13	7	11	9	0	0	1	7	2	0	0	2	4	2	1	2	0	3	6	2	1	3	4	0	12	4	0	1	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	474	7	4	30	19	13	23	4	53	23	9	4	25	7	12	15	19	4	10	6	7	29	12	17	27	1	4	3	2	5	6	4	2	9	2	6	5	1	22	8	14	1									
14	Число погашенных неиспользованных открепительных удостоверений	314	7	6	10	0	9	7	9	10	5	4	2	8	4	6	10	10	9	8	8	10	10	8	6	8	9	8	10	7	4	8	9	7	6	10	3	6	10	9	10	14	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	1	0	0	1	0	1	0	2	1	3	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	132	9	7	7	4	4	10	8	4	3	1	3	7	6	10	0	2	6	2	2	0	1	3	2	3	4	1	0	1	1	4	0	1	2	2	3	1	1	4	1	1	1									
		0.95%	1.75%	2.19%	1.33%	0.53%	0.86%	1.17%	2.10%	0.74%	0.76%	0.19%	0.77%	1.34%	1.16%	2.47%	0.00%	0.90%	2.34%	0.44%	1.64%	0.00%	0.41%	2.63%	0.47%	0.80%	2.20%	0.35%	0.00%	0.74%	0.47%	1.11%	0.00%	0.71%	0.80%	2.63%	0.55%	0.32%	1.23%	1.22%	1.43%	0.16%	1.85%									
