Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Карпинская городская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951					
1	"Число избирателей, внесенных в списки избирателей"	25730	2328	2242	203	2175	768	56	2635	1905	2203	1412	1383	2365	2165	1367	720	220	132	705	746					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23350	2050	2000	200	2000	750	50	2400	1700	2000	1300	1250	2200	2000	1150	650	200	100	700	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14816	1264	1297	200	1161	483	50	1574	1189	1367	851	713	1432	1228	605	316	122	96	532	336					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1078	71	67	0	79	78	0	92	51	77	56	68	78	53	169	28	10	2	39	60					
6	Число погашенных избирательных бюллетеней	7456	715	636	0	760	189	0	734	460	556	393	469	690	719	376	306	68	2	129	254					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1078	71	67	0	79	78	0	92	51	77	56	68	78	53	169	28	10	2	39	60					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14815	1264	1297	200	1161	483	50	1574	1189	1367	851	713	1432	1228	604	316	122	96	532	336					
9	Число недействительных избирательных бюллетеней	161	17	27	3	13	4	0	18	12	12	10	9	9	8	2	8	1	0	7	1					
10	Число действительных избирательных бюллетеней	15732	1318	1337	197	1227	557	50	1648	1228	1432	897	772	1501	1273	771	336	131	98	564	395					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	309	29	32	0	27	3	0	36	21	30	16	9	33	37	12	7	2	0	12	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	306	29	32	0	27	3	0	36	21	30	16	9	33	37	12	5	2	0	12	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	177	11	16	0	15	3	0	21	14	11	9	9	8	10	26	9	1	0	5	9					
14	Число погашенных неиспользованных открепительных удостоверений	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	91	10	12	0	10	0	0	8	5	15	9	1	9	5	0	5	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	1.Политическая партия «Аграрная партия России»	225	24	14	3	18	9	0	21	18	23	9	12	30	14	15	1	3	0	4	7					
		1.42%	1.80%	1.03%	1.50%	1.45%	1.60%	0.00%	1.26%	1.45%	1.59%	0.99%	1.54%	1.99%	1.09%	1.94%	0.29%	2.27%	0.00%	0.70%	1.77%					
19	2.Всероссийская политическая партия «Гражданская Сила»	370	30	25	0	33	5	0	35	16	34	25	11	52	63	21	10	2	1	1	6					
		2.33%	2.25%	1.83%	0.00%	2.66%	0.89%	0.00%	2.10%	1.29%	2.35%	2.76%	1.41%	3.44%	4.92%	2.72%	2.91%	1.52%	1.02%	0.18%	1.52%					
20	3.Политическая партия «Демократическая партия России»	31	1	3	0	4	2	0	4	1	2	2	0	4	2	1	1	0	0	2	2					
		0.20%	0.07%	0.22%	0.00%	0.32%	0.36%	0.00%	0.24%	0.08%	0.14%	0.22%	0.00%	0.26%	0.16%	0.13%	0.29%	0.00%	0.00%	0.35%	0.51%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1222	57	91	12	95	33	5	149	149	166	104	63	104	81	32	22	4	3	26	26					
		7.69%	4.27%	6.67%	6.00%	7.66%	5.88%	10.00%	8.94%	12.02%	11.50%	11.47%	8.07%	6.89%	6.32%	4.14%	6.40%	3.03%	3.06%	4.55%	6.57%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	289	15	21	1	17	1	8	40	17	45	22	12	34	29	8	6	0	1	7	5					
