Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Шиловская																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135					
1	"Число избирателей, внесенных в список"	36397	554	65	329	314	298	125	303	160	583	308	819	319	77	695	236	464	155	301	509	425	107	68	933	171	376	551	696	216	124	106	301	584	218	173	483	125	422	639	324	203	134	596	159	418	327	100	142	2319	2190	2117	2287	1888	1184	1013	1442	489	2140	596	2300	697					
2	Число полученных избирательных бюллетеней	36407	555	61	322	304	303	132	310	161	610	311	827	324	75	705	240	475	145	295	522	426	113	72	938	171	382	562	701	210	120	107	302	599	215	175	482	127	427	644	327	208	140	579	178	435	337	95	149	2356	2230	2117	2125	1887	1184	1002	1418	490	2120	585	2293	702					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20568	284	27	187	191	121	28	145	100	379	132	525	178	70	388	168	289	80	281	236	224	53	39	596	97	150	318	357	106	49	53	139	298	121	84	381	84	259	377	170	110	68	369	137	287	200	34	39	1490	1266	1242	1241	1032	707	522	681	228	1159	289	1297	406					
5	"Число избирательных бюллетеней, выданных вне помещения"	2566	104	31	36	25	58	52	90	9	45	53	91	34	0	58	20	33	42	0	98	79	29	20	74	41	100	51	43	43	33	0	90	71	69	43	32	24	27	11	57	32	21	21	0	46	36	32	58	56	38	29	42	41	107	47	29	9	23	22	12	49					
6	Число погашенных избирательных бюллетеней	13273	167	3	99	88	124	52	75	52	186	126	211	112	5	259	52	153	23	14	188	123	31	13	268	33	132	193	301	61	38	54	73	230	25	48	69	19	141	256	100	66	51	189	41	102	101	29	52	810	926	846	842	814	370	433	708	253	938	274	984	247					
7	Число избирательных бюллетеней в переносных ящиках	2566	104	31	36	25	58	52	90	9	45	53	91	34	0	58	20	33	42	0	98	79	29	20	74	41	100	51	43	43	33	0	90	71	69	43	32	24	27	11	57	32	21	21	0	46	36	32	58	56	38	29	42	41	107	47	29	9	23	22	12	49					
8	Число бюллетеней в стационарных ящиках для голосования	20567	284	27	187	191	121	28	145	100	379	132	525	178	70	388	168	289	80	281	236	224	53	39	596	97	150	318	357	106	49	53	139	298	121	84	381	84	259	377	170	110	68	369	137	287	200	34	39	1490	1265	1242	1241	1032	707	522	681	228	1159	289	1297	406					
9	Число недействительных избирательных бюллетеней	286	9	0	9	8	5	2	1	0	5	1	12	3	0	1	0	8	3	6	7	3	0	0	5	0	5	7	5	10	0	3	4	5	1	3	11	0	4	3	2	3	6	2	0	9	2	1	2	8	18	27	13	7	4	5	7	0	9	1	8	3					
10	Число действительных избирательных бюллетеней	22847	379	58	214	208	174	78	234	109	419	184	604	209	70	445	188	314	119	275	327	300	82	59	665	138	245	362	395	139	82	50	225	364	189	124	402	108	282	385	225	139	83	388	137	324	234	65	95	1538	1285	1244	1270	1066	810	564	703	237	1173	310	1301	452					
11	Число полученных открепительных  удостоверений	640	10	5	10	10	10	5	10	5	20	10	15	5	5	15	10	5	5	5	10	10	5	5	15	5	5	15	10	5	5	5	5	10	10	5	10	5	10	10	10	5	5	10	5	10	5	10	5	40	30	30	20	20	20	10	10	10	20	15	20	10					
12	Число выданных открепительных удостоверений	238	1	0	0	0	1	0	1	0	12	1	1	0	0	3	0	0	0	0	4	1	0	0	7	0	0	5	2	1	0	0	0	0	1	0	1	0	1	2	0	1	0	1	0	6	2	0	1	38	24	27	17	13	7	5	8	1	8	6	20	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	274	2	9	4	1	4	7	1	0	2	4	5	5	4	3	1	3	4	0	3	5	0	3	9	2	3	15	2	10	6	1	4	2	7	4	6	0	6	2	4	3	1	9	0	5	1	3	3	5	1	11	10	7	20	5	3	1	13	4	11	5					
14	Число неиспользованных открепительных удостоверений	402	9	5	10	10	9	5	9	5	8	9	14	5	5	12	10	5	5	5	6	9	5	5	8	5	5	10	8	4	5	5	5	10	9	5	9	5	9	8	10	4	5	9	5	4	3	10	4	2	6	3	3	7	13	5	2	9	12	9	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	1	0	2	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	742	16	4	7	9	5	2	4	1	20	1	25	3	1	5	6	4	2	5	17	4	2	0	22	3	5	18	20	1	1	1	3	6	16	2	11	0	7	5	3	1	0	13	14	5	9	1	2	43	46	49	51	41	35	32	25	8	39	14	43	4					
		3.21%	4.12%	6.90%	3.14%	4.17%	2.79%	2.50%	1.70%	0.92%	4.72%	0.54%	4.06%	1.42%	1.43%	1.12%	3.19%	1.24%	1.64%	1.78%	5.09%	1.32%	2.44%	0.00%	3.28%	2.17%	2.00%	4.88%	5.00%	0.67%	1.22%	1.89%	1.31%	1.63%	8.42%	1.57%	2.66%	0.00%	2.45%	1.29%	1.32%	0.70%	0.00%	3.33%	10.22%	1.50%	3.81%	1.52%	2.06%	2.78%	3.53%	3.86%	3.98%	3.82%	4.30%	5.62%	3.52%	3.38%	3.30%	4.50%	3.28%	0.88%					
