Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
"Наименование Избирательной комиссии:    Волгоград, Тракторозаводская"																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553					
1	"Число избирателей, внесенных в списки"	110396	2184	2265	2407	2648	2571	2854	1846	1976	1990	2569	2360	2426	2269	2845	2636	2651	2093	1976	2524	2631	2652	2588	1405	1494	2121	2220	1910	2576	1876	1962	2564	2054	2571	2538	2337	1684	1325	1852	2062	1721	2271	1558	1422	1666	1989	1864	2142	1872	1981	871	1924	1603					
2	"Число бюллетеней, полученных участковыми комиссиями"	106200	2000	2000	2300	2600	2500	2800	1800	1900	1900	2500	2300	2400	2200	2800	2600	2600	2000	1900	2400	2600	2600	2500	1400	1500	2000	2000	1800	2600	1800	1900	2500	2000	2500	2500	2300	1600	1200	1800	2000	1600	2200	1500	1300	1600	1900	1800	1900	1800	1900	800	1900	1400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	53030	995	1342	1164	1416	1345	1537	889	937	1019	1397	1244	1305	1189	1380	1356	1282	1197	1016	1413	1239	1508	1369	479	469	867	1084	912	1292	836	867	1346	1013	1232	1217	1084	771	500	868	976	799	924	689	605	727	784	964	1014	727	730	334	801	580					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1082	20	16	14	10	14	18	19	21	13	18	11	17	13	16	17	13	29	16	23	29	22	18	8	4	16	26	34	16	19	13	22	26	22	38	15	35	11	22	28	29	10	9	19	7	25	16	20	52	40	7	7	99					
6	Число погашенных бюллетеней	52074	985	642	1122	1174	1141	1245	892	942	868	1085	1045	1078	998	1404	1227	1305	774	868	964	1332	1070	1112	913	1027	1117	890	854	1292	945	1020	1132	961	1246	1232	1201	794	689	910	996	772	1266	802	676	866	1091	820	866	1021	1130	459	1092	721					
7	Число бюллетеней в переносных ящиках для голосования	1082	20	16	14	10	14	18	19	21	13	18	11	17	13	16	17	13	29	16	23	29	22	18	8	4	16	26	34	16	19	13	22	26	22	38	15	35	11	22	28	29	10	9	19	7	25	16	20	52	40	7	7	99					
8	Число бюллетеней в стационарных ящиках для голосования	52990	995	1340	1163	1416	1345	1537	886	937	1015	1397	1244	1305	1189	1380	1356	1282	1196	1016	1407	1239	1508	1369	479	469	867	1083	912	1291	836	867	1345	1013	1232	1204	1084	771	500	864	975	798	923	689	605	727	784	964	1014	727	730	334	801	580					
9	Число недействительных бюллетеней	2249	38	77	22	90	70	50	56	80	51	66	24	43	70	39	37	35	23	42	33	19	34	33	25	50	47	31	40	65	76	50	94	42	19	38	38	41	21	13	20	37	14	25	48	38	31	50	72	52	54	17	40	29					
10	Число действительных бюллетеней	51823	977	1279	1155	1336	1289	1505	849	878	977	1349	1231	1279	1132	1357	1336	1260	1202	990	1397	1249	1496	1354	462	423	836	1078	906	1242	779	830	1273	997	1235	1204	1061	765	490	873	983	790	919	673	576	696	778	930	962	727	716	324	768	650					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1064	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	20	20	20	20	24	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	613	15	24	19	18	13	13	15	6	15	18	15	10	10	10	11	8	13	11	13	17	18	18	4	4	16	19	8	24	8	0	16	5	12	19	7	6	2	9	12	20	10	11	9	8	12	20	8	8	6	2	12	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	416	10	16	8	10	7	7	3	7	7	8	1	8	3	1	7	10	10	6	15	3	14	6	6	7	13	10	9	13	10	8	6	8	5	9	10	7	6	9	8	14	7	6	12	11	4	19	9	3	4	5	3	8					
14	Число погашенных открепительных удостоверений	451	5	6	1	2	7	7	5	14	5	2	5	10	10	10	9	12	7	9	7	3	12	2	16	16	4	1	12	0	12	20	4	15	8	1	13	14	18	11	8	0	10	9	11	12	8	0	12	12	14	18	8	14					
15	Число открепительных удостоверений выданных ТИК	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	"1. ""ЕДИНЕНИЕ"""	528	9	14	10	7	12	16	7	14	8	12	17	15	10	10	14	15	9	10	3	11	24	9	10	7	17	14	5	16	6	5	14	8	10	14	1	7	4	8	10	8	4	7	5	10	13	10	15	2	20	4	9	9					
		0.97%	0.88%	1.03%	0.84%	0.49%	0.88%	1.02%	0.77%	1.46%	0.77%	0.84%	1.35%	1.13%	0.83%	0.71%	1.01%	1.15%	0.73%	0.96%	0.20%	0.86%	1.56%	0.64%	2.05%	1.47%	1.92%	1.26%	0.52%	1.22%	0.70%	0.56%	1.02%	0.76%	0.79%	1.12%	0.09%	0.86%	0.78%	0.90%	0.99%	0.96%	0.42%	1.00%	0.80%	1.36%	1.60%	1.02%	1.45%	0.25%	2.59%	1.17%	1.11%	1.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2543	47	75	72	63	58	66	33	34	50	73	65	76	39	70	84	87	54	35	69	87	85	68	29	24	38	35	34	52	32	36	52	47	57	43	42	32	20	41	50	38	63	26	18	50	32	42	41	43	31	23	54	28					
		4.70%	4.63%	5.53%	6.11%	4.41%	4.26%	4.24%	3.64%	3.54%	4.86%	5.15%	5.17%	5.74%	3.24%	5.01%	6.11%	6.71%	4.40%	3.39%	4.82%	6.86%	5.55%	4.90%	5.95%	5.07%	4.30%	3.15%	3.59%	3.97%	3.74%	4.09%	3.80%	4.52%	4.54%	3.46%	3.82%	3.97%	3.91%	4.62%	4.98%	4.59%	6.75%	3.72%	2.88%	6.81%	3.95%	4.28%	3.96%	5.51%	4.02%	6.74%	6.68%	4.12%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1603	43	23	28	30	40	37	33	33	26	45	28	34	22	34	36	23	49	21	33	30	45	34	21	18	28	38	30	41	32	24	41	40	58	39	30	36	12	25	37	26	27	26	22	16	27	26	47	24	28	12	23	22					
		2.96%	4.23%	1.69%	2.37%	2.10%	2.94%	2.37%	3.64%	3.44%	2.52%	3.18%	2.23%	2.57%	1.83%	2.43%	2.62%	1.77%	4.0%	2.03%	2.30%	2.36%	2.94%	2.45%	4.31%	3.80%	3.17%	3.42%	3.17%	3.13%	3.74%	2.72%	2.99%	3.84%	4.62%	3.14%	2.72%	4.46%	2.34%	2.82%	3.68%	3.14%	2.89%	3.72%	3.52%	2.17%	3.33%	2.65%	4.54%	3.08%	3.63%	3.51%	2.84%	3.24%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2504	45	46	42	54	60	63	39	50	46	63	59	80	68	64	84	67	50	33	86	90	69	71	20	15	34	46	57	54	35	37	47	47	43	51	46	45	29	59	42	49	36	43	33	28	47	58	43	46	27	6	22	30					
