Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Седельниковская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  1060	УИК  1061	УИК  1062	УИК  1063	УИК  1064	УИК  1065	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072	УИК  1073	УИК  1074	УИК  1075	УИК  1076	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  1083	УИК  1084	УИК  1085	УИК  1086	УИК  1087	УИК  1088	УИК  1089	УИК  1090					
1	"Число избирателей, внесенных в список"	9295	102	238	203	388	58	844	226	202	64	234	126	139	208	88	165	401	90	111	97	286	202	97	269	80	753	1143	834	813	568	180	86					
2	Число полученных избирательных бюллетеней	9425	104	246	207	405	61	854	229	202	70	238	123	136	215	91	172	413	92	113	99	299	206	109	277	81	763	1112	850	822	570	179	87					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6859	78	186	141	337	58	714	197	171	55	206	104	108	177	72	136	377	90	106	94	204	142	69	180	63	480	729	453	506	398	155	73					
5	"Число избирательных бюллетеней, выданных вне помещения"	676	17	45	40	37	0	57	13	26	6	16	18	22	31	13	25	10	0	0	0	41	17	14	28	14	42	54	36	18	18	8	10					
6	Число погашенных избирательных бюллетеней	1890	9	15	26	31	3	83	19	5	9	16	1	6	7	6	11	26	2	7	5	54	47	26	69	4	241	329	361	298	154	16	4					
7	Число избирательных бюллетеней в переносных ящиках	676	17	45	40	37	0	57	13	26	6	16	18	22	31	13	25	10	0	0	0	41	17	14	28	14	42	54	36	18	18	8	10					
8	Число бюллетеней в стационарных ящиках для голосования	6859	78	186	141	337	58	714	197	171	55	206	104	108	177	72	136	377	90	106	94	204	142	69	180	63	480	729	453	506	398	155	73					
9	Число недействительных избирательных бюллетеней	46	1	6	0	4	0	7	3	3	0	0	0	0	2	1	0	3	0	0	0	0	2	1	0	0	7	0	0	3	3	0	0					
10	Число действительных избирательных бюллетеней	7489	94	225	181	370	58	764	207	194	61	222	122	130	206	84	161	384	90	106	94	245	157	82	208	77	515	783	489	521	413	163	83					
11	Число полученных открепительных  удостоверений	400	5	10	9	17	3	35	10	8	3	11	6	6	10	4	8	15	4	5	4	12	8	5	10	5	35	46	36	35	24	8	3					
