Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Тунгусско-Чунская														
														
Сводная таблица итогов голосования  по федеральному округу														
														
		Сумма	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31					
1	"Число избирателей, внесенных в списки"	2771	1128	779	610	43	54	138	19					
2	"Число бюллетеней, полученных участковыми комиссиями"	2700	1074	760	589	45	53	160	19					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1482	599	392	306	33	46	88	18					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	165	56	75	33	0	0	1	0					
6	Число погашенных бюллетеней	1053	419	293	250	12	7	71	1					
7	Число бюллетеней в переносных ящиках для голосования	165	56	75	33	0	0	1	0					
8	Число бюллетеней в стационарных ящиках для голосования	1482	599	392	306	33	46	88	18					
9	Число недействительных бюллетеней	22	9	9	2	0	2	0	0					
10	Число действительных бюллетеней	1625	646	458	337	33	44	89	18					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	98	28	28	28	3	3	5	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	19	9	2	4	3	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	2	1	2	1	1	1	1					
14	Число погашенных открепительных удостоверений	79	19	26	24	0	3	4	3					
15	Число открепительных удостоверений выданных ТИК	2	0	2	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	19	13	5	1	0	0	0	0					
		1.15%	1.98%	1.07%	0.29%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	48	26	11	11	0	0	0	0					
		2.91%	3.96%	2.35%	3.24%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	38	18	11	4	1	3	1	0					
		2.30%	2.74%	2.35%	1.17%	3.03%	6.52%	1.12%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	36	7	14	11	2	1	1	0					
		2.18%	1.06%	2.99%	3.24%	6.06%	2.17%	1.12%	0.0%					
22	"5. ""За Русь Святую"""	6	3	2	1	0	0	0	0					
		0.36%	0.45%	0.42%	0.29%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	2	0	2	1	0	1	0					
		0.36%	0.30%	0.0%	0.58%	3.03%	0.0%	1.12%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	2	0	2	0	0	0	0	0					
		0.12%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	2	1	1	0	0	0	0	0					
		0.12%	0.15%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	3	1	1	0	0	0	1	0					
		0.18%	0.15%	0.21%	0.0%	0.0%	0.0%	1.12%	0.0%					
27	"10. ""Аграрная партия России"""	30	10	13	6	0	0	1	0					
		1.82%	1.52%	2.78%	1.76%	0.0%	0.0%	1.12%	0.0%					
28	"11. ""Истинные патриоты России"""	3	2	1	0	0	0	0	0					
		0.18%	0.30%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	24	6	5	4	0	9	0	0					
		1.45%	0.91%	1.07%	1.17%	0.0%	19.56%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	1	1	0	0	0	0	0	0					
		0.06%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	3	3	0	0	0	0	0	0					
		0.18%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	1	0	1	0	0	0	0	0					
		0.06%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	139	60	32	35	2	1	7	2					
		8.43%	9.16%	6.85%	10.32%	6.06%	2.17%	7.86%	11.11%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	2	0	0	0	0	0	0					
		0.12%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	166	61	49	37	2	8	7	2					
		10.07%	9.31%	10.49%	10.91%	6.06%	17.39%	7.86%	11.11%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	68	30	21	8	1	1	6	1					
		4.12%	4.58%	4.49%	2.35%	3.03%	2.17%	6.74%	5.55%					
37	"20. ""Политическая партия ""Единая Россия"""	883	338	255	177	23	17	62	11					
		53.61%	51.60%	54.60%	52.21%	69.69%	36.95%	69.66%	61.11%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	2	1	0	0	0	0	0					
		0.18%	0.30%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	5	2	2	1	0	0	0	0					
		0.30%	0.30%	0.42%	0.29%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	76	33	15	23	0	3	1	1					
		4.61%	5.03%	3.21%	6.78%	0.0%	6.52%	1.12%	5.55%					
														
41	Против всех	61	25	16	16	1	1	1	1					
		3.70%	3.81%	3.42%	4.71%	3.03%	2.17%	1.12%	5.55%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
