Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Заветинская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10697	1544	1661	1593	969	756	828	697	497	749	630	773									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10450	1500	1600	1600	950	750	800	650	500	750	600	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3995	627	568	581	391	319	219	190	197	319	281	303									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1009	55	83	121	115	145	82	188	56	46	65	53									
6	Число погашенных избирательных бюллетеней	5446	818	949	898	444	286	499	272	247	385	254	394									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1009	55	83	121	115	145	82	188	56	46	65	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3992	626	568	581	390	319	219	190	196	319	281	303									
9	Число недействительных избирательных бюллетеней	120	12	22	13	8	0	8	7	9	9	24	8									
10	Число действительных избирательных бюллетеней	4881	669	629	689	497	464	293	371	243	356	322	348									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	257	30	30	32	30	20	20	20	15	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	46	8	3	14	2	0	1	1	6	1	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	27	1	2	3	4	0	4	3	3	2	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	211	22	27	18	28	20	19	19	9	19	10	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	3	2	0	0	2	1	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
