Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																						
Дата голосования: 02.12.2007																																																																																																						
																																																																																																						
Наименование Избирательной комиссии:    Нижнеудинская																																																																																																						
																																																																																																						
Сводная таблица результатов выборов																																																																																																						
																																																																																																						
		Сумма	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028					
1	"Число избирателей, внесенных в списки избирателей"	56434	2031	1080	1297	998	951	1858	1113	926	2140	868	675	1533	1947	2638	600	1083	1357	1358	1600	1712	1191	906	1492	906	590	643	789	1302	65	164	178	238	137	103	119	93	1105	700	221	561	2431	1173	318	251	611	145	186	118	125	78	294	148	110	52	504	144	265	63	76	402	165	89	278	154	296	111	261	298	464	839	944	97	78	182	93	389	177	110	147	845	291	59	216	208	121	83	876	211	132	161	130	380	375	149	263					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	53610	1800	1000	1200	1000	900	1800	1000	900	2050	800	500	1400	1900	2500	600	1000	1300	1200	1500	1600	1100	800	1500	800	600	600	700	1300	70	200	130	200	120	100	115	90	1000	600	220	550	2300	1100	300	350	600	150	190	115	125	80	280	140	105	60	450	170	270	65	80	400	160	90	280	150	500	120	250	350	450	800	900	95	80	190	90	350	180	105	190	800	290	55	190	200	120	80	750	210	125	165	140	350	330	150	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	30792	1150	460	482	467	372	1045	516	412	1124	447	348	670	1043	1277	269	572	702	625	716	726	506	450	811	480	333	303	478	734	49	154	130	140	87	80	80	74	573	494	188	302	1005	656	219	214	361	95	100	80	96	57	264	114	79	43	321	128	132	37	66	264	142	80	189	134	232	81	149	131	299	472	557	84	70	114	72	267	139	90	105	577	245	55	143	171	75	64	527	202	105	142	102	209	271	140	157					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2178	29	18	119	21	44	43	148	12	28	11	11	60	46	66	37	33	17	42	29	46	37	77	74	49	20	36	20	31	6	10	0	0	15	11	15	0	48	27	0	19	39	38	0	37	38	15	21	9	6	0	11	5	4	3	39	16	69	20	0	60	0	0	15	3	64	0	23	17	29	80	10	0	0	0	2	0	20	3	10	45	0	0	10	0	10	8	21	0	0	0	0	23	0	0	0					
6	Число погашенных избирательных бюллетеней	20640	621	522	599	512	484	712	336	476	898	342	141	670	811	1157	294	395	581	533	755	828	557	273	615	271	247	261	202	535	15	36	0	60	18	9	20	16	379	79	32	229	1256	406	81	99	201	40	69	26	23	23	5	21	22	14	90	26	69	8	14	76	18	10	76	13	204	39	78	202	122	248	333	11	10	76	16	83	21	12	75	178	45	0	37	29	35	8	202	8	20	23	38	118	59	10	93					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2178	29	18	119	21	44	43	148	12	28	11	11	60	46	66	37	33	17	42	29	46	37	77	74	49	20	36	20	31	6	10	0	0	15	11	15	0	48	27	0	19	39	38	0	37	38	15	21	9	6	0	11	5	4	3	39	16	69	20	0	60	0	0	15	3	64	0	23	17	29	80	10	0	0	0	2	0	20	3	10	45	0	0	10	0	10	8	21	0	0	0	0	23	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30734	1150	460	482	466	372	999	516	412	1124	447	348	670	1043	1277	269	572	702	623	715	726	506	450	803	480	333	303	478	734	49	154	130	140	87	80	80	74	573	494	188	302	1005	656	219	214	361	95	100	80	96	57	264	114	79	43	321	128	132	37	66	264	142	80	189	134	232	81	149	131	299	472	557	84	70	114	72	267	139	90	105	577	245	55	143	171	75	64	527	202	105	142	102	209	271	140	157					
9	Число недействительных избирательных бюллетеней	418	9	8	2	5	0	17	7	2	12	16	5	7	14	10	1	11	4	9	9	7	7	4	11	8	3	7	9	16	0	2	0	1	1	0	0	0	12	3	8	6	24	4	1	1	9	2	3	0	2	1	4	0	0	0	5	2	2	0	0	6	2	2	4	0	3	5	3	5	3	11	5	0	0	4	2	2	2	0	2	8	0	0	1	4	4	2	9	0	0	0	4	1	6	3	2					
10	Число действительных избирательных бюллетеней	32494	1170	470	599	482	416	1025	657	422	1140	442	354	723	1075	1333	305	594	715	656	735	765	536	523	866	521	350	332	489	749	55	162	130	139	101	91	95	74	609	518	180	315	1020	690	218	250	390	108	118	89	100	56	271	119	83	46	355	142	199	57	66	318	140	78	200	137	293	76	169	143	325	541	562	84	70	110	72	265	157	93	113	614	245	55	152	167	81	70	539	202	105	142	98	231	265	137	155					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	751	25	10	15	10	15	20	15	10	20	10	10	15	20	25	10	20	15	15	15	20	15	10	15	10	10	10	10	15	2	4	3	4	3	2	3	2	10	8	5	8	20	12	5	5	10	3	4	3	3	2	5	3	3	2	6	4	5	2	2	18	4	2	9	3	8	3	5	5	10	10	10	2	2	4	2	6	9	3	3	10	5	2	5	5	3	2	10	5	3	4	3	5	3	2	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	335	20	6	7	7	15	16	13	6	18	7	0	12	12	22	4	16	13	6	12	7	1	3	7	1	0	1	2	9	0	0	0	1	1	0	0	0	3	1	2	1	2	1	3	2	9	1	0	0	0	0	0	1	0	0	1	0	1	0	0	16	0	0	6	0	0	0	0	0	6	7	4	0	0	4	0	0	9	3	0	2	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	254	3	7	0	7	4	13	8	5	8	0	1	16	10	25	1	5	2	2	2	2	3	3	0	8	0	3	0	3	0	3	1	1	5	2	2	2	5	3	0	3	3	6	0	2	2	2	10	1	1	1	1	2	2	2	2	1	0	1	0	2	0	1	4	0	0	1	0	1	1	3	2	2	1	2	1	0	5	1	1	6	1	1	1	0	1	1	2	2	0	0	1	2	0	1	0					
