Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Арзамасская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №57	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100					
1	"Число избирателей, внесенных в списки избирателей"	35806	1219	125	122	367	495	639	85	197	2071	1731	368	1148	505	1245	240	220	1381	1823	2250	1184	442	396	481	89	139	207	1935	643	1175	307	301	1124	816	96	578	484	576	90	312	277	96	325	383	393	261	155	113	473	119	721	1172	626	946	498	1431	99	112					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	33135	1000	310	110	350	470	610	75	190	1900	1600	350	1100	490	1200	230	200	1300	1600	2000	1000	400	350	450	80	120	200	1800	600	1000	270	270	1000	800	90	500	450	550	110	300	250	90	300	350	350	250	150	100	450	100	690	1100	600	850	480	1400	90	110					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24550	873	96	74	287	261	539	33	147	1502	1321	184	779	387	717	157	157	982	1215	1429	830	282	289	271	34	72	116	1414	509	769	230	204	738	582	60	412	359	501	90	228	200	74	242	260	277	189	102	54	286	81	492	720	438	523	322	1035	51	74					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2808	79	8	24	20	171	71	39	30	59	30	59	159	56	136	52	23	15	69	64	12	44	60	97	37	26	20	76	40	82	22	56	63	76	22	53	36	32	0	23	33	9	19	32	42	29	30	37	56	13	77	41	21	115	84	86	28	15					
6	Число погашенных избирательных бюллетеней	5777	48	206	12	43	38	0	3	13	339	249	107	162	47	347	21	20	303	316	507	158	74	1	82	9	22	64	310	51	149	18	10	199	142	8	35	55	17	20	49	17	7	39	58	31	32	18	9	108	6	121	339	141	212	74	279	11	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2808	79	8	24	20	171	71	39	30	59	30	59	159	56	136	52	23	15	69	64	12	44	60	97	37	26	20	76	40	82	22	56	63	76	22	53	36	32	0	23	33	9	19	32	42	29	30	37	56	13	77	41	21	115	84	86	28	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24549	873	96	74	287	261	539	33	147	1502	1321	184	779	387	717	157	157	982	1215	1429	830	282	289	271	34	72	116	1414	508	769	230	204	738	582	60	412	359	501	90	228	200	74	242	260	277	189	102	54	286	81	492	720	438	523	322	1035	51	74					
9	Число недействительных избирательных бюллетеней	329	19	3	1	4	3	8	0	2	17	29	3	3	2	9	0	0	15	22	25	8	6	1	3	0	2	0	28	5	13	3	0	7	6	0	4	3	0	2	5	0	2	5	8	4	2	2	0	0	2	6	11	2	8	5	8	3	0					
10	Число действительных избирательных бюллетеней	27028	933	101	97	303	429	602	72	175	1544	1322	240	935	441	844	209	180	982	1262	1468	834	320	348	365	71	96	136	1462	543	838	249	260	794	652	82	461	392	533	88	246	233	81	256	284	315	216	130	91	342	92	563	750	457	630	401	1113	76	89					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	598	17	5	5	5	5	10	5	5	23	35	10	20	5	20	5	5	25	15	25	15	5	10	10	5	5	5	20	10	15	5	5	24	10	5	10	10	15	5	10	5	5	10	10	10	5	5	5	5	5	15	14	10	20	5	15	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	402	14	0	0	3	5	8	0	2	23	32	5	14	1	20	0	1	25	14	23	15	5	1	2	0	0	3	20	10	8	1	4	19	10	0	6	2	9	0	6	1	0	10	10	3	3	0	1	5	0	14	10	8	8	2	15	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	966	68	7	5	3	10	19	0	1	23	58	2	20	7	9	6	42	20	148	113	28	10	5	17	1	1	3	33	16	10	32	13	27	14	1	34	8	4	3	0	8	3	14	5	16	9	4	2	7	0	26	12	8	10	4	13	4	0					
14	Число погашенных неиспользованных открепительных удостоверений	195	3	5	4	2	0	2	5	3	0	3	5	6	4	0	5	4	0	1	2	0	0	9	8	5	5	2	0	0	7	4	1	5	0	5	4	8	6	5	4	4	5	0	0	7	2	5	4	0	5	1	4	2	12	3	0	5	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	1.Политическая партия «Аграрная партия России»	524	27	0	4	1	3	6	3	8	30	18	5	10	5	28	6	1	25	18	30	22	3	4	1	0	0	1	36	9	40	1	2	17	10	1	12	6	6	1	5	5	0	4	5	8	6	0	0	7	2	9	18	6	16	6	27	0	0					
		1.92%	2.84%	0.00%	4.08%	0.33%	0.69%	0.98%	4.17%	4.52%	1.92%	1.33%	2.06%	1.07%	1.13%	3.28%	2.87%	0.56%	2.51%	1.40%	2.01%	2.61%	0.92%	1.15%	0.27%	0.00%	0.00%	0.74%	2.42%	1.64%	4.70%	0.40%	0.77%	2.12%	1.52%	1.22%	2.58%	1.52%	1.13%	1.11%	1.99%	2.15%	0.00%	1.53%	1.71%	2.51%	2.75%	0.00%	0.00%	2.05%	2.13%	1.58%	2.37%	1.31%	2.51%	1.48%	2.41%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	94	7	0	0	0	1	2	0	1	7	3	1	0	0	3	0	0	4	2	6	2	0	0	1	0	0	0	2	3	2	0	1	4	9	0	1	2	0	0	2	0	0	2	2	1	0	0	1	0	1	3	8	2	5	0	2	0	1					
		0.34%	0.74%	0.00%	0.00%	0.00%	0.23%	0.33%	0.00%	0.56%	0.45%	0.22%	0.41%	0.00%	0.00%	0.35%	0.00%	0.00%	0.40%	0.16%	0.40%	0.24%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.13%	0.55%	0.24%	0.00%	0.38%	0.50%	1.37%	0.00%	0.22%	0.51%	0.00%	0.00%	0.80%	0.00%	0.00%	0.77%	0.68%	0.31%	0.00%	0.00%	1.10%	0.00%	1.06%	0.53%	1.05%	0.44%	0.78%	0.00%	0.18%	0.00%	1.12%					
20	3.Политическая партия «Демократическая партия России»	27	2	2	0	0	1	1	0	0	0	0	1	2	0	0	1	0	1	3	1	2	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0					
