Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Гордеевская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299					
1	"Число избирателей, внесенных в список"	9894	2174	81	225	222	957	302	88	321	158	215	203	446	264	71	1234	365	209	161	379	299	384	106	175	211	279	365					
2	Число полученных избирательных бюллетеней	9970	2225	83	230	225	960	303	87	324	161	215	204	444	258	71	1238	368	208	158	378	300	398	105	174	212	277	364					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8088	1411	78	185	188	850	204	65	277	149	203	194	356	254	70	1066	328	196	122	323	237	299	93	154	192	245	349					
5	"Число избирательных бюллетеней, выданных вне помещения"	462	21	0	34	28	55	52	21	29	6	7	8	44	0	0	17	0	6	32	0	29	43	8	4	0	18	0					
6	Число погашенных избирательных бюллетеней	1420	793	5	11	9	55	47	1	18	6	5	2	44	4	1	155	40	6	4	55	34	56	4	16	20	14	15					
7	Число избирательных бюллетеней в переносных ящиках	462	21	0	34	28	55	52	21	29	6	7	8	44	0	0	17	0	6	32	0	29	43	8	4	0	18	0					
8	Число бюллетеней в стационарных ящиках для голосования	8088	1411	78	185	188	850	204	65	277	149	203	194	356	254	70	1066	328	196	122	323	237	299	93	154	192	245	349					
9	Число недействительных избирательных бюллетеней	80	19	0	2	3	6	0	4	3	1	3	1	4	0	0	15	0	0	0	0	4	7	1	4	0	3	0					
10	Число действительных избирательных бюллетеней	8470	1413	78	217	213	899	256	82	303	154	207	201	396	254	70	1068	328	202	154	323	262	335	100	154	192	260	349					
11	Число полученных открепительных  удостоверений	300	40	10	10	10	15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10					
12	Число выданных открепительных удостоверений	67	40	0	1	0	0	2	1	1	0	0	1	2	0	0	2	1	0	0	0	0	15	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	8	1	1	2	3	1	3	2	1	1	1	2	5	2	5	0	2	1	3	0	2	2	2	1	2	1					
