Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Королевская городская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993					
1	"Число избирателей, внесенных в список"	133028	1599	1641	2077	2074	1844	1889	1835	2119	2388	1088	1542	1688	1771	1352	1475	2047	1597	2416	2505	2465	1879	2309	1720	1998	2083	1983	1848	1958	1981	2465	2791	1059	2045	1913	1962	2782	2261	2388	1603	2466	2409	2105	1556	2566	2335	2403	2638	2532	2671	1896	2680	2454	2487	1150	267	377	113	1582	1853	1545	1493	780	436	2436	1820	1973	892	269	153	1650	2244	2357					
2	Число полученных избирательных бюллетеней	129088	1500	1600	2000	2000	1800	1700	1800	2000	2300	1000	1500	1600	1700	1300	1400	2000	1500	2300	2500	2400	1800	2300	1700	1900	2000	1900	1800	1900	2000	2400	2800	1000	2000	1900	1900	2700	2200	2400	1500	2400	2400	2100	1500	2500	2300	2400	2600	2500	2600	1800	2700	2300	2400	1100	230	322	116	1600	1800	1500	1500	730	400	2300	1800	1900	800	240	150	1600	2200	2300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	72417	755	933	1102	1119	768	1132	992	1195	1234	474	902	920	970	721	775	1141	871	1345	1418	1401	1122	1265	993	1153	1155	1199	1054	1092	1116	1312	1492	588	1142	1039	1078	1522	1143	1290	853	1307	1430	1208	860	1520	1314	1329	1587	1372	1546	1011	1529	1336	1416	602	163	142	70	849	952	634	776	379	176	1258	829	980	337	108	121	886	1180	1434					
5	"Число избирательных бюллетеней, выданных вне помещения"	1628	9	29	37	29	17	18	17	22	32	2	13	16	24	10	18	15	33	21	19	31	20	18	15	17	41	13	4	9	19	30	23	7	18	11	5	13	13	34	36	10	10	13	7	8	16	35	24	9	11	3	5	8	1	27	6	154	40	8	4	25	34	29	56	56	19	26	81	36	6	55	22	26					
6	Число погашенных избирательных бюллетеней	55033	736	638	861	852	1015	550	791	783	1034	524	585	664	706	569	607	844	586	934	1063	968	658	1017	692	730	804	688	742	799	865	1058	1285	405	840	850	817	1165	1044	1076	611	1083	960	879	633	972	970	1036	989	1119	1043	786	1166	956	983	471	61	26	6	743	844	841	690	322	168	986	952	894	382	96	23	659	998	840					
7	Число избирательных бюллетеней в переносных ящиках	1628	9	29	37	29	17	18	17	22	32	2	13	16	24	10	18	15	33	21	19	31	20	18	15	17	41	13	4	9	19	30	23	7	18	11	5	13	13	34	36	10	10	13	7	8	16	35	24	9	11	3	5	8	1	27	6	154	40	8	4	25	34	29	56	56	19	26	81	36	6	55	22	26					
8	Число бюллетеней в стационарных ящиках для голосования	72328	753	932	1102	1116	767	1132	989	1193	1234	474	902	918	968	720	774	1141	871	1345	1406	1398	1122	1262	983	1151	1154	1196	1052	1090	1115	1309	1492	588	1139	1039	1078	1522	1143	1290	853	1307	1430	1207	860	1514	1311	1328	1585	1372	1545	1011	1526	1336	1416	601	163	142	70	849	952	634	776	379	176	1258	829	978	336	108	121	882	1179	1434					
9	Число недействительных избирательных бюллетеней	574	7	5	12	8	5	4	8	4	6	6	4	2	10	6	4	12	13	5	12	14	6	9	7	5	10	12	6	2	8	10	19	9	9	6	9	16	21	7	18	3	13	10	6	8	7	11	9	5	15	2	15	12	9	4	3	4	1	6	7	1	2	4	1	15	15	9	2	0	1	5	9	24					
10	Число действительных избирательных бюллетеней	73382	755	956	1127	1137	779	1146	998	1211	1260	470	911	932	982	724	788	1144	891	1361	1413	1415	1136	1271	991	1163	1185	1197	1050	1097	1126	1329	1496	586	1148	1044	1074	1519	1135	1317	871	1314	1427	1210	861	1514	1320	1352	1600	1376	1541	1012	1516	1332	1408	624	166	292	109	851	949	658	808	404	231	1299	833	995	415	144	126	932	1192	1436					
11	Число полученных открепительных  удостоверений	3120	40	40	50	50	50	50	50	50	50	40	40	40	50	40	40	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	30	50	50	50	50	50	50	40	50	50	50	40	50	50	50	50	50	50	50	50	50	50	30	10	0	0	40	40	40	40	30	10	50	50	50	30	10	10	40	50	50					
12	Число выданных открепительных удостоверений	1286	13	13	26	23	18	24	19	21	29	14	15	11	17	15	12	25	13	32	19	30	27	20	17	27	18	36	26	24	32	26	18	14	16	19	19	30	15	34	10	32	21	20	15	30	14	29	30	16	24	13	20	16	33	4	4	0	0	22	20	4	7	5	1	16	6	11	4	0	0	10	19	23					
