Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
"Наименование Избирательной комиссии:    Ижевск, Устиновская"																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	104908	1647	1978	2371	2124	2179	2345	1972	1237	2619	2439	2517	2905	208	1706	2607	2549	2023	1574	2209	2308	2723	2843	2471	1706	1918	1153	2742	1745	1940	2497	100	52	1498	1908	2079	1043	1619	1862	1960	2162	2683	2124	2919	2915	2667	2074	2218	1638	1540	1253	103	2156	3080									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	95300	1500	1800	2200	1900	2000	2100	1800	1100	2400	2200	2300	2600	200	1600	2400	2300	1800	1400	2000	2100	2500	2600	2300	1500	1700	1000	2500	1600	1800	2300	200	100	1300	1700	1900	900	1500	1700	1800	2000	2400	1900	2700	2500	2400	1900	2000	1500	1400	1100	200	2000	2700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	42436	673	729	825	893	722	968	774	358	1031	1024	975	999	75	657	985	1123	705	605	854	979	1167	1166	1084	664	708	398	1125	746	894	1030	67	10	621	842	1012	506	711	804	881	977	1120	1018	1164	1148	1203	931	914	679	563	503	95	674	1057									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	361	2	3	0	3	7	3	8	9	8	7	17	11	5	1	4	7	6	0	12	3	10	8	10	5	9	8	20	7	6	7	32	41	2	6	5	0	4	5	6	4	3	2	5	2	5	3	7	5	1	5	8	1	3									
6	Число погашенных избирательных бюллетеней	52503	825	1068	1375	1004	1271	1129	1018	733	1361	1169	1308	1590	120	942	1411	1170	1089	795	1134	1118	1323	1426	1206	831	983	594	1355	847	900	1263	101	49	677	852	883	394	785	891	913	1019	1277	880	1531	1350	1192	966	1079	816	836	592	97	1325	1640									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	361	2	3	0	3	7	3	8	9	8	7	17	11	5	1	4	7	6	0	12	3	10	8	10	5	9	8	20	7	6	7	32	41	2	6	5	0	4	5	6	4	3	2	5	2	5	3	7	5	1	5	8	1	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	42424	673	727	823	893	722	968	774	358	1031	1024	975	999	75	657	985	1123	705	605	854	979	1167	1165	1083	664	708	398	1125	746	894	1030	67	10	621	842	1012	506	711	804	878	977	1120	1018	1164	1148	1202	931	914	679	563	503	95	673	1056									
9	Число недействительных избирательных бюллетеней	802	14	11	13	24	16	14	8	9	14	31	14	28	3	13	19	22	12	9	16	12	23	19	16	10	13	9	27	14	24	20	1	0	10	8	22	6	15	23	11	26	34	20	19	8	23	15	19	9	9	8	0	24	15									
10	Число действительных избирательных бюллетеней	41983	661	719	810	872	713	957	774	358	1025	1000	978	982	77	645	970	1108	699	596	850	970	1154	1154	1077	659	704	397	1118	739	876	1017	98	51	613	840	995	500	700	786	873	955	1089	1000	1150	1142	1184	919	902	675	555	500	103	650	1044									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1570	25	30	30	40	30	30	30	10	30	30	40	35	5	25	45	30	30	25	30	30	45	45	40	25	30	25	50	25	30	30	0	0	25	30	30	25	25	25	30	30	35	30	35	35	45	45	45	25	25	25	0	30	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1113	18	26	21	25	17	25	25	6	18	21	30	25	1	23	38	23	16	13	24	22	36	35	28	13	15	11	37	22	18	22	0	0	15	22	19	16	21	22	22	20	32	20	32	21	35	23	35	22	12	12	0	24	34									
