Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Великоустюгская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162					
1	"Число избирателей, внесенных в список избирателей"	48425	1336	1161	2616	1558	2179	1445	1729	1906	1202	1429	1548	1162	1696	1456	2075	736	114	1079	1528	1450	1616	1426	271	111	334	202	823	419	1096	424	243	274	358	1363	366	290	107	164	87	1336	1022	273	193	602	305	419	894	235	1118	642	427	682	613	285					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42000	1000	1000	2000	1500	2000	1100	1500	1500	1000	1000	1500	1000	1500	1100	2000	600	200	1000	1500	1100	1500	1100	250	100	300	200	800	400	1000	400	200	250	350	1000	300	250	100	150	80	1000	1000	250	170	600	300	400	800	200	1000	600	400	600	600	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21996	617	565	1344	806	1101	768	778	904	477	658	687	587	832	626	915	293	63	431	579	651	773	683	134	50	139	107	400	244	456	234	111	126	191	544	144	112	54	81	45	483	395	102	78	271	133	193	381	106	474	249	206	226	250	139					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3073	59	28	42	54	77	80	34	45	47	55	58	20	74	79	70	32	43	81	71	83	77	83	33	13	85	21	42	21	105	27	33	43	40	94	97	48	9	14	7	135	60	37	26	63	25	97	98	41	177	119	43	56	45	27					
6	Число погашенных избирательных бюллетеней	16931	324	407	614	640	822	252	688	551	476	287	755	393	594	395	1015	275	94	488	850	366	650	334	83	37	76	72	358	135	439	139	56	81	119	362	59	90	37	55	28	382	545	111	66	266	142	110	321	53	349	232	151	318	305	84					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3073	59	28	42	54	77	80	34	45	47	55	58	20	74	79	70	32	43	81	71	83	77	83	33	13	85	21	42	21	105	27	33	43	40	94	97	48	9	14	7	135	60	37	26	63	25	97	98	41	177	119	43	56	45	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21993	617	565	1344	806	1101	768	778	904	477	658	687	587	830	626	915	293	63	431	579	651	773	683	134	50	139	107	400	244	456	234	111	126	191	544	144	112	54	81	45	483	395	102	78	271	133	192	381	106	474	249	206	226	250	139					
9	Число недействительных избирательных бюллетеней	436	8	11	24	15	13	15	7	6	11	8	8	12	13	11	16	4	5	11	15	15	18	28	2	0	2	3	8	16	5	4	1	3	6	18	6	3	1	0	2	9	9	1	0	9	8	0	7	1	12	9	1	0	12	4					
10	Число действительных избирательных бюллетеней	24630	668	582	1362	845	1165	833	805	943	513	705	737	595	891	694	969	321	101	501	635	719	832	738	165	63	222	125	434	249	556	257	143	166	225	620	235	157	62	95	50	609	446	138	104	325	150	289	472	146	639	359	248	282	283	162					
