Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																												
Дата голосования: 02.12.2007																																																																												
																																																																												
"Наименование Избирательной комиссии:    Волгоград, Красноармейская"																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409					
1	"Число избирателей, внесенных в списки избирателей"	137751	375	136	1366	2407	2151	2286	793	2451	2099	1948	2008	2278	2118	2453	2533	2571	2716	2418	2647	2548	2729	2648	2218	2276	2672	2767	2847	2301	308	807	2067	2365	2077	2176	2088	2096	1918	2337	1549	1548	2557	1825	1592	1927	2437	2388	2402	2779	2472	2611	2398	2614	2800	2645	2535	2735	2211	2426	2246	2207	1983	2157	854	1463	400	293	104	145	449					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	132250	350	100	1300	2300	2000	2300	750	2300	1950	1900	1900	2100	2000	2400	2500	2500	2600	2300	2600	2500	2500	2500	2200	2200	2600	2700	2700	2200	300	800	2000	2300	2000	2000	2000	2000	1900	2300	1500	1500	2500	1800	1500	1800	2400	2300	2400	2500	2400	2500	2300	2500	2700	2500	2500	2600	2000	2300	2200	2100	1900	2100	800	1400	350	300	150	150	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	67899	174	94	575	867	877	1039	380	1048	884	907	961	1095	1106	1231	1337	1335	1420	1293	1347	1303	1387	1506	1253	1233	1390	1463	1580	1071	136	378	1176	1229	1021	1057	988	1200	1061	1249	839	787	1236	790	631	813	1351	1336	1245	1575	1136	1222	1073	1169	1237	1300	1248	1039	1020	1153	898	1115	1009	1098	274	699	237	154	43	72	449					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2363	7	0	23	137	31	44	4	86	82	31	56	37	24	30	25	22	15	17	19	44	18	35	22	25	31	23	19	50	27	27	31	37	45	21	28	27	28	24	25	29	32	47	53	25	21	21	44	35	57	23	40	32	29	46	20	12	35	9	22	14	21	27	77	8	84	97	53	73	0					
6	Число погашенных избирательных бюллетеней	61988	169	6	702	1296	1092	1217	366	1166	984	962	883	968	870	1139	1138	1143	1165	990	1234	1153	1095	959	925	942	1179	1214	1101	1079	137	395	793	1034	934	922	984	773	811	1027	636	684	1232	963	816	962	1028	943	1111	890	1207	1255	1187	1299	1434	1154	1232	1549	945	1138	1280	971	870	975	449	693	29	49	54	5	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2363	7	0	23	137	31	44	4	86	82	31	56	37	24	30	25	22	15	17	19	44	18	35	22	25	31	23	19	50	27	27	31	37	45	21	28	27	28	24	25	29	32	47	53	25	21	21	44	35	57	23	40	32	29	46	20	12	35	9	22	14	21	27	77	8	84	97	53	73	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	67895	174	94	575	867	877	1039	380	1048	884	907	961	1095	1106	1231	1337	1335	1420	1293	1347	1303	1387	1506	1253	1233	1390	1463	1580	1071	136	378	1176	1229	1021	1057	988	1200	1061	1249	839	787	1236	790	631	813	1351	1336	1245	1575	1136	1222	1073	1169	1237	1298	1247	1039	1020	1153	898	1115	1009	1098	273	699	237	154	43	72	449					
9	Число недействительных избирательных бюллетеней	490	0	0	4	2	11	4	5	8	7	8	8	11	7	13	10	6	7	7	16	12	8	7	6	7	9	7	14	6	1	4	10	12	9	4	6	3	2	8	6	5	5	5	8	7	10	11	9	10	8	9	7	7	8	10	12	15	16	9	7	7	5	5	4	3	3	5	0	1	4					
10	Число действительных избирательных бюллетеней	69768	181	94	594	1002	897	1079	379	1126	959	930	1009	1121	1123	1248	1352	1351	1428	1303	1350	1335	1397	1534	1269	1251	1412	1479	1585	1115	162	401	1197	1254	1057	1074	1010	1224	1087	1265	858	811	1263	832	676	831	1362	1346	1280	1600	1185	1236	1106	1194	1258	1334	1255	1036	1039	1153	913	1122	1025	1120	346	704	318	246	96	144	445					
