Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																										
Дата голосования: 04.12.2011																																																																										
																																																																										
"Наименование Избирательной комиссии:    Волгоград, Красноармейская"																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667					
1	"Число избирателей, внесенных в список избирателей"	133700	1402	2366	2150	2454	1132	2675	2079	1965	1872	2306	1966	2402	2434	2441	2491	2239	2402	2346	2452	2496	2214	2259	2762	2712	2742	2826	322	779	1979	2212	1932	1946	2002	2248	1794	2141	1461	1354	2609	1667	1836	2246	2341	2223	2322	2328	2407	2493	2265	2472	2799	2489	2579	2727	2097	2329	2208	2135	1928	2046	982	1390	304	250	82	148	243					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	129914	1400	2300	2130	2400	800	2600	2000	1900	1800	2300	1900	2200	2400	2400	2500	2200	2400	2300	2500	2500	2200	2200	2600	2700	2700	2400	300	770	1900	2200	1900	1900	1900	2100	1700	2100	1400	1300	2600	1600	1700	2000	2300	2200	2300	2300	2200	2400	2200	2400	2800	2400	2600	2700	2000	2300	2200	2100	1900	2000	914	1300	500	300	100	150	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	59599	520	799	751	962	290	972	821	806	870	900	907	1039	1205	1158	1240	1193	1217	1192	1221	1320	1159	1140	1262	1325	1346	1025	130	318	1084	1058	865	833	830	1159	941	1062	769	623	1224	648	619	796	1209	1154	1072	1171	977	956	850	925	1126	1170	1152	1072	904	1059	838	963	883	917	270	630	157	150	52	100	243					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3329	69	117	17	37	412	95	33	32	35	30	18	156	32	13	14	22	23	28	47	44	19	28	129	16	22	339	15	31	35	52	26	23	20	156	31	14	27	19	31	22	44	148	19	24	37	26	57	19	22	28	23	24	21	5	34	23	18	15	14	13	92	41	120	66	23	44	0					
6	Число погашенных избирательных бюллетеней	66986	811	1384	1362	1401	98	1533	1146	1062	895	1370	975	1005	1163	1229	1246	985	1160	1080	1232	1136	1022	1032	1209	1359	1332	1036	155	421	781	1090	1009	1044	1050	785	728	1024	604	658	1345	930	1037	1056	1072	1022	1191	1103	1166	1425	1328	1447	1651	1206	1427	1623	1062	1218	1344	1122	1003	1070	552	629	223	84	25	6	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3329	69	117	17	37	412	95	33	32	35	30	18	156	32	13	14	22	23	28	47	44	19	28	129	16	22	339	15	31	35	52	26	23	20	156	31	14	27	19	31	22	44	148	19	24	37	26	57	19	22	28	23	24	21	5	34	23	18	15	14	13	92	41	120	66	23	44	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59593	520	799	751	962	290	972	821	806	870	900	907	1039	1205	1158	1240	1193	1217	1192	1221	1320	1159	1140	1259	1325	1346	1025	130	318	1084	1058	865	833	830	1159	941	1062	769	623	1224	648	619	796	1208	1154	1072	1171	977	956	850	923	1126	1170	1152	1072	904	1059	838	963	883	917	270	630	157	150	52	100	243					
9	Число недействительных избирательных бюллетеней	1194	8	9	17	18	8	14	3	6	11	12	14	26	26	33	25	24	30	23	40	42	32	30	32	43	17	34	0	5	20	20	20	11	15	20	17	12	13	8	15	18	8	17	23	29	20	20	31	16	13	20	26	16	19	16	19	21	8	15	23	29	6	15	4	3	1	2	3					
10	Число действительных избирательных бюллетеней	61728	581	907	751	981	694	1053	851	832	894	918	911	1169	1211	1138	1229	1191	1210	1197	1228	1322	1146	1138	1356	1298	1351	1330	145	344	1099	1090	871	845	835	1295	955	1064	783	634	1240	652	655	927	1204	1149	1089	1177	1003	959	859	931	1123	1178	1154	1061	919	1061	848	963	874	901	356	656	273	213	74	142	240					
