Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Беловская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15219	2371	315	286	935	97	547	251	680	1463	389	155	653	257	443	595	1161	113	416	116	278	181	283	321	151	699	767	888	408									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12165	1880	250	225	750	80	440	195	540	1170	315	130	520	210	360	480	930	90	330	100	220	150	230	250	115	560	615	710	320									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6706	944	148	132	358	59	272	108	363	593	151	72	269	114	207	223	461	43	199	62	121	94	152	149	79	283	461	379	210									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	723	66	11	34	58	8	53	53	32	12	5	8	0	27	26	29	12	0	29	5	35	7	21	21	19	31	56	40	25									
6	Число погашенных избирательных бюллетеней	4736	870	91	59	334	13	115	34	145	565	159	50	251	69	127	228	457	47	102	33	64	49	57	80	17	246	98	291	85									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	723	66	11	34	58	8	53	53	32	12	5	8	0	27	26	29	12	0	29	5	35	7	21	21	19	31	56	40	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6706	944	148	132	358	59	272	108	363	593	151	72	269	114	207	223	461	43	199	62	121	94	152	149	79	283	461	379	210									
9	Число недействительных избирательных бюллетеней	185	23	5	6	20	7	0	1	7	28	0	2	12	4	4	14	11	3	8	2	3	1	1	1	0	8	0	13	1									
10	Число действительных избирательных бюллетеней	7244	987	154	160	396	60	325	160	388	577	156	78	257	137	229	238	462	40	220	65	153	100	172	169	98	306	517	406	234									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	137	15	3	3	10	3	5	3	5	10	3	3	4	3	5	5	10	3	3	6	3	3	3	3	3	6	6	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	59	6	2	0	4	0	2	0	1	5	3	3	2	0	0	0	8	0	1	6	0	0	1	0	0	5	2	5	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	65	7	5	2	3	1	6	5	1	2	0	2	0	0	0	0	12	0	0	0	2	0	3	5	6	0	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	78	9	1	3	6	3	3	3	4	5	0	0	2	3	5	5	2	3	2	0	3	3	2	3	3	1	4	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	6	0	0	0	1	1	1	1	9	2	4	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	75	15	2	4	7	0	3	0	5	10	3	0	1	0	1	0	2	0	2	0	1	1	0	5	0	2	5	5	1									
		1.01%	1.49%	1.26%	2.41%	1.68%	0.00%	0.92%	0.00%	1.27%	1.65%	1.92%	0.00%	0.37%	0.00%	0.43%	0.00%	0.42%	0.00%	0.88%	0.00%	0.64%	0.99%	0.00%	2.94%	0.00%	0.64%	0.97%	1.19%	0.43%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	263	50	8	4	14	1	10	5	10	22	3	3	12	2	10	12	16	4	9	0	5	7	4	8	2	10	16	12	4									
		3.54%	4.95%	5.03%	2.41%	3.37%	1.49%	3.08%	3.11%	2.53%	3.64%	1.92%	3.75%	4.46%	1.42%	4.29%	4.76%	3.38%	9.30%	3.95%	0.00%	3.21%	6.93%	2.31%	4.71%	2.04%	3.18%	3.09%	2.86%	1.70%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	79	11	0	5	2	1	0	8	3	8	2	0	2	1	1	2	6	1	4	5	0	2	1	2	0	1	5	3	3									
		1.06%	1.09%	0.00%	3.01%	0.48%	1.49%	0.00%	4.97%	0.76%	1.32%	1.28%	0.00%	0.74%	0.71%	0.43%	0.79%	1.27%	2.33%	1.75%	7.46%	0.00%	1.98%	0.58%	1.18%	0.00%	0.32%	0.97%	0.72%	1.28%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4617	548	85	92	245	37	221	101	258	376	111	60	135	92	145	167	253	26	147	37	108	61	121	109	79	210	361	249	183									
		62.15%	54.26%	53.46%	55.42%	58.89%	55.22%	68.00%	62.73%	65.32%	62.15%	71.15%	75.00%	50.19%	65.25%	62.23%	66.27%	53.49%	60.47%	64.47%	55.22%	69.23%	60.40%	69.94%	64.12%	80.61%	66.88%	69.83%	59.43%	77.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	25	3	1	2	0	0	3	0	2	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	2	2	2	1									
		0.34%	0.30%	0.63%	1.20%	0.00%	0.00%	0.92%	0.00%	0.51%	0.17%	0.00%	0.00%	0.37%	0.00%	0.43%	0.00%	0.21%	0.00%	0.00%	1.49%	0.64%	0.99%	0.00%	0.00%	0.00%	0.64%	0.39%	0.48%	0.43%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	0	0	0	1	0	0	0	1	2	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	1									
		0.15%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.25%	0.33%	0.00%	0.00%	0.37%	0.00%	0.00%	0.79%	0.21%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.43%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1086	169	30	25	59	13	34	17	70	92	12	10	58	18	30	19	96	3	23	7	25	17	23	29	8	39	77	64	19									
		14.62%	16.73%	18.87%	15.06%	14.18%	19.40%	10.46%	10.56%	17.72%	15.21%	7.69%	12.50%	21.56%	12.77%	12.88%	7.54%	20.30%	6.98%	10.09%	10.45%	16.03%	16.83%	13.29%	17.06%	8.16%	12.42%	14.89%	15.27%	8.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	6	1	0	0	0	1	0	2	2	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0									
		0.24%	0.59%	0.63%	0.00%	0.00%	0.00%	0.31%	0.00%	0.51%	0.33%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.32%	0.19%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	43	6	2	0	4	1	1	0	3	5	1	0	1	0	1	1	0	0	2	0	1	1	0	0	0	4	3	6	0									
		0.58%	0.59%	1.26%	0.00%	0.96%	1.49%	0.31%	0.00%	0.76%	0.83%	0.64%	0.00%	0.37%	0.00%	0.43%	0.40%	0.00%	0.00%	0.88%	0.00%	0.64%	0.99%	0.00%	0.00%	0.00%	1.27%	0.58%	1.43%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1									
		0.08%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.21%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	4	4	0	2	0	1	1	1	1	2	0	1	0	1	1	2	0	0	0	1	0	0	0	0	0	4	0	0									
		0.35%	0.40%	2.52%	0.00%	0.48%	0.00%	0.31%	0.62%	0.25%	0.17%	1.28%	0.00%	0.37%	0.00%	0.43%	0.40%	0.42%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	789	143	17	22	49	7	43	22	26	47	20	4	35	13	32	28	63	6	26	15	9	7	19	14	7	24	32	49	10									
		10.62%	14.16%	10.69%	13.25%	11.78%	10.45%	13.23%	13.66%	6.58%	7.77%	12.82%	5.00%	13.01%	9.22%	13.73%	11.11%	13.32%	13.95%	11.40%	22.39%	5.77%	6.93%	10.98%	8.24%	7.14%	7.64%	6.19%	11.69%	4.26%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	46	6	0	0	2	0	1	3	1	3	1	0	3	0	1	2	6	0	4	0	0	1	1	2	1	3	0	2	3									
		0.62%	0.59%	0.00%	0.00%	0.48%	0.00%	0.31%	1.86%	0.25%	0.50%	0.64%	0.00%	1.12%	0.00%	0.43%	0.79%	1.27%	0.00%	1.75%	0.00%	0.00%	0.99%	0.58%	1.18%	1.02%	0.96%	0.00%	0.48%	1.28%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	160	25	4	6	11	0	7	2	6	8	1	1	5	11	6	4	13	0	1	0	2	2	2	0	1	9	11	14	8									
		2.15%	2.48%	2.52%	3.61%	2.64%	0.00%	2.15%	1.24%	1.52%	1.32%	0.64%	1.25%	1.86%	7.80%	2.58%	1.59%	2.75%	0.00%	0.44%	0.00%	1.28%	1.98%	1.16%	0.00%	1.02%	2.87%	2.13%	3.34%	3.40%									
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
