Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
"Наименование Избирательной комиссии:    Нижний Тагил, Дзержинская"																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №687	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	93907	925	1835	1807	1473	2023	1901	1707	1626	2015	2009	1910	1759	2215	2111	2158	1917	2432	2446	1720	2291	2089	1995	2174	2294	2204	2152	1970	1929	2372	2613	2147	1851	2252	1671	2285	1709	2044	1745	1878	2216	1910	2145	1665	2154	1740	1824	2599									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	92900	900	1800	1800	1500	2000	2000	1700	1650	2000	2000	1950	1800	2250	2150	2100	1900	2450	2450	1750	2300	1900	2050	2100	2300	2100	2100	1900	1900	2300	2600	2100	1800	2200	1600	2200	1700	2000	1700	1800	2200	1900	2100	1600	2200	1700	1800	2600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41642	376	905	814	692	707	960	806	742	885	931	743	862	1081	1009	980	790	1142	1037	785	913	920	991	965	1023	948	947	831	808	1088	1145	1048	944	1171	698	974	833	760	548	938	1120	915	1020	495	846	682	677	1147									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	855	14	3	15	23	17	13	12	22	12	10	11	6	7	10	16	12	17	16	16	34	145	9	23	21	13	20	16	11	13	27	27	20	15	5	32	11	17	6	13	17	22	9	37	11	14	3	12									
6	Число погашенных избирательных бюллетеней	50401	510	892	971	785	1276	1027	882	886	1103	1059	1196	932	1162	1131	1104	1098	1293	1397	949	1353	835	1050	1112	1256	1139	1133	1053	1081	1199	1424	1025	836	1014	897	1194	856	1223	1146	849	1063	963	1071	1068	1343	1004	1120	1441									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	838	14	3	15	19	17	13	12	22	12	10	11	6	7	10	16	12	17	16	16	34	132	9	23	21	13	20	16	11	13	27	27	20	15	5	32	11	17	6	13	17	22	9	37	11	14	3	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41578	376	905	806	692	707	960	806	741	884	929	732	862	1081	1009	978	790	1141	1037	785	911	919	982	965	1023	933	947	831	808	1088	1143	1048	944	1171	695	972	831	759	548	938	1120	915	1020	495	846	681	677	1147									
9	Число недействительных избирательных бюллетеней	1537	11	32	19	27	27	35	30	32	25	34	34	27	48	39	25	29	33	46	34	30	30	27	55	54	32	39	43	32	28	40	36	22	41	27	31	28	19	21	34	33	50	45	21	35	34	24	39									
10	Число действительных избирательных бюллетеней	40879	379	876	802	684	697	938	788	731	871	905	709	841	1040	980	969	773	1125	1007	767	915	1021	964	933	990	914	928	804	787	1073	1130	1039	942	1145	673	973	814	757	533	917	1104	887	984	511	822	661	656	1120									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2330	20	40	40	30	40	60	30	30	40	40	40	40	60	60	60	40	70	70	40	60	40	50	60	60	60	60	50	50	60	80	60	40	60	30	60	40	60	40	40	60	40	60	40	60	40	40	80									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	523	10	11	18	8	22	12	12	9	13	13	15	15	12	11	12	12	15	12	14	6	13	10	13	10	10	9	9	11	12	14	20	7	16	6	10	5	9	4	15	9	5	14	5	10	4	6	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	195	5	9	6	4	8	8	7	4	7	2	11	6	5	4	4	2	8	4	3	5	3	2	2	1	1	3	3	1	4	7	3	2	5	3	3	2	1	1	0	5	4	5	6	6	5	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	1807	10	29	22	22	18	48	18	21	27	27	25	25	48	49	48	28	55	58	26	54	27	40	47	50	50	51	41	39	48	66	40	33	44	24	50	35	51	36	25	51	35	46	35	50	36	34	65									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	0	3	1	4	4	15	1	2	5	1	0	0	1	1	0	0	2	0	1	1	0	2	1	1	2	2	1	1	0	1	2	2	2	1	1	0	0	0	1	0	2	0	2	0	3	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	511	3	11	9	5	9	18	13	6	9	14	5	10	11	17	15	8	15	14	10	9	11	8	10	8	15	8	13	15	17	15	13	12	16	5	19	10	5	1	20	14	14	9	6	8	6	8	14									
		1.20%	0.77%	1.21%	1.10%	0.70%	1.24%	1.85%	1.59%	0.79%	1.00%	1.49%	0.67%	1.15%	1.01%	1.67%	1.51%	0.99%	1.30%	1.33%	1.25%	0.95%	1.05%	0.81%	1.01%	0.77%	1.59%	0.83%	1.53%	1.83%	1.54%	1.28%	1.21%	1.24%	1.35%	0.71%	1.89%	1.19%	0.64%	0.18%	2.10%	1.23%	1.49%	0.87%	1.13%	0.93%	0.86%	1.18%	1.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1305	23	23	20	19	22	31	32	24	22	30	17	28	37	26	30	27	35	37	26	34	33	29	28	27	31	37	21	22	38	37	26	41	39	20	29	27	31	23	26	33	20	30	10	28	31	19	26									
		3.08%	5.90%	2.53%	2.44%	2.67%	3.04%	3.19%	3.91%	3.15%	2.46%	3.19%	2.29%	3.23%	3.40%	2.55%	3.02%	3.37%	3.02%	3.51%	3.25%	3.60%	3.14%	2.93%	2.83%	2.59%	3.28%	3.83%	2.48%	2.69%	3.45%	3.16%	2.42%	4.25%	3.29%	2.86%	2.89%	3.21%	3.99%	4.15%	2.73%	2.90%	2.13%	2.92%	1.88%	3.27%	4.46%	2.79%	2.24%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1116	9	24	21	24	17	17	19	12	23	28	16	17	29	26	21	22	28	30	25	23	34	24	27	25	24	25	25	22	33	29	34	34	30	18	39	22	22	21	25	25	22	22	13	17	26	22	25									
