Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Базарнокарабулакская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657					
1	"Число избирателей, внесенных в списки"	26843	1490	2605	2437	1665	1783	576	100	425	196	507	864	752	1010	127	548	960	537	365	254	1124	377	740	811	587	451	946	1610	121	535	466	374	1500					
2	"Число бюллетеней, полученных участковыми комиссиями"	27800	1525	2620	2480	1695	1650	585	100	430	200	500	865	765	1040	130	575	980	530	375	255	1855	390	750	805	575	455	975	1630	135	545	480	380	1525					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20798	1203	2004	1536	1241	1255	423	100	336	155	333	709	468	801	101	540	702	396	301	252	1034	267	599	602	412	387	906	963	106	476	403	322	1465					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1518	120	44	102	60	54	66	0	12	29	123	19	80	45	23	8	88	7	58	2	90	34	37	41	63	33	19	209	8	40	0	4	0					
6	Число погашенных бюллетеней	5484	202	572	842	394	341	96	0	82	16	44	137	217	194	6	27	190	127	16	1	731	89	114	162	100	35	50	458	21	29	77	54	60					
7	Число бюллетеней в переносных ящиках для голосования	1518	120	44	102	60	54	66	0	12	29	123	19	80	45	23	8	88	7	58	2	90	34	37	41	63	33	19	209	8	40	0	4	0					
8	Число бюллетеней в стационарных ящиках для голосования	20776	1203	2004	1536	1241	1255	423	100	336	155	333	709	468	801	101	540	681	396	301	252	1034	267	599	602	411	387	906	963	106	476	403	322	1465					
9	Число недействительных бюллетеней	412	10	16	18	72	20	3	0	58	10	0	15	6	22	8	0	0	2	0	0	3	0	6	0	11	5	7	111	3	0	4	2	0					
10	Число действительных бюллетеней	21882	1313	2032	1620	1229	1289	486	100	290	174	456	713	542	824	116	548	769	401	359	254	1121	301	630	643	463	415	918	1061	111	516	399	324	1465					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	610	30	45	45	35	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	40	15	15	15	15	15	15	25	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	310	24	39	44	27	15	5	0	3	1	10	7	3	5	1	9	10	8	1	2	19	4	10	4	2	5	15	17	0	5	5	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	305	5	15	8	2	184	2	2	3	3	3	2	3	3	3	5	2	4	1	4	5	3	6	10	1	3	4	5	1	3	5	3	2					
14	Число погашенных открепительных удостоверений	300	6	6	1	8	0	10	15	12	14	5	8	12	10	14	6	5	7	14	13	21	11	5	11	13	10	0	8	15	10	10	15	5					
15	Число открепительных удостоверений выданных ТИК	7	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	214	7	27	18	15	11	7	3	4	1	1	5	7	17	2	1	15	12	1	0	15	10	7	0	8	0	7	6	0	0	4	3	0					
		0.95%	0.52%	1.31%	1.09%	1.15%	0.84%	1.43%	3.0%	1.14%	0.54%	0.21%	0.68%	1.27%	2.00%	1.61%	0.18%	1.95%	2.97%	0.27%	0.0%	1.33%	3.32%	1.10%	0.0%	1.68%	0.0%	0.75%	0.51%	0.0%	0.0%	0.99%	0.92%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	366	5	82	58	42	22	4	0	7	2	12	2	3	11	0	1	2	2	3	0	68	1	19	10	2	0	0	4	0	0	1	3	0					
		1.64%	0.37%	4.00%	3.54%	3.22%	1.68%	0.81%	0.0%	2.01%	1.08%	2.63%	0.27%	0.54%	1.30%	0.0%	0.18%	0.26%	0.49%	0.83%	0.0%	6.04%	0.33%	2.98%	1.55%	0.42%	0.0%	0.0%	0.34%	0.0%	0.0%	0.24%	0.92%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	262	11	37	23	18	27	5	0	4	2	3	5	12	14	0	3	13	7	2	0	14	9	7	0	0	5	1	37	2	0	0	1	0					
		1.17%	0.83%	1.80%	1.40%	1.38%	2.06%	1.02%	0.0%	1.14%	1.08%	0.65%	0.68%	2.18%	1.65%	0.0%	0.54%	1.69%	1.73%	0.55%	0.0%	1.24%	2.99%	1.10%	0.0%	0.0%	1.19%	0.10%	3.15%	1.75%	0.0%	0.0%	0.30%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	203	6	23	38	31	24	2	0	0	2	6	1	5	4	0	0	3	3	0	0	14	9	8	0	4	4	2	10	0	0	4	0	0					
		0.91%	0.45%	1.12%	2.31%	2.38%	1.83%	0.40%	0.0%	0.0%	1.08%	1.31%	0.13%	0.91%	0.47%	0.0%	0.0%	0.39%	0.74%	0.0%	0.0%	1.24%	2.99%	1.25%	0.0%	0.84%	0.95%	0.21%	0.85%	0.0%	0.0%	0.99%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	82	7	14	5	6	7	4	0	0	1	1	1	0	11	0	2	2	1	0	0	5	2	0	0	0	2	4	4	0	0	1	2	0					
		0.36%	0.52%	0.68%	0.30%	0.46%	0.53%	0.81%	0.0%	0.0%	0.54%	0.21%	0.13%	0.0%	1.30%	0.0%	0.36%	0.26%	0.24%	0.0%	0.0%	0.44%	0.66%	0.0%	0.0%	0.0%	0.47%	0.43%	0.34%	0.0%	0.0%	0.24%	0.61%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	47	1	2	5	0	5	0	0	0	2	1	4	2	5	1	0	0	1	0	0	6	0	2	0	2	0	6	2	0	0	0	0	0					
