Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																					
Дата голосования: 02.12.2007																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Дмитровcкая																																																																																																					
																																																																																																					
Сводная таблица результатов выборов																																																																																																					
																																																																																																					
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300									
1	Число избирателей, внесенных в списки избирателей	120708	601	2333	2339	1119	1746	2163	2134	1914	2598	2525	480	1291	2230	2433	2223	2688	2074	1464	1721	2013	2686	1562	1828	2301	2027	1423	129	634	713	859	283	1591	783	1349	1343	367	1534	334	1376	534	389	966	1914	1196	729	2135	534	2161	782	286	904	278	1099	1299	1414	1689	168	1879	1132	1422	2059	1547	1591	964	2237	2163	1553	1551	2286	993	646	2233	1077	2858	827	326	2033	318	695	485	1232	659	550	916	197	700	1121	973	266	1531									
2	Число избирательных бюллетеней, полученных участковыми избирательными комиссиями	118148	523	2452	2412	1130	1663	1860	2092	1692	2467	2500	480	1206	2273	2410	2182	2688	2076	1276	1705	1895	2674	1520	1842	2316	1990	1350	100	532	709	860	284	1540	750	1370	1360	368	1532	283	1266	532	354	915	1910	1193	840	2150	515	2156	747	258	912	273	1095	1238	1350	1660	167	1900	1157	1410	2028	1530	1590	944	1892	2162	1484	1562	2257	1030	558	2234	856	2985	793	338	2000	300	700	492	1230	643	560	862	197	690	1180	990	261	1440									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещениях для голосования	75139	285	1425	1546	566	998	1245	1463	1429	1581	1452	150	665	1425	1393	1207	1754	1304	1052	992	978	1620	1229	1585	1301	1103	670	42	226	371	569	112	1159	595	712	742	141	680	159	992	199	255	465	946	661	465	1202	300	1135	399	157	496	174	686	888	859	1232	97	1391	719	877	1420	850	955	717	1606	1286	914	1008	1264	752	485	1739	767	2290	583	237	1341	190	540	149	1090	394	342	589	105	402	663	831	138	971									
5	Число избирательных бюллетеней, выданных избирателям вне помещений для голосования	7126	60	53	117	66	86	67	30	93	51	32	310	95	49	74	34	57	43	70	18	81	58	33	18	76	30	63	57	262	60	50	116	70	4	108	106	96	192	62	60	157	70	87	70	54	132	79	58	63	156	19	45	33	29	34	127	156	51	131	76	224	196	101	184	2	8	85	39	62	49	110	54	80	89	2	72	8	21	42	0	332	0	110	9	29	78	84	239	61	79	43									
6	Число погашенных избирательных бюллетеней	35883	178	974	749	498	579	548	599	170	835	1016	20	446	799	943	941	877	729	154	695	836	996	258	239	939	857	617	1	44	278	241	56	311	151	550	512	131	660	62	214	176	29	363	894	478	243	869	157	958	192	82	371	66	380	316	364	272	19	378	362	309	412	579	451	225	278	791	531	492	944	168	19	415	0	693	138	93	638	68	160	11	140	139	209	244	14	204	278	98	44	426									
7	Число избирательных бюллетеней в переносных ящиках для голосования	7121	60	53	117	66	86	67	30	93	51	32	305	95	49	74	34	57	43	70	18	81	58	33	18	76	30	63	57	262	60	50	116	70	4	108	106	96	192	62	60	157	70	87	70	54	132	79	58	63	156	19	45	33	29	34	127	156	51	131	76	224	196	101	184	2	8	85	39	62	49	110	54	80	89	2	72	8	21	42	0	332	0	110	9	29	78	84	239	61	79	43									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	74920	285	1372	1546	566	998	1245	1463	1429	1581	1452	150	665	1376	1393	1207	1754	1261	1052	992	978	1562	1229	1585	1301	1103	670	42	226	371	569	112	1159	595	712	742	141	680	159	992	199	255	465	942	661	465	1202	300	1135	399	157	496	174	686	888	859	1232	97	1391	719	877	1420	850	955	717	1606	1286	914	1008	1252	752	485	1739	767	2290	583	237	1341	190	540	149	1090	394	342	589	105	402	663	831	138	971									
9	Число недействительных избирательных бюллетеней	990	5	8	16	7	16	12	20	28	13	20	4	6	19	17	19	16	10	11	14	9	20	20	13	10	12	19	0	3	7	5	0	13	11	8	10	0	11	1	13	8	4	8	19	16	8	13	3	20	3	2	8	3	21	7	22	0	1	23	9	13	10	15	12	10	18	19	8	11	16	10	12	9	4	27	0	0	54	0	16	2	12	10	3	10	2	4	5	9	2	23									
10	Число действительных избирательных бюллетеней	81051	340	1417	1647	625	1068	1300	1473	1494	1619	1464	451	754	1406	1450	1222	1795	1294	1111	996	1050	1600	1242	1590	1367	1121	714	99	485	424	614	228	1216	588	812	838	237	861	220	1039	348	321	544	993	699	589	1268	355	1178	552	174	533	204	694	915	964	1388	147	1499	786	1088	1606	936	1127	709	1596	1352	945	1059	1285	852	527	1810	852	2265	655	245	1308	232	524	479	1078	494	348	608	181	482	897	883	215	991									
11	Число открепительных удостоверений, полученных участковыми избирательными комиссиями	3162	5	60	80	39	60	50	46	64	63	62	5	40	62	70	55	70	83	40	50	35	75	45	34	72	65	30	5	15	20	25	5	40	20	40	40	10	40	8	20	15	10	20	50	35	20	60	15	50	20	5	20	5	30	35	30	50	5	50	30	40	42	40	45	30	43	60	40	50	60	50	20	60	20	80	15	15	50	15	20	0	12	1	6	25	5	15	30	25	5	40									
12	Число открепительных удостоверений, выданных избирателям на избирательных участках	2891	1	59	79	35	60	49	46	64	63	62	4	39	59	57	51	70	83	40	50	35	75	45	34	72	65	24	5	11	18	25	0	40	20	21	21	3	40	7	19	10	10	18	48	29	20	55	15	50	20	5	20	5	30	35	28	50	2	49	30	31	42	24	23	30	43	48	39	50	41	50	20	55	17	80	10	15	31	15	11	0	9	1	4	25	5	15	30	15	2	30									
