Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Яшалтинская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237					
1	"Число избирателей, внесенных в список избирателей"	11947	450	220	527	178	401	799	291	235	711	515	1334	1456	993	1965	1872					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12195	460	222	553	191	401	824	294	252	733	522	1358	1498	1031	1988	1868					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6921	217	117	358	125	355	430	146	210	396	295	668	941	616	1069	978					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	586	23	0	20	10	11	42	48	6	28	44	91	35	41	78	109					
6	Число погашенных избирательных бюллетеней	4688	220	105	175	56	35	352	100	36	309	183	599	522	374	841	781					
7	Число избирательных бюллетеней в переносных ящиках для голосования	586	23	0	20	10	11	42	48	6	28	44	91	35	41	78	109					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6921	217	117	358	125	355	430	146	210	396	295	668	941	616	1069	978					
9	Число недействительных избирательных бюллетеней	145	6	2	5	1	24	11	4	2	6	11	9	17	8	20	19					
10	Число действительных избирательных бюллетеней	7362	234	115	373	134	342	461	190	214	418	328	750	959	649	1127	1068					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	325	15	10	25	10	15	20	10	20	15	25	30	30	30	40	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	215	1	4	23	10	10	10	4	20	13	5	12	25	16	32	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	2	2	8	0	12	3	3	5	4	6	4	10	3	8	7					
14	Число погашенных неиспользованных открепительных удостоверений	110	14	6	2	0	5	10	6	0	2	20	18	5	14	8	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	590	21	9	22	11	14	49	17	5	51	20	65	38	53	108	107					
		7.86%	8.75%	7.69%	5.82%	8.15%	3.83%	10.38%	8.76%	2.31%	12.03%	5.90%	8.56%	3.89%	8.07%	9.42%	9.84%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	681	16	5	21	11	14	43	15	7	46	24	71	82	62	135	129					
		9.07%	6.67%	4.27%	5.56%	8.15%	3.83%	9.11%	7.73%	3.24%	10.85%	7.08%	9.35%	8.40%	9.44%	11.77%	11.87%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	56	0	3	3	1	0	2	1	3	2	3	10	3	6	10	9					
		0.75%	0.00%	2.56%	0.79%	0.74%	0.00%	0.42%	0.52%	1.39%	0.47%	0.88%	1.32%	0.31%	0.91%	0.87%	0.83%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1471	72	20	74	13	48	108	24	32	76	77	142	66	100	336	283					
		19.60%	30.00%	17.09%	19.58%	9.63%	13.11%	22.88%	12.37%	14.81%	17.92%	22.71%	18.71%	6.76%	15.22%	29.29%	26.03%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	50	0	3	1	0	0	3	2	2	1	1	4	2	1	16	14					
		0.67%	0.00%	2.56%	0.26%	0.00%	0.00%	0.64%	1.03%	0.93%	0.24%	0.29%	0.53%	0.20%	0.15%	1.39%	1.29%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4488	123	75	252	96	266	255	130	164	242	200	454	764	427	518	522					
		59.78%	51.25%	64.10%	66.67%	71.11%	72.68%	54.03%	67.01%	75.93%	57.08%	58.99%	59.82%	78.28%	64.99%	45.16%	48.02%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	26	2	0	0	2	0	1	1	1	0	3	4	4	0	4	4					
		0.35%	0.83%	0.00%	0.00%	1.48%	0.00%	0.21%	0.52%	0.46%	0.00%	0.88%	0.53%	0.41%	0.00%	0.35%	0.37%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
