Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Вуктыльская городская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК  57	УИК  58	УИК  59	УИК  60	УИК  61	УИК  62	УИК  63	УИК  64	УИК  65	УИК  66	УИК  67	УИК  68					
1	"Число избирателей, внесенных в список"	14772	2385	2265	2447	2233	2275	318	201	1073	306	844	133	292					
2	Число полученных избирательных бюллетеней	14770	2300	2300	2300	2300	2300	330	205	1100	300	900	135	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	64	0	0	0	0	0	0	16	0	0	0	0	48					
4	"Число избирательных бюллетеней, выданных в день голосования"	8279	1353	1290	1363	1243	1169	175	101	632	211	460	90	192					
5	"Число избирательных бюллетеней, выданных вне помещения"	264	64	22	14	10	23	9	8	36	10	56	7	5					
6	Число погашенных избирательных бюллетеней	6163	883	988	923	1047	1108	146	80	432	79	384	38	55					
7	Число избирательных бюллетеней в переносных ящиках	328	64	22	14	10	23	9	24	36	10	56	7	53					
8	Число бюллетеней в стационарных ящиках для голосования	8276	1352	1290	1363	1242	1169	175	101	632	211	459	90	192					
9	Число недействительных избирательных бюллетеней	69	10	12	2	13	3	1	3	7	1	10	2	5					
10	Число действительных избирательных бюллетеней	8535	1406	1300	1375	1239	1189	183	122	661	220	505	95	240					
11	Число полученных открепительных  удостоверений	668	73	85	85	85	85	30	30	55	30	50	30	30					
12	Число выданных открепительных удостоверений	206	20	29	29	32	20	15	1	17	3	33	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	9	10	17	15	11	3	0	5	1	1	4	19					
14	Число неиспользованных открепительных удостоверений	462	53	56	56	53	65	15	29	38	27	17	23	30					
15	"Число открепительных удостоверений, выданных в ТИК"	32	4	6	8	6	3	2	0	0	1	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	215	48	30	53	17	27	10	4	19	0	4	0	3					
		2.50%	3.39%	2.29%	3.85%	1.36%	2.27%	5.43%	3.20%	2.84%	0.00%	0.78%	0.00%	1.22%					
19	. Малышкин Олег Александрович	258	36	34	41	25	39	4	4	21	6	40	3	5					
		3.00%	2.54%	2.59%	2.98%	2.00%	3.27%	2.17%	3.20%	3.14%	2.71%	7.77%	3.09%	2.04%					
20	. Миронов Сергей Михайлович	65	7	7	4	10	8	1	3	11	1	11	1	1					
		0.76%	0.49%	0.53%	0.29%	0.80%	0.67%	0.54%	2.40%	1.65%	0.45%	2.14%	1.03%	0.41%					
21	. Путин Владимир Владимирович	6715	1119	1051	1096	1046	944	142	66	486	177	322	68	198					
		78.05%	79.03%	80.11%	79.59%	83.55%	79.19%	77.17%	52.80%	72.75%	80.09%	62.52%	70.10%	80.82%					
22	. Хакамада Ирина Муцуовна	200	34	45	35	22	32	0	3	11	1	10	0	7					
		2.32%	2.40%	3.43%	2.54%	1.76%	2.68%	0.00%	2.40%	1.65%	0.45%	1.94%	0.00%	2.86%					
23	. Харитонов Николай Михайлович	746	94	92	94	61	89	22	40	86	32	97	18	21					
		8.67%	6.64%	7.01%	6.83%	4.87%	7.47%	11.96%	32.00%	12.87%	14.48%	18.83%	18.56%	8.57%					
																			
24	Против всех	336	68	41	52	58	50	4	2	27	3	21	5	5					
		3.91%	4.80%	3.12%	3.78%	4.63%	4.19%	2.17%	1.60%	4.04%	1.36%	4.08%	5.15%	2.04%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
