Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Каргапольская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1186					
1	"Число избирателей, внесенных в списки избирателей"	24783	185	251	509	732	362	334	187	960	98	670	114	202	115	549	271	446	108	765	298	587	503	718	696	679	261	455	597	683	287	255	122	412	844	189	272	470	2009	791	706	760	811	747	492	187	783	497	925	381	275	233					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23345	170	250	550	750	400	300	180	950	100	650	100	200	100	550	250	450	120	600	250	450	400	550	750	650	280	450	600	650	350	250	125	450	840	210	240	450	2000	650	650	650	700	650	430	170	700	600	750	300	230	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15737	146	162	283	461	263	238	131	577	82	438	80	167	72	396	186	239	49	492	208	374	333	470	486	411	140	276	350	505	242	129	93	335	555	132	189	290	1032	482	476	472	480	463	257	99	465	480	519	216	158	158					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2317	24	26	81	94	14	23	19	40	16	83	15	5	18	52	11	76	38	25	17	21	20	16	38	66	10	68	65	32	45	80	12	54	66	23	33	51	319	44	32	41	27	35	79	64	47	17	83	60	17	75					
6	Число погашенных избирательных бюллетеней	5291	0	62	186	195	123	39	30	333	2	129	5	28	10	102	53	135	33	83	25	55	47	64	226	173	130	106	185	113	63	41	20	61	219	55	18	109	649	124	142	137	193	152	94	7	188	103	148	24	55	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2317	24	26	81	94	14	23	19	40	16	83	15	5	18	52	11	76	38	25	17	21	20	16	38	66	10	68	65	32	45	80	12	54	66	23	33	51	319	44	32	41	27	35	79	64	47	17	83	60	17	75					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15735	146	162	283	461	263	238	131	576	82	438	80	167	72	396	186	239	49	492	208	374	333	470	486	411	140	276	350	505	242	129	93	335	555	132	189	290	1032	482	476	472	480	463	257	99	465	480	518	216	158	158					
9	Число недействительных избирательных бюллетеней	118	1	0	5	3	6	3	0	4	1	1	0	1	0	0	3	4	0	0	3	5	4	8	9	6	2	0	1	3	2	0	0	3	1	1	0	0	7	3	6	1	1	2	1	0	3	5	5	3	1	0					
10	Число действительных избирательных бюллетеней	17934	169	188	359	552	271	258	150	612	97	520	95	171	90	448	194	311	87	517	222	390	349	478	515	471	148	344	414	534	285	209	105	386	620	154	222	341	1344	523	502	512	506	496	335	163	509	492	596	273	174	233					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	424	4	4	8	20	6	5	2	14	3	10	3	4	4	10	5	10	9	10	10	6	10	10	10	5	5	6	10	10	6	10	4	9	15	4	5	13	20	10	15	10	10	10	5	4	10	15	15	5	4	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	331	4	4	8	15	6	2	0	12	3	10	0	0	0	7	2	10	9	2	8	4	1	5	10	4	3	6	8	9	6	10	4	9	15	4	2	8	15	5	15	9	10	10	5	1	9	10	15	1	4	12					
