Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Большемуртинская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1038	УИК №1039	УИК №1040					
1	"Число избирателей, внесенных в список избирателей"	15657	2495	2094	2499	1355	151	232	679	354	419	113	298	117	365	429	576	327	425	106	116	121	454	197	53	661	135	437	222	227					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15686	2481	2108	2490	1340	155	232	688	367	407	111	300	116	368	422	559	322	428	104	120	123	462	200	59	667	134	437	232	254					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6936	1009	923	1077	435	92	132	322	126	229	80	157	71	184	211	246	155	187	62	45	67	231	91	35	299	65	200	109	96					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	975	60	38	65	167	9	10	25	56	36	19	9	5	47	28	109	26	26	8	10	10	26	28	1	61	6	46	14	30					
6	Число погашенных избирательных бюллетеней	7775	1412	1147	1348	738	54	90	341	185	142	12	134	40	137	183	204	141	215	34	65	46	205	81	23	307	63	191	109	128					
7	Число избирательных бюллетеней в переносных ящиках для голосования	975	60	38	65	167	9	10	25	56	36	19	9	5	47	28	109	26	26	8	10	10	26	28	1	61	6	46	14	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6932	1006	923	1077	435	92	132	322	126	229	80	157	71	184	211	246	155	187	62	45	67	230	91	35	299	65	200	109	96					
9	Число недействительных избирательных бюллетеней	123	23	17	13	9	1	3	4	6	5	1	5	1	3	3	0	1	5	1	0	2	8	2	0	5	0	0	2	3					
10	Число действительных избирательных бюллетеней	7784	1043	944	1129	593	100	139	343	176	260	98	161	75	228	236	355	180	208	69	55	75	248	117	36	355	71	246	121	123					
