Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Кыринская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212					
1	"Число избирателей, внесенных в списки"	11734	208	728	542	213	2074	1485	362	482	720	92	808	34	319	1642	527	804	227	327	140					
2	"Число бюллетеней, полученных участковыми комиссиями"	11932	230	750	560	220	2100	1500	370	490	745	95	815	52	320	1650	540	805	220	330	140					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6310	79	382	306	134	968	631	186	308	371	41	402	29	195	1018	307	473	144	250	86					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	493	66	36	20	8	45	47	19	47	33	32	33	5	21	28	33	17	3	0	0					
6	Число погашенных бюллетеней	5129	85	332	234	78	1087	822	165	135	341	22	380	18	104	604	200	315	73	80	54					
7	Число бюллетеней в переносных ящиках для голосования	493	66	36	20	8	45	47	19	47	33	32	33	5	21	28	33	17	3	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	6310	79	382	306	134	968	631	186	308	371	41	402	29	195	1018	307	473	144	250	86					
9	Число недействительных бюллетеней	124	4	9	9	1	15	10	6	5	8	0	15	0	5	6	8	17	5	0	1					
10	Число действительных бюллетеней	6679	141	409	317	141	998	668	199	350	396	73	420	34	211	1040	332	473	142	250	85					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	198	4	12	10	5	30	23	6	8	12	4	14	3	6	23	10	14	4	6	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	71	0	2	8	2	11	14	2	0	5	0	3	0	0	19	3	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	0	0	0	1	2	1	0	1	0	1	0	0	0	6	0	1	0	0	0					
14	Число погашенных открепительных удостоверений	127	4	10	2	3	19	9	4	8	7	4	11	3	6	4	7	12	4	6	4					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	135	2	9	12	4	15	3	6	6	9	1	9	1	6	23	8	9	6	2	4					
		1.98%	1.37%	2.15%	3.68%	2.81%	1.48%	0.44%	2.92%	1.69%	2.22%	1.36%	2.06%	2.94%	2.77%	2.19%	2.35%	1.83%	4.08%	0.8%	4.65%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	45	5	3	0	1	4	10	1	2	0	0	4	0	1	10	1	0	0	3	0					
		0.66%	3.44%	0.71%	0.0%	0.70%	0.39%	1.47%	0.48%	0.56%	0.0%	0.0%	0.91%	0.0%	0.46%	0.95%	0.29%	0.0%	0.0%	1.2%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	196	3	11	15	2	46	15	4	8	18	3	11	5	9	16	5	10	4	10	1					
		2.88%	2.06%	2.63%	4.60%	1.40%	4.54%	2.21%	1.95%	2.25%	4.45%	4.10%	2.52%	14.70%	4.16%	1.52%	1.47%	2.04%	2.72%	4.0%	1.16%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	38	2	1	0	0	3	5	1	2	1	1	8	1	0	7	3	1	0	2	0					
		0.55%	1.37%	0.23%	0.0%	0.0%	0.29%	0.73%	0.48%	0.56%	0.24%	1.36%	1.83%	2.94%	0.0%	0.66%	0.88%	0.20%	0.0%	0.8%	0.0%					
22	"5. ""За Русь Святую"""	23	1	3	1	0	3	0	2	4	1	0	2	0	0	4	1	1	0	0	0					
		0.33%	0.68%	0.71%	0.30%	0.0%	0.29%	0.0%	0.97%	1.12%	0.24%	0.0%	0.45%	0.0%	0.0%	0.38%	0.29%	0.20%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	0	0	0	0	5	2	0	1	1	0	4	0	1	1	0	1	0	0	0					
		0.23%	0.0%	0.0%	0.0%	0.0%	0.49%	0.29%	0.0%	0.28%	0.24%	0.0%	0.91%	0.0%	0.46%	0.09%	0.0%	0.20%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	25	1	0	0	0	3	3	1	1	1	0	0	0	1	8	0	2	0	3	1					
		0.36%	0.68%	0.0%	0.0%	0.0%	0.29%	0.44%	0.48%	0.28%	0.24%	0.0%	0.0%	0.0%	0.46%	0.76%	0.0%	0.40%	0.0%	1.2%	1.16%					
25	"8. ""Народно-республиканская партия России"""	11	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1					
		0.16%	0.68%	0.23%	0.0%	0.70%	0.09%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.09%	0.29%	0.20%	0.0%	0.4%	1.16%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	0	0	0	0	1	2	0	1	0	0	0	0	1	3	0	0	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.09%	0.29%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.46%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	533	4	61	84	10	52	29	33	13	9	3	6	4	51	54	23	38	21	14	24					
