Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Шарьинская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665					
1	"Число избирателей, внесенных в списки избирателей"	8936	114	43	27	1220	486	288	125	215	266	305	147	149	219	306	1914	1217	343	1081	238	233					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8873	113	52	43	1129	509	303	133	216	276	339	149	162	226	317	1738	1238	350	1105	255	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5454	72	29	21	723	313	180	89	154	175	183	92	82	134	215	1157	704	202	599	168	162					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1227	12	1	2	170	84	59	24	40	46	77	29	32	32	45	166	101	73	143	60	31					
6	Число погашенных избирательных бюллетеней	2192	29	22	20	236	112	64	20	22	55	79	28	48	60	57	415	433	75	363	27	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1227	12	1	2	170	84	59	24	40	46	77	29	32	32	45	166	101	73	143	60	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5454	72	29	21	723	313	180	89	154	175	183	92	82	134	215	1157	704	202	599	168	162					
9	Число недействительных избирательных бюллетеней	64	0	0	0	15	2	3	1	0	1	1	1	2	2	2	13	13	2	5	0	1					
10	Число действительных избирательных бюллетеней	6617	84	30	23	878	395	236	112	194	220	259	120	112	164	258	1310	792	273	737	228	192					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	136	2	5	3	13	7	9	8	3	12	1	1	12	8	6	4	8	3	15	9	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	136	2	5	3	13	7	9	8	3	12	1	1	12	8	6	4	8	3	15	9	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	67	3	2	0	8	5	3	4	0	6	2	3	1	1	4	4	10	3	2	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	1.Политическая партия «Аграрная партия России»	321	5	3	1	48	20	8	7	26	6	23	23	5	20	26	25	14	5	34	15	7					
		4.80%	5.95%	10.00%	4.35%	5.38%	5.04%	3.35%	6.19%	13.40%	2.71%	8.85%	19.01%	4.39%	12.05%	10.00%	1.89%	1.74%	1.82%	4.58%	6.58%	3.63%					
19	2.Всероссийская политическая партия «Гражданская Сила»	19	0	0	0	3	1	0	0	0	0	0	0	0	2	1	5	2	0	5	0	0					
		0.28%	0.00%	0.00%	0.00%	0.34%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.20%	0.38%	0.38%	0.25%	0.00%	0.67%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	10	0	0	0	2	1	0	0	3	0	1	0	0	0	0	0	0	1	2	0	0					
		0.15%	0.00%	0.00%	0.00%	0.22%	0.25%	0.00%	0.00%	1.55%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.27%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	600	9	13	1	118	49	31	9	6	25	20	3	17	20	30	80	45	18	56	17	33					
		8.98%	10.71%	43.33%	4.35%	13.21%	12.34%	12.97%	7.96%	3.09%	11.31%	7.69%	2.48%	14.91%	12.05%	11.54%	6.05%	5.59%	6.55%	7.55%	7.46%	17.10%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	55	1	0	0	4	4	2	0	5	3	3	0	1	0	7	10	2	0	9	3	1					
		0.82%	1.19%	0.00%	0.00%	0.45%	1.01%	0.84%	0.00%	2.58%	1.36%	1.15%	0.00%	0.88%	0.00%	2.69%	0.76%	0.25%	0.00%	1.21%	1.32%	0.52%					
23	6.Политическая партия «Партия социальной справедливости»	16	0	0	0	5	1	1	1	0	0	0	1	0	0	0	3	0	1	2	0	1					
		0.24%	0.00%	0.00%	0.00%	0.56%	0.25%	0.42%	0.88%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.23%	0.00%	0.36%	0.27%	0.00%	0.52%					
