Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Пыщугская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4114	1491	1246	225	76	311	101	136	226	121	181									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3953	1400	1200	200	77	300	101	141	225	128	181									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1495	522	398	64	30	137	34	74	88	55	93									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	184	30	39	12	13	26	11	7	25	10	11									
6	Число погашенных избирательных бюллетеней	2274	848	763	124	34	137	56	60	112	63	77									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	184	30	39	12	13	26	11	7	25	10	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1495	522	398	64	30	137	34	74	88	55	93									
9	Число недействительных избирательных бюллетеней	29	12	3	0	0	7	0	2	0	0	5									
10	Число действительных избирательных бюллетеней	1650	540	434	76	43	156	45	79	113	65	99									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	84	25	25	5	3	5	3	5	5	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	26	3	7	0	0	0	0	3	5	4	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	14	4	3	2	1	0	2	1	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	58	22	18	5	3	5	3	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	1	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	17	7	8	0	0	1	0	0	1	0	0									
		1.01%	1.27%	1.83%	0.00%	0.00%	0.61%	0.00%	0.00%	0.88%	0.00%	0.00%									
