Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Биробиджанская городская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №8184									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	60526	2516	2625	2281	1557	2563	2150	2455	2403	2801	1782	1459	1106	1313	332	1345	1139	1288	960	97	427	870	999	1832	759	727	1480	598	1594	698	2092	2353	1643	962	1644	10	1438	1642	1231	1045	490	1158	2662									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61373	2500	2600	2300	1500	2500	2000	2500	2400	2800	1700	553	1100	433	300	1300	1200	1200	477	100	400	800	1000	1600	700	800	1400	600	1500	600	2100	2300	1400	900	1600	10	1400	1600	1200	1000	400	1100	7500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21469	800	815	725	538	998	811	964	978	1070	558	546	397	421	86	247	395	528	467	3	143	186	331	747	116	200	618	204	508	138	833	918	543	210	411	0	281	510	444	330	138	292	2021									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	753	19	16	14	20	19	24	23	18	16	18	7	8	12	3	25	15	3	10	77	0	8	20	12	14	10	25	22	14	16	20	21	16	25	19	7	12	5	11	51	3	2	73									
6	Число погашенных избирательных бюллетеней	38583	1681	1769	1561	942	1483	1165	1513	1404	1714	1124	0	695	0	211	1028	790	669	0	20	257	606	649	841	570	590	757	374	978	446	1247	1361	841	665	1170	3	1107	1085	745	619	259	806	4838									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1321	19	16	14	20	19	24	23	18	16	18	7	8	12	3	25	15	3	10	77	0	8	20	12	14	10	25	22	14	16	20	21	16	25	19	7	12	5	11	51	3	2	641									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21454	800	815	725	538	998	811	964	978	1070	558	539	397	421	86	247	395	528	463	3	143	186	331	747	116	200	618	204	508	138	833	917	543	210	411	0	281	510	444	330	138	292	2018									
9	Число недействительных избирательных бюллетеней	819	26	32	39	29	41	33	40	29	44	23	16	19	9	3	13	18	24	18	0	3	4	18	24	5	8	19	5	16	10	28	42	19	6	14	0	15	20	23	15	10	14	45									
10	Число действительных избирательных бюллетеней	21956	793	799	700	529	976	802	947	967	1042	553	530	386	424	86	259	392	507	455	80	140	190	333	735	125	202	624	221	506	144	825	896	540	229	416	7	278	495	432	366	131	280	2614									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	835	40	40	30	20	40	30	40	30	40	20	20	20	20	10	20	20	20	10	0	20	10	10	20	10	10	20	10	20	10	30	30	20	10	20	0	20	20	20	10	10	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	285	8	12	6	5	10	20	8	13	16	5	8	1	12	0	2	6	4	4	0	13	4	1	16	4	4	8	5	5	2	18	14	7	2	7	0	8	7	5	5	1	6	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	174	1	5	4	1	9	7	4	9	5	7	5	2	4	2	4	2	7	13	2	5	1	3	4	3	1	8	2	6	2	11	7	5	3	5	0	2	0	7	2	1	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	550	32	28	24	15	30	10	32	17	24	15	12	19	8	10	18	14	16	6	0	7	6	9	4	6	6	12	5	15	8	12	16	13	8	13	0	12	13	15	5	9	14	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	71	5	6	4	1	3	3	4	1	1	3	1	3	0	0	0	0	2	3	0	7	1	0	2	0	0	5	0	3	0	1	1	3	2	0	0	1	1	2	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	295	9	12	3	9	14	13	26	11	15	10	9	5	6	0	2	8	10	5	0	0	0	4	4	1	0	8	5	11	1	7	10	6	2	2	0	4	6	4	5	0	2	46									
		1.30%	1.10%	1.44%	0.41%	1.61%	1.38%	1.56%	2.63%	1.10%	1.38%	1.74%	1.65%	1.23%	1.39%	0.00%	0.74%	1.95%	1.88%	1.06%	0.00%	0.00%	0.00%	1.14%	0.53%	0.77%	0.00%	1.24%	2.21%	2.11%	0.65%	0.82%	1.07%	1.07%	0.85%	0.47%	0.00%	1.37%	1.17%	0.88%	1.31%	0.00%	0.68%	1.73%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	840	28	38	33	24	28	14	34	33	31	22	53	13	47	3	13	21	11	48	6	3	5	18	15	3	4	30	11	13	7	40	53	19	9	13	0	8	24	6	11	2	11	35									
		3.69%	3.42%	4.57%	4.47%	4.30%	2.75%	1.68%	3.44%	3.31%	2.85%	3.82%	9.71%	3.21%	10.85%	3.37%	4.78%	5.12%	2.07%	10.15%	7.50%	2.10%	2.58%	5.13%	1.98%	2.31%	1.90%	4.67%	4.87%	2.49%	4.55%	4.69%	5.65%	3.40%	3.83%	3.02%	0.00%	2.73%	4.66%	1.32%	2.89%	1.42%	3.74%	1.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	535	18	22	27	12	33	19	14	27	26	12	14	14	12	1	4	11	11	9	0	4	1	11	18	3	4	24	4	12	2	19	23	15	5	11	0	3	14	14	5	4	7	46									
		2.35%	2.20%	2.65%	3.65%	2.15%	3.24%	2.28%	1.42%	2.71%	2.39%	2.08%	2.56%	3.46%	2.77%	1.12%	1.47%	2.68%	2.07%	1.90%	0.00%	2.80%	0.52%	3.13%	2.37%	2.31%	1.90%	3.73%	1.77%	2.30%	1.30%	2.23%	2.45%	2.68%	2.13%	2.56%	0.00%	1.02%	2.72%	3.08%	1.31%	2.84%	2.38%	1.73%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8899	278	268	210	168	313	310	302	345	334	194	190	126	137	31	83	128	172	186	40	69	62	117	264	36	70	213	76	189	49	273	332	206	88	116	4	97	164	177	160	54	91	2177									
		39.07%	33.94%	32.25%	28.42%	30.11%	30.78%	37.13%	30.60%	34.64%	30.76%	33.68%	34.80%	31.11%	31.64%	34.83%	30.51%	31.22%	32.39%	39.32%	50.00%	48.25%	31.96%	33.33%	34.78%	27.69%	33.33%	33.13%	33.63%	36.21%	31.82%	32.00%	35.39%	36.85%	37.45%	26.98%	57.14%	33.11%	31.84%	38.90%	41.99%	38.30%	30.95%	81.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	203	9	8	10	2	11	9	12	18	12	6	2	3	4	0	3	3	7	9	2	1	2	4	7	2	1	4	0	7	0	12	5	3	6	3	0	0	2	5	1	1	5	2									
