Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Емельяновская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150					
1	"Число избирателей, внесенных в списки избирателей"	29061	1999	1131	2005	852	1278	601	138	320	319	353	754	753	486	996	542	63	1171	1457	114	330	366	213	1171	546	344	603	2076	682	728	211	112	204	123	91	254	357	207	1006	144	174	170	115	752	183	103	126	41	509	367	244	41	128	1008					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27355	1784	1061	1936	800	1164	564	132	304	315	326	641	702	461	952	521	57	1153	1326	108	301	358	212	1113	498	328	576	1955	676	682	205	109	200	111	88	249	354	188	958	138	168	168	108	698	174	89	118	50	444	356	238	42	115	981					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16215	1098	668	1125	525	706	340	77	147	170	144	477	357	246	463	296	39	660	780	49	201	199	116	692	358	125	335	999	377	511	137	72	111	73	76	161	229	107	501	71	95	89	66	400	99	67	79	39	342	220	174	34	82	611					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1201	68	30	33	26	36	10	0	25	13	11	12	45	19	71	14	0	20	67	5	7	27	17	16	0	56	39	44	12	30	11	5	10	0	0	21	20	0	74	12	7	11	5	32	33	13	13	2	76	8	10	0	11	74					
6	Число погашенных избирательных бюллетеней	9939	618	363	778	249	422	214	55	132	132	171	152	300	196	418	211	18	473	479	54	93	132	79	405	140	147	202	912	287	141	57	32	79	38	12	67	105	81	383	55	66	68	37	266	42	9	26	9	26	128	54	8	22	296					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1201	68	30	33	26	36	10	0	25	13	11	12	45	19	71	14	0	20	67	5	7	27	17	16	0	56	39	44	12	30	11	5	10	0	0	21	20	0	74	12	7	11	5	32	33	13	13	2	76	8	10	0	11	74					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16212	1098	668	1125	525	705	340	77	147	170	144	477	357	246	463	296	39	660	780	49	201	199	116	692	358	124	335	998	377	511	137	72	111	73	76	161	229	107	501	71	95	89	66	400	99	67	79	39	342	220	174	34	82	611					
9	Число недействительных избирательных бюллетеней	217	19	11	11	4	11	4	2	0	0	1	7	4	0	6	3	1	15	11	0	3	6	0	14	6	1	3	10	12	5	1	0	1	0	0	1	1	4	9	0	0	0	0	6	1	0	1	0	0	9	2	0	1	10					
10	Число действительных избирательных бюллетеней	17196	1147	687	1147	547	730	346	75	172	183	154	482	398	265	528	307	38	665	836	54	205	220	133	694	352	179	371	1032	377	536	147	77	120	73	76	181	248	103	566	83	102	100	71	426	131	80	91	41	418	219	182	34	92	675					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	499	29	11	24	14	9	5	7	9	9	9	10	11	9	11	11	8	12	14	9	9	9	12	5	9	9	11	6	11	2	7	7	7	7	6	9	9	9	11	9	9	9	9	11	6	6	9	0	23	9	7	4	4	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	257	25	7	21	12	1	3	2	1	3	2	6	8	8	2	11	2	10	13	0	0	8	11	4	2	0	11	6	11	0	1	0	1	0	0	0	6	0	11	3	0	2	0	5	1	1	0	0	23	3	7	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	265	16	4	4	4	9	2	1	3	2	5	35	11	8	5	7	1	9	14	2	3	3	3	12	9	1	7	9	1	8	0	1	0	4	0	7	3	1	3	2	2	0	0	6	0	5	2	2	3	8	1	0	3	14					
14	Число погашенных неиспользованных открепительных удостоверений	242	4	4	3	2	8	2	5	8	6	7	4	3	1	9	0	6	2	1	9	9	1	1	1	7	9	0	0	0	2	6	7	6	7	6	9	3	9	0	6	9	7	9	6	5	5	9	0	0	6	0	4	4	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	1.Политическая партия «Аграрная партия России»	365	17	6	11	12	9	11	5	3	1	2	7	5	5	9	10	2	16	13	2	3	5	4	14	3	3	16	37	8	5	3	1	1	1	0	1	3	3	28	3	0	4	1	12	5	6	5	0	23	3	2	0	3	13					
		2.10%	1.46%	0.86%	0.95%	2.18%	1.21%	3.14%	6.49%	1.74%	0.55%	1.29%	1.43%	1.24%	1.89%	1.69%	3.23%	5.13%	2.35%	1.53%	3.70%	1.44%	2.21%	3.01%	1.98%	0.84%	1.67%	4.28%	3.55%	2.06%	0.92%	2.03%	1.30%	0.83%	1.37%	0.00%	0.55%	1.20%	2.80%	4.87%	3.61%	0.00%	4.00%	1.41%	2.78%	3.79%	7.50%	5.43%	0.00%	5.50%	1.32%	1.09%	0.00%	3.23%	1.90%					
19	2.Всероссийская политическая партия «Гражданская Сила»	96	8	3	13	3	5	1	0	0	0	0	4	0	1	4	1	0	6	7	0	2	0	1	5	0	1	1	9	2	3	0	0	0	1	1	1	0	0	2	0	1	0	0	1	1	0	0	0	4	0	0	0	2	2					
		0.55%	0.69%	0.43%	1.12%	0.54%	0.67%	0.29%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.38%	0.75%	0.32%	0.00%	0.88%	0.83%	0.00%	0.96%	0.00%	0.75%	0.71%	0.00%	0.56%	0.27%	0.86%	0.51%	0.55%	0.00%	0.00%	0.00%	1.37%	1.32%	0.55%	0.00%	0.00%	0.35%	0.00%	0.98%	0.00%	0.00%	0.23%	0.76%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	2.15%	0.29%					
20	3.Политическая партия «Демократическая партия России»	19	2	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1					
		0.11%	0.17%	0.00%	0.26%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	1.30%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.24%	0.00%	0.54%	0.00%	0.00%	0.15%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1800	139	86	110	79	74	43	4	14	8	13	38	38	27	57	21	6	54	92	3	30	32	12	64	35	18	35	135	38	74	12	4	13	15	14	15	11	7	76	5	16	5	1	45	8	15	6	5	45	16	11	9	4	63					
		10.34%	11.92%	12.32%	9.50%	14.34%	9.99%	12.29%	5.19%	8.14%	4.37%	8.39%	7.77%	9.45%	10.19%	10.67%	6.77%	15.38%	7.94%	10.86%	5.56%	14.42%	14.16%	9.02%	9.04%	9.78%	10.00%	9.36%	12.96%	9.77%	13.68%	8.11%	5.19%	10.74%	20.55%	18.42%	8.24%	4.42%	6.54%	13.22%	6.02%	15.69%	5.00%	1.41%	10.42%	6.06%	18.75%	6.52%	12.20%	10.77%	7.02%	5.98%	26.47%	4.30%	9.20%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	169	10	11	13	12	4	2	0	3	5	5	3	2	0	1	3	0	8	11	1	1	3	1	8	1	1	2	5	8	2	0	0	0	1	0	0	1	3	1	1	1	1	9	8	3	0	1	0	3	5	1	0	0	4					
		0.97%	0.86%	1.58%	1.12%	2.18%	0.54%	0.57%	0.00%	1.74%	2.73%	3.23%	0.61%	0.50%	0.00%	0.19%	0.97%	0.00%	1.18%	1.30%	1.85%	0.48%	1.33%	0.75%	1.13%	0.28%	0.56%	0.53%	0.48%	2.06%	0.37%	0.00%	0.00%	0.00%	1.37%	0.00%	0.00%	0.40%	2.80%	0.17%	1.20%	0.98%	1.00%	12.68%	1.85%	2.27%	0.00%	1.09%	0.00%	0.72%	2.19%	0.54%	0.00%	0.00%	0.58%					
23	6.Политическая партия «Партия социальной справедливости»	38	2	2	1	3	1	1	0	1	3	0	2	0	0	0	0	1	0	1	1	0	1	1	2	0	1	0	2	1	1	0	0	1	0	0	1	0	1	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	1					
		0.22%	0.17%	0.29%	0.09%	0.54%	0.13%	0.29%	0.00%	0.58%	1.64%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	2.56%	0.00%	0.12%	1.85%	0.00%	0.44%	0.75%	0.28%	0.00%	0.56%	0.00%	0.19%	0.26%	0.18%	0.00%	0.00%	0.83%	0.00%	0.00%	0.55%	0.00%	0.93%	0.00%	0.00%	2.94%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.15%					
24	7.Политическая партия «Либерально-демократическая партия России»	1752	144	82	153	58	95	37	8	17	16	6	54	48	32	66	39	11	69	70	6	20	19	15	52	33	10	38	92	37	43	9	6	13	9	16	15	20	10	44	4	12	10	1	50	19	6	6	4	43	20	16	1	8	40					
		10.06%	12.35%	11.75%	13.21%	10.53%	12.82%	10.57%	10.39%	9.88%	8.74%	3.87%	11.04%	11.94%	12.08%	12.36%	12.58%	28.21%	10.15%	8.26%	11.11%	9.62%	8.41%	11.28%	7.34%	9.22%	5.56%	10.16%	8.83%	9.51%	7.95%	6.08%	7.79%	10.74%	12.33%	21.05%	8.24%	8.03%	9.35%	7.65%	4.82%	11.76%	10.00%	1.41%	11.57%	14.39%	7.50%	6.52%	9.76%	10.29%	8.77%	8.70%	2.94%	8.60%	5.84%					
